Geneid	D35Ctrl_222_Aligned	D35Ctrl_322_Aligned	D35Ctrl_323_Aligned	D35GAF7_322_Aligned	D35GAF7_323_Aligned	D35GAG5_222_Aligned	D35GAG5_322_Aligned	D35GAG5_323_Aligned	D35RCD5_222_Aligned	D35RCD5_322_Aligned	D35RCD5_323_Aligned	D35RCG3_222_Aligned	D35RCG3_322_Aligned	D35RCG3_323_Aligned	D65Ctrl_1123_Aligned	D65Ctrl_222_Aligned	D65Ctrl_423_Aligned	D65GAF7_222_Aligned	D65GAF7_423_Aligned	D65GAG5_423_Aligned	D65GA_1123_Aligned	D65RCD5_423_Aligned	D65RCG3_222_Aligned	D65RCG3_423_Aligned	D65RC_1123_Aligned
DDX11L1	0	0	0	0	0	2	1	1	0	0	0	4	2	1	2	0	0	1	1	0	0	0	1	2	0
WASH7P	436	721	678	1055	863	412	1023	852	445	893	811	501	934	1007	649	426	756	901	687	678	537	834	378	836	748
MIR6859-1	12	22	33	36	39	21	53	38	26	62	50	12	44	56	37	33	39	64	51	33	37	42	26	40	63
MIR1302-2HG	6	12	16	20	8	10	14	12	3	15	6	13	14	15	7	2	5	15	0	11	8	7	5	7	4
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	2	1	1	0	3	0
LOC124900384	7	12	12	19	25	11	14	31	4	12	19	18	25	18	15	7	31	20	13	11	24	23	7	31	13
LOC729737	316	363	619	691	810	243	646	738	259	683	713	508	690	965	1019	441	918	768	731	777	907	1048	590	997	590
LOC124903814	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	2	0	0	0	4	1	1	0	1	0	0	11	2	1	0	0	1	0	0	0	1	1	0	2	2
WASH9P	314	450	452	649	596	218	767	619	226	661	620	261	551	776	427	324	564	641	509	469	373	527	271	622	472
MIR6859-2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2
LOC127239154	41	56	71	84	66	50	90	88	32	46	44	24	77	89	84	75	31	84	52	49	41	62	24	66	42
LOC124903815	0	4	2	2	2	0	2	2	0	4	1	1	0	3	6	5	6	6	0	3	2	1	0	7	1
LOC124900618	0	0	0	4	1	0	1	1	1	0	0	0	2	1	0	1	0	1	2	2	0	0	1	0	0
LOC112268260	1	0	1	0	0	0	0	2	0	0	0	2	0	1	1	0	1	0	1	2	0	1	1	2	1
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
