"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NNAT",-4.09498258833142,3.09885558589187,-12.9435808012472,1.26862715179329e-11,2.67959427001778e-07,14.7189738705672
"LINC02864",-6.89504492766227,-3.78548688913226,-12.5249916230279,3.4307426400328e-10,3.62320730213864e-06,4.79719074568421
"ZNF667-AS1",-7.00012062936739,-3.96107352804888,-11.0030936941057,1.78495750835176e-05,0.0269299089224328,-0.722570927240478
"ZNF471",-6.54398477533834,-3.12834537080604,-9.15973869458027,6.98674385234714e-09,4.91913345497588e-05,4.73047197838337
"SLITRK4",-7.34017295321928,-2.77422354383725,-8.81897923268821,1.36728102551742e-08,7.21992745524474e-05,4.57490537477911
"ZNF248",-7.3519383367913,-0.962895129632063,-8.33641665200458,3.5486338639748e-08,0.000149908488949751,5.62385106070356
"MIR4458HG",-5.69948618749431,-4.23319148877871,-8.26203182949827,3.44356407642328e-06,0.00606124670185104,0.822782944198284
"LOC105373436",-4.94256803282142,-3.9507755198245,-7.79903441810296,1.0274176945713e-07,0.000361685275745582,3.35564951768228
"PNPO",-6.55427159434007,0.953626909584052,-7.58801049772391,1.63825397084829e-07,0.000494331433889395,4.25413654551042
"CCDC152",-5.75232935616135,0.0555170222910136,-7.32375703129746,2.86237517464842e-07,0.00075573860548655,4.53128253378393
"ZNF667",-4.55217919551251,-2.12583410170255,-7.08887106701307,4.69041745588631e-07,0.00110078886114701,3.90308730558055
"KHDRBS2",-5.77120433285191,-2.92877803404118,-6.80643379577327,8.76700339053835e-07,0.00185176645614951,2.90017025708311
"CTSF",-8.0377684286018,0.634381653767235,-6.19535890720251,3.43886975351867e-06,0.00606124670185104,2.08159115328494
"PCDHGC3",-4.05941919701864,2.67398938433449,-6.05488917272676,4.73883959224543e-06,0.00769952075903139,3.76355766464418
"POLE4",-1.6102392952501,3.17013785833388,-5.41329599178208,2.08025672479916e-05,0.0292927883608053,2.76590112537533
"LOC105374809",-1.52914032130467,1.96055228178666,-5.29637107832498,2.74271060220771e-05,0.0362072083373945,2.39038951988002
"NRGN",-2.71418157777468,2.58753850922874,-4.77094564476679,9.74075940594672e-05,0.121026070689651,1.43470693660439
"IQCA1",-4.18604709754693,-1.64050349956283,-4.7252868971788,0.000108714111516401,0.127569970191634,0.0451568159718212
"PGM5-AS1",4.20282370708535,-1.29384968527195,4.59738009723316,0.000147944423964982,0.164467480157281,-0.167757255048549
"SNHG30",-1.15755750874125,2.66099513175831,-4.55964167982606,0.000160592597239291,0.169601841944416,0.958045410507017
"LOC101930112",-1.41663435500495,0.691657707806269,-4.51011540006596,0.000181023724984528,0.182075386624914,0.713907119534799
"LOC105375704",3.38035018977313,-1.92906287873572,4.41452838803919,0.000229182228395764,0.22003577400797,-0.390513539796702
"MCTS2",-1.58892558634717,1.84547954441106,-4.34232299625694,0.000272235038434446,0.250006455730973,0.454789870019565
"ZNF44",-2.96315417802795,-0.250277376769211,-4.32160944252647,0.000287944028857189,0.253414740730065,0.172020841527217
"LOC105376982",-2.66026141427913,-0.826582369126234,-4.23225404125715,0.000355468150386529,0.300327930898571,-0.37218965645096
"TUSC1",-2.7174642260863,1.44319512229279,-4.20554473704942,0.000381193108250319,0.309675416633201,0.176821238356808
"DAPK2",-1.40388747821885,1.26276368728318,-4.14623996082721,0.000436828842293521,0.341729585441621,-2.7104457503313e-05
"LOC105375148",-4.09129457888346,-1.22573452771856,-4.11845447735531,0.000470483041107759,0.354912242652789,-0.72940384552009
"DNAH3",2.22233216695401,-1.11388007514026,4.09605889291076,0.000493238756429396,0.359247897010403,-0.605623142654912
"LOC107986650",-1.54853610762103,-1.63532496895551,-4.06095258606159,0.000536962894500173,0.378057675254422,-0.550136070704463
"HAPSTR2",-1.86635501315627,0.46946243627275,-4.03085451893022,0.0005806254023282,0.386729005256266,-0.221340448740127
"ZNF823",-1.03436279220474,1.52455708064979,-4.00357426150957,0.000616882039309157,0.386729005256266,-0.268781063890829
"CMC1",-0.861728724929907,2.70135333561684,-4.00157636739162,0.000619868383367373,0.386729005256266,-0.236968330516459
"GNG13",-1.43196067343095,0.321900503265359,-3.99981297074599,0.000622516152765507,0.386729005256266,-0.33012232391729
"AK4",2.04689040895311,4.65427547608651,3.97845260844432,0.000659683897252326,0.394490291894186,-0.287461705381487
"LOC105379499",-1.61756460816237,-0.820417162931718,-3.96793764466666,0.000672362963175396,0.394490291894186,-0.532005246957161
"RBMXL1",-0.884784248375512,4.66434936804341,-3.91557411921182,0.000763170281175468,0.435667099432115,-0.468179148414025
"SDK2",1.29697290342791,7.63725735623733,3.86610028351969,0.000864819444510864,0.463184278874379,-0.686200364969001
"LOC124901310",-5.90472250678115,-3.03816282753905,-3.86300702454668,0.00087128318090816,0.463184278874379,-1.24049268139398
