"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC02864",-6.3264028804088,-3.78548688913226,-10.4471888631282,5.80160777693472e-09,4.08471864881384e-05,-0.962636198991242
"ZNF471",-7.85128300600145,-3.12834537080604,-10.1687662979545,1.10256958772565e-09,2.32884748319412e-05,-0.189230768100789
"ZNF667-AS1",-6.9861533925095,-3.96107352804888,-10.0091154556667,3.22419387189611e-05,0.0619103845110815,-3.07230388163196
"NNAT",-3.58827610565774,3.09885558589187,-9.75331452636515,2.37152894498956e-09,2.50457171880348e-05,6.59798694922442
"ZNF248",-5.43752337948203,-0.962895129632063,-7.69587111517918,1.30807180832182e-07,0.000690727318384338,2.47014813637482
"SLITRK4",-5.35633463881696,-2.77422354383725,-7.14953548090559,4.13688517322819e-07,0.00174758577257851,0.0255886438028403
"ZNF667",-5.18556160973821,-2.12583410170255,-6.99584787829485,5.73924820583854e-07,0.00202040667672869,-0.48508473607568
"MIR4458HG",-5.24756898380823,-4.23319148877871,-6.86697484190197,2.08817481380391e-05,0.0441064284171661,-2.55050514278477
"KHDRBS2",-6.37630628220118,-2.92877803404118,-6.46452471363796,1.87265378282883e-06,0.00539418194837297,-1.41127629290001
"LOC105373436",-4.51249370282444,-3.9507755198245,-6.41715175215707,2.04305726668799e-06,0.00539418194837297,-1.62890327002955
"ZNF248-AS1",-3.91672332691652,-4.44815731452648,-5.48421966489653,1.75872051714289e-05,0.0412752164034357,-2.1740901987649
"POTEF_1",-4.5499306159199,-1.64829496320689,-4.85999185284922,7.86520346188563e-05,0.138440689601624,-1.6872328124161
"LOC339975",1.47021800412352,2.98627875790557,4.33574233429416,0.000276088436125233,0.448579995987474,-0.476811589394102
"FAR2P1_1",-3.40123315174508,-0.859718698908613,-4.25189999200288,0.000340788465827767,0.514152426801007,-1.58007717258141
"TUSC1",-2.87937518796312,1.44319512229279,-4.08117729431106,0.000514813395600078,0.724925902790989,-0.913844255052306
"POTEF",-1.91567334586922,1.83249086688538,-3.91662395829504,0.00076573082183216,0.999946253490421,-1.14597857782983
"PCDHGA10",-1.10585545629851,3.58674662608284,-3.80926359401322,0.000986181031671558,0.999946253490421,-0.950321991973231
"HSPBAP1",0.850062919062145,2.91554669699644,3.79647448015202,0.00101675494526962,0.999946253490421,-1.23675585110161
"EYS",1.70205314490926,-0.0732546616665495,3.74187233497287,0.00116094674483061,0.999946253490421,-1.71233863856524
"LINC01126",-1.16688532027995,-0.101446078457827,-3.66575846356594,0.00139195357867554,0.999946253490421,-2.20184660011348
"SLFN11",3.37508979847453,0.188093673449672,3.54960767999596,0.00184656666364618,0.999946253490421,-2.83284323436373
"LRRC61",-4.98567127233019,-2.49193699458497,-3.49149830087892,0.00212052705862238,0.999946253490421,-3.13669140823111
"TRIM4",-5.99317441482206,-1.91308005255132,-3.45270611237215,0.00232520853946679,0.999946253490421,-2.53542216213706
"ZNF572",-2.6434204981138,-2.56274043437508,-3.39743586141332,0.00263958468348121,0.999946253490421,-3.39146968208405
"LOC107984393",3.10537485887397,-3.23201803912858,3.39107091533303,0.0026857246200611,0.999946253490421,-3.30890124026575
"LLPH",-0.950939032230674,4.52829257836271,-3.36104840979061,0.00288354805256668,0.999946253490421,-1.63223220830475
"ZNF337-AS1",0.931085519731737,0.786156225265668,3.32436418631919,0.00313752288524767,0.999946253490421,-2.28224845994204
"SSR4P1",1.9081477934422,-0.0774181111405353,3.30016577220964,0.00332651191060466,0.999946253490421,-2.63173673430708
"SLITRK2",-5.53960151169237,-3.95821876167146,-3.27257019420731,0.00435782130908571,0.999946253490421,-3.3441112566246
"GABRA2",-2.64494782410097,-1.3344368537148,-3.24541286303103,0.0037922979866306,0.999946253490421,-2.33706824439138
"ARIH2",0.519969863037503,7.20969538842932,3.24521507018324,0.0037801569932609,0.999946253490421,-1.79675449203848
"MIR6820",-2.34276566406818,-2.72963687046936,-3.23634824648103,0.00386260663193588,0.999946253490421,-3.15351257268107
"URB1-AS1",-1.9413655994695,-1.11219096609033,-3.19149036170023,0.00429658996379319,0.999946253490421,-2.73545696316246
"ZNF44",-2.05104789165916,-0.250277376769211,-3.17663854047502,0.00445433392734288,0.999946253490421,-2.4467846155359
"C8G",1.73801294888505,-0.691427744102009,3.15421226177007,0.00467761711656988,0.999946253490421,-3.03213547127716
"POTEE",-1.29074977435723,0.52881757467019,-3.15214133795876,0.00470036839830443,0.999946253490421,-2.48431214524454
"UBE2E1-AS1",1.4689427486507,-1.53408625036712,3.12467359951913,0.00501098240024985,0.999946253490421,-3.28367467318366
"FOLH1",-2.73839136354349,-1.83809944032426,-3.04795162106452,0.0060060784157545,0.999946253490421,-2.93584732142461
"IL21R",3.12358529437767,-1.60016658382367,3.03431094443099,0.00619764719838448,0.999946253490421,-3.50485711488744
"RPS4Y1",-6.99100202607326,0.10834479192747,-3.02198746698273,0.00750491391888032,0.999946253490421,-2.46879338182555
"FAM88E",-3.68634875464189,-0.975222919837508,-3.00940143770675,0.00656469397287835,0.999946253490421,-3.30819229244676
"MYC",-3.12872314145519,4.36732713255296,-2.99602374490282,0.00676998119476412,0.999946253490421,-2.28562385109174
"LOC124907975",2.08581146921504,-2.02269033088053,2.97574771766881,0.00707274694065575,0.999946253490421,-3.43494985316352
"LOC105374968",1.52705060781287,-1.88503681848875,2.93610174865825,0.007746212672317,0.999946253490421,-3.51366748628821
"KMT2E-AS1",-0.833513327633213,2.41767246639532,-2.91015559273179,0.00821990790443117,0.999946253490421,-2.60938484799771
"ZNF736",-6.35626941000311,2.79660785960923,-2.90061873233237,0.00842335625530972,0.999946253490421,-2.85563510315454
"ZNF528-AS1",-1.39252643184062,0.0156634934659113,-2.87418850256656,0.00893567433121175,0.999946253490421,-2.83057485297846
"MED15P9_1",-1.42626591905737,-1.39499769842166,-2.85183920296883,0.00938777564275975,0.999946253490421,-3.16034781005093
"SALL3_1",-4.19103806659181,-1.79026805551319,-2.843216088221,0.00959753674187933,0.999946253490421,-3.38816639421914
"OTP",-6.46877736513531,-2.26967384249295,-2.82722026273301,0.00995160314047477,0.999946253490421,-3.53215003526205
"PPP1R14C",1.13393251548875,3.75806523285979,2.82087204608985,0.0100955427788948,0.999946253490421,-2.63790211831228
"DANT1",2.40730105795495,-2.30465720201831,2.81697232041443,0.0101751477004189,0.999946253490421,-3.5593225310286
"MPL",2.09116059335479,-1.89261367135793,2.81029726091251,0.0103154952972539,0.999946253490421,-3.57298154081092
"COMT",0.936640001846259,5.84765374432211,2.79644262760682,0.0106681699899214,0.999946253490421,-2.64622313984865
"HPS1-AS1",1.71472686415906,-1.19759199339336,2.79112483219972,0.0107712794174291,0.999946253490421,-3.40647963733369
"LOC124904068",2.59644989983109,-2.19018798919776,2.78686321219375,0.010892008637465,0.999946253490421,-3.66951017414163
"LOC100129931",-1.30357097746679,-0.914248175887236,-2.77372721759572,0.0112021184521117,0.999946253490421,-3.10950853336893
"TLR2",2.63458991960903,-1.42227039712042,2.76182899741506,0.0115277512978139,0.999946253490421,-3.6303401337039
"FAM24B",-2.24549803804115,-2.62557634564282,-2.75616452080836,0.0116800609979639,0.999946253490421,-3.3981484779771
"FAM228B",0.822818548046233,2.55766764828814,2.7436307918624,0.0119861212569012,0.999946253490421,-2.86765588041852
"SYCE1",-3.84950974737371,-3.72884748646427,-2.73950750688004,0.0132486456475119,0.999946253490421,-3.7814748342564
"H3Y1",-4.80918831951446,-3.26861959520359,-2.73400861289235,0.0165909984317082,0.999946253490421,-3.80129276055227
"KCNH5",-1.59282851930321,1.02268607245628,-2.7188393387535,0.0126990320987559,0.999946253490421,-3.06414290482141
"LOC107984340",-1.94300915158809,-2.15695789598307,-2.70447680350661,0.0130988505317659,0.999946253490421,-3.48128511654235
"LOC101928462",2.25333705821732,-0.161130683450153,2.69774772091936,0.0133113442282336,0.999946253490421,-3.26849381701938
"TCEAL5",-3.68026034158148,1.7038494623708,-2.67973371213285,0.0138563175480806,0.999946253490421,-3.08175122230804
"CXCR6",-2.05711534352598,-1.94149868131964,-2.67657975293094,0.0139403534851776,0.999946253490421,-3.56400626198051
"POLR1HASP_5",1.65102615475059,-1.69723077106025,2.67480095466356,0.0139796166988025,0.999946253490421,-3.66644617658451
"LOC124903381",-1.94179108684761,-2.39439195971582,-2.6739934606755,0.0140136518748975,0.999946253490421,-3.55942503567366
"PCBP3",0.739992428589204,1.9555985251071,2.67127269388937,0.0140898146222634,0.999946253490421,-3.00458968375843
"LOC729218",-0.5533173219533,3.81282284395569,-2.67006007228521,0.0141278773343475,0.999946253490421,-2.88198377323823
"C3orf49",1.33680391638783,-1.51434600456728,2.66141214875223,0.0144021523509096,0.999946253490421,-3.42576221995611
"KIAA0087",-1.30225072254826,-0.154925389939412,-2.65514230206285,0.0146052717679381,0.999946253490421,-3.24084459767063
"TRA2A",0.506371214432465,6.61745650998564,2.64657587604926,0.014884430290567,0.999946253490421,-2.93371019080266
