"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1QL1",2.81004809423145,3.85248797245655,8.29437175595979,3.85942769338563e-08,0.000815188317396914,8.70951966231904
"PIK3CD",1.61885714991194,4.87087850318907,7.13715806965521,4.22584025780865e-07,0.00446290989627172,6.57676754159878
"EYS",2.83692194750691,-0.0732546616665495,6.89625257657822,7.07932050991698e-07,0.00498431359368221,5.23518362300143
"SPOCK1",1.99955541622692,5.80120574048401,6.64855737359312,1.2423388812873e-06,0.00522917260348054,5.56269461858126
"PCDH8",3.16282737791453,4.18323516093183,6.53238784450065,1.60887453995111e-06,0.00522917260348054,5.28332350936655
"TSPO",1.9690999815816,5.24388335743602,6.50967947091489,1.69261218437705e-06,0.00522917260348054,5.26726464026133
"GPX7",-2.60138794742865,3.09871552614147,-6.49913808892947,1.73298968962995e-06,0.00522917260348054,5.06739767317138
"SFXN3",1.17202218326375,5.8459366518164,6.37251809453806,2.26952222146654e-06,0.00599210604522703,4.97873565653331
"COL9A1",-2.6426647775552,3.73829074164608,-6.2742864392378,2.87486333206266e-06,0.00674698481109195,4.65040134560811
"DPF3",2.30078869875142,3.50901973712635,6.14917584064861,3.82022001815811e-06,0.00806906872235355,4.43529032476671
"PEA15",1.13966447034489,9.07350911243031,5.97770785376628,5.63436265573475e-06,0.0108190007285845,4.0603068929745
"FBXL8",2.20156611579122,0.0412686934026054,5.77443372482698,8.91586228414746e-06,0.0152336090774727,3.23305237883555
"GFAP",4.80509347194929,0.933974358652497,5.75919274475941,9.37586014615783e-06,0.0152336090774727,3.43021026115625
"NMU",-2.72427971421556,2.7186639495225,-5.67015711914203,1.15357910011089e-05,0.0174042126803873,3.32124217944542
"ODF2",-0.744085825182577,6.35371080448256,-5.52147214834057,1.61098858582412e-05,0.0226848672731848,3.07764784136678
"ZHX3",1.06472742359487,5.44647180614845,5.46447225444653,1.84847801948971e-05,0.0234286063858362,2.96677961248569
"DEPP1",2.1394134897237,1.94124192547928,5.45322847144551,1.91602994569715e-05,0.0234286063858362,2.86803567776809
"GPR155",1.8586214117862,3.80230048833187,5.42757256582253,2.0375713339248e-05,0.0234286063858362,2.90536434627713
"IDS",0.807932111094421,8.28234356741895,5.39542519780126,2.16894187825813e-05,0.0234286063858362,2.75152267285221
"DIRAS2",1.68000614375994,4.93918685744731,5.34364207564911,2.48401515150896e-05,0.0234286063858362,2.71486480455388
"TANK",0.898274399436759,4.83462810317481,5.34073477296802,2.46877567297349e-05,0.0234286063858362,2.70907012220545
"TCHH",-4.01908152579167,-0.337171210348124,-5.33487484041446,2.53604896870761e-05,0.0234286063858362,1.94851884737861
"BRINP1",3.12809719933393,3.93965473076519,5.28987298812828,2.82109047325469e-05,0.0234286063858362,2.6035726010816
"NINJ2-AS1",-1.89850429184731,-0.698624274549257,-5.28923228902356,2.78958959275103e-05,0.0234286063858362,2.06223167238013
"PLIN2",-1.6526210236695,2.571999276144,-5.26422899672282,2.96905068170781e-05,0.0234286063858362,2.49911257952644
"LRFN5-DT",-2.83036039640674,0.616079718686656,-5.2481282002901,3.11454619098695e-05,0.0234286063858362,2.20791475848451
"PIK3CB",0.823607188438314,4.9231594510871,5.24271605453556,3.11562426713334e-05,0.0234286063858362,2.48466899278056
"POGLUT3",-1.78524226580321,4.37167852522309,-5.23452874074083,3.21669153105411e-05,0.0234286063858362,2.47960770639679
"PPP1R9B",0.751453871611591,7.44417347734988,5.23070075187708,3.20595451465116e-05,0.0234286063858362,2.38290807788405
"MYBPH",4.09049406562155,-2.02306329176368,5.18932977126582,3.58125167903656e-05,0.0244242432538557,1.41041523160509
"NFIX",4.2301419863228,5.67665051982677,5.1695745951936,3.75349236487306e-05,0.0244242432538557,2.29541128747442
