"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC02864",-6.32259168779104,-3.78548688913226,-10.4408951999164,5.85519561255384e-09,4.12244805761207e-05,-0.203220223323034
"ZNF667-AS1",-6.98234219989174,-3.96107352804888,-10.0036551308224,3.23514665475442e-05,0.0488091197440878,-2.74422232840892
"ZNF471",-6.51976590327593,-3.12834537080604,-9.36886796749288,4.71652034432194e-09,4.12244805761207e-05,1.22520240766089
"NNAT",-3.37019704260588,3.09885558589187,-9.34158508077917,5.06013949335465e-09,4.12244805761207e-05,7.28630603908385
"ZNF248",-5.54773399875067,-0.962895129632063,-8.0834060250172,5.90217136067323e-08,0.000270493066860581,3.84036468487958
"SLITRK4",-7.3978260530785,-2.77422354383725,-8.04042354132243,6.40311208362326e-08,0.000270493066860581,-0.00995746897186311
"PNPO",-5.7667772118679,0.953626909584052,-7.50348062849971,1.95641487819842e-07,0.000688723250955118,1.87708385044634
"MIR4458HG",-5.24375779119047,-4.23319148877871,-6.86198751083409,2.10256486487043e-05,0.0341618269813793,-2.12631348235979
"LOC105373436",-4.69292390874824,-3.9507755198245,-6.67373892730619,1.15073639788239e-06,0.00347226488515313,-0.918063903517341
"ZNF667",-4.28904387353653,-2.12583410170255,-6.54483719694863,1.55145404461544e-06,0.00409622654129591,0.620169399126875
"CTSF",-8.80692042847553,0.634381653767235,-6.20484058651091,3.36552248589531e-06,0.00789850732745342,-0.754457173017006
"KHDRBS2",-5.48018347116173,-2.92877803404118,-5.985255162292,5.55999364634415e-06,0.0117438185798081,-0.723611984762704
"ZNF248-AS1",-3.91291213429877,-4.44815731452648,-5.47888320996815,1.78098382645264e-05,0.0336387758128807,-1.69718197761459
"CCDC152",-5.04064232812032,0.0555170222910136,-5.45477442671804,1.91111310365765e-05,0.0336387758128807,-0.590051796744469
"PCDHGC3",-3.15271311406657,2.67398938433449,-4.75805295895127,0.000100474438868685,0.141481406518958,0.465764446070644
"CMC1",-1.01936487038684,2.70135333561684,-4.4050234523155,0.000233441693991719,0.308172216280818,-0.0448492354424266
"ZNF44",-3.08208700767938,-0.250277376769211,-4.32424557658847,0.000286115230600382,0.355489758867133,-0.873870056339205
"LOC105375148",-4.72883484397991,-1.22573452771856,-4.04918047164945,0.000556167687323267,0.640168714048513,-2.42037776843012
"TUSC1",-2.83884729209277,1.44319512229279,-4.01467669129314,0.000604474037610493,0.640168714048513,-0.771210981042757
"POLE4",-1.29533276014842,3.17013785833388,-4.00722562139558,0.000611610132075472,0.640168714048513,-0.595404114339226
"GABRA2",-3.5323869870127,-1.3344368537148,-3.99330123697109,0.000636471119923244,0.640168714048513,-1.23915378841389
"POLR1HASP_5",2.35513859852229,-1.69723077106025,3.96720661714334,0.00067355149659604,0.646670668686435,-2.34982629746322
"LOC339975",1.30425237325405,2.98627875790557,3.80963010626933,0.000985087108775907,0.904652604850639,-1.07094201334158
"LRRC61",-5.38317075163987,-2.49193699458497,-3.75483896569311,0.00113004831286706,0.994536686015755,-2.68348196712209
"ZNF823",-1.04883255308255,1.52455708064979,-3.6911419517463,0.00130972189541131,0.999978842479825,-1.42703651763492
"EDNRB",-7.3423634756539,0.834286957037987,-3.66359361378272,0.00140637937308826,0.999978842479825,-2.01991685682165
"POTEF_1",-2.67720433864617,-1.64829496320689,-3.5814899372514,0.00171135023670849,0.999978842479825,-1.9878609977039
"TRIM4",-7.93065807128617,-1.91308005255132,-3.55134804704975,0.00183892198017603,0.999978842479825,-2.68110288183911
"OR51E2",-4.18489327900138,-2.65979337414736,-3.52526215186573,0.00233889599441619,0.999978842479825,-3.06884292483816
"URB1-AS1",-2.15758884184257,-1.11219096609033,-3.49042396589924,0.00212221165016877,0.999978842479825,-2.19535888169342
"SLITRK2",-5.73578915600692,-3.95821876167146,-3.39442677701047,0.0033391355753473,0.999978842479825,-3.03811423225991
"PKIB",-0.997590980825152,5.66113397268047,-3.38839772795679,0.00270789881382614,0.999978842479825,-1.51366677723118
"C8G",1.81696805918622,-0.691427744102009,3.31124560399277,0.00323613866749259,0.999978842479825,-2.65020998288406
"LINC03077",-3.88700009108957,0.202131774876347,-3.28651432959303,0.003443393936241,0.999978842479825,-2.12148557295393
"ZXDA",-6.90021361627859,-1.22749123219714,-3.25651631059755,0.0036947918065807,0.999978842479825,-2.89790059895675
"ZNF528-AS1",-1.59739882839871,0.0156634934659113,-3.2509833992071,0.00373704008516317,0.999978842479825,-2.18010871324953
"FAR2P1_1",-2.22616021352068,-0.859718698908613,-3.18941016933828,0.00432345559894449,0.999978842479825,-2.33131914734873
"LOC105377177",-5.02876551269755,-3.66152245169824,-3.18432718491193,0.00500887490306136,0.999978842479825,-3.24368241837673
"LOC107986422",1.90164108660451,-1.82667926469102,3.17616657498782,0.00444385981315442,0.999978842479825,-2.91298714552512
"SLFN11",3.03825779065128,0.188093673449672,3.16190986033476,0.00461003710213465,0.999978842479825,-2.95172693489605
"VWC2",1.65892302990938,2.03439820332191,3.14458258871682,0.00479996524189548,0.999978842479825,-2.19951792326872
"LOC105374423",1.5701485139998,-0.969650442582044,3.12387655374551,0.00502028868890263,0.999978842479825,-2.7837494099308
"ZNF619",-0.738070577907072,2.80237965741807,-3.02139536895332,0.00636661178046277,0.999978842479825,-2.32303491428553
"LINC02515",1.21392507312899,-0.948237543914246,2.99541836707935,0.0067595971980359,0.999978842479825,-2.81602713861921
"MPL",2.20287743799182,-1.89261367135793,2.97829196890713,0.00703209306060709,0.999978842479825,-3.26022164582003
"LOC107984340",-2.21102896868513,-2.15695789598307,-2.97087936123672,0.00716249548783721,0.999978842479825,-3.1188420329655
"ARIH2",0.472400245809184,7.20969538842932,2.94532190631305,0.00758426859828731,0.999978842479825,-2.41150086328903
"HIF1A-AS3",-1.65364306933422,-1.36332750026083,-2.88960976571241,0.00861537552204166,0.999978842479825,-3.03405892870758
"UBE2E1-AS1",1.36152522209155,-1.53408625036712,2.87583047883746,0.00888930952905139,0.999978842479825,-3.30621665719308
"IQCA1",-2.90531904539848,-1.64050349956283,-2.87432061614596,0.00894315437767168,0.999978842479825,-3.40000033559552
"USP48",0.386500630882811,6.6348778981863,2.84633806128418,0.00950577519315666,0.999978842479825,-2.6017342326583
"LOC124904896",1.30251884135693,0.493713810110779,2.82899092487387,0.0098926103324625,0.999978842479825,-2.80125777134702
"HSPBAP1",0.639338623529746,2.91554669699644,2.82186592812237,0.0100480573177924,0.999978842479825,-2.66346371171938
"MYC",-2.93720641719185,4.36732713255296,-2.79747026066553,0.010643471757427,0.999978842479825,-2.65222223912421
"LOC124907975",1.94126458859261,-2.02269033088053,2.74722525795663,0.0118900092018352,0.999978842479825,-3.45327407707653
"ATR",0.370762251630583,5.5628452428952,2.73890212620138,0.0121139715178086,0.999978842479825,-2.78127854111764
"PGM5-AS1",-2.46845085848928,-1.29384968527195,-2.7198452347399,0.012670506546779,0.999978842479825,-3.37611264837405
"LOC105374968",1.42108883746355,-1.88503681848875,2.71362476554016,0.0128196117930583,0.999978842479825,-3.52314647712794
"LOC105376982",-1.63403263696529,-0.826582369126234,-2.68835486197354,0.0135721959628359,0.999978842479825,-3.21408352474598
"SALL3_1",-3.9397555647815,-1.79026805551319,-2.67750028077588,0.0139253355604914,0.999978842479825,-3.37743732188947
"MAFIP",-7.50843484454762,-1.96324759795211,-2.66156026578372,0.0156541021311934,0.999978842479825,-3.55735889107178
"H4C11",-1.09565723660394,-0.52080848094352,-2.65691144871433,0.0145468753147386,0.999978842479825,-3.14740873529921
"ZNF578",-2.51206608276108,-2.45153679574529,-2.65514461772715,0.0146342947344111,0.999978842479825,-3.33025421746175
"JMJD1C-AS1",-1.95920297864392,-2.13159116872331,-2.64711302608423,0.0148670926587655,0.999978842479825,-3.58384086488962
"LINC00539",-0.975826170735761,-0.422106907195382,-2.60967326447342,0.0161508344361738,0.999978842479825,-3.20373645224715
"EYS",1.20453855445239,-0.0732546616665495,2.60127743057865,0.0164602889476165,0.999978842479825,-3.11058976923432
"OTP",-5.37122756478607,-2.26967384249295,-2.59117609444221,0.0168555283841054,0.999978842479825,-3.46639647711927
"LOC124906092",1.01176187619489,0.269388917421534,2.58982486435188,0.0168732206135573,0.999978842479825,-3.16668795456024
"LOC105370821",2.89159220931111,-2.89241146077131,2.58939205373796,0.0169138441621784,0.999978842479825,-3.79297593934611
"LOC105375785",1.54312267907354,-1.56394588397299,2.58287658429363,0.0171331966749698,0.999978842479825,-3.47802089742402
"CERS1",-0.504263658773707,2.82580950780232,-2.57865493899185,0.0172929843362718,0.999978842479825,-3.03133306439085
"LHX9",-2.50786187316245,3.3834398605276,-2.57581596468996,0.0174341932523251,0.999978842479825,-3.0566087391119
