"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast"
"STIM1",0.722882756357046,5.66674968015069,3.12119562089095,0.00505850757323646,0.53847916415645,-2.26172318696537,"G32A_vs_Ctrl_D35"
"CACNG3",-1.85235873953447,-1.38710816601042,-2.45417235445517,0.0227190099038354,0.549909629451097,-3.22808965371699,"G32A_vs_Ctrl_D35"
"MYLK3",1.05813902458961,0.495328928366874,1.89205516859069,0.0720318631575242,0.593339735959391,-4.12491428449422,"G32A_vs_Ctrl_D35"
"CACNA1S",1.52433604245935,-2.66065688336907,1.27410598557571,0.216235408974809,0.705596216339551,-4.63613690499503,"G32A_vs_Ctrl_D35"
"CALB1",1.8989886357115,3.90867535588446,1.5587117397058,0.133673440738101,0.653272319356157,-4.88413028207797,"G32A_vs_Ctrl_D35"
"RYR1",2.01648266016057,2.97137899000881,1.26781351918831,0.218432068102453,0.706757400997718,-5.03837649852474,"G32A_vs_Ctrl_D35"
"VDR",0.61700334928523,-1.27410442368784,0.353590248559854,0.727091923797621,0.932914324775443,-5.22200499878924,"G32A_vs_Ctrl_D35"
"ATP2A1",-0.10063438900309,1.82781790452184,-0.314760977236569,0.755967302971865,0.939213300111149,-5.71957301802735,"G32A_vs_Ctrl_D35"
"STIM2",-0.25385603233549,5.14868837713505,-0.799624297493194,0.432680496349643,0.826616990222247,-5.93424572091687,"G32A_vs_Ctrl_D35"
"CALR",0.326808301401426,9.0006934299441,0.594500818943899,0.558386166924915,0.878715756927233,-6.29607902069593,"G32A_vs_Ctrl_D35"
"CACNG31",-1.86636585876961,-1.38710816601042,-2.60887362279373,0.0162111851992118,0.450340128679877,-2.97261196057207,"R403C_vs_Ctrl_D35"
"STIM11",0.582274472551365,5.66674968015069,2.57993644060953,0.0172577325013481,0.458045766595324,-3.3438621143688,"R403C_vs_Ctrl_D35"
"MYLK31",1.0804595354049,0.495328928366874,1.98956690764083,0.0595116412720507,0.529708879555309,-3.96373269514268,"R403C_vs_Ctrl_D35"
"CACNA1S1",1.61614613357429,-2.66065688336907,1.39361871153228,0.177681938332311,0.639296282211369,-4.51772998456031,"R403C_vs_Ctrl_D35"
"VDR1",1.20497220979035,-1.27410442368784,0.727161466439511,0.474976329293857,0.822913007436977,-5.05424058421132,"R403C_vs_Ctrl_D35"
"RYR11",1.77909928916562,2.97137899000881,1.13938716377451,0.267085543319566,0.704939100323284,-5.13119351749264,"R403C_vs_Ctrl_D35"
"CALB11",1.54983151994584,3.90867535588446,1.28228859301772,0.213404435293821,0.66704222698163,-5.18011265271951,"R403C_vs_Ctrl_D35"
"ATP2A11",0.278535930000159,1.82781790452184,0.914792216012498,0.370413060360444,0.768531256067,-5.35784243149171,"R403C_vs_Ctrl_D35"
"CALR1",0.537152472313993,9.0006934299441,1.01076661060512,0.32337621795892,0.742336401368942,-5.92699092153551,"R403C_vs_Ctrl_D35"
"STIM21",-0.0681930909139972,5.14868837713505,-0.224495047498313,0.824493280842967,0.954301060090408,-6.19750062565482,"R403C_vs_Ctrl_D35"
"CACNG32",-2.05116642919332,-1.38710816601042,-2.16059844388691,0.042159624590911,0.999978842479825,-3.81189084947219,"G32A_vs_Ctrl_D65"
"CACNA1S2",0.709143774893571,-2.66065688336907,0.45976245664354,0.650305100877617,0.999978842479825,-4.77273552664981,"G32A_vs_Ctrl_D65"
"VDR2",-0.327624228683524,-1.27410442368784,-0.246450331816756,0.80767294054592,0.999978842479825,-5.09563036836365,"G32A_vs_Ctrl_D65"
