"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NNAT",-4.17800225599635,3.09885558589187,-13.9359337600785,3.04648281065213e-12,6.43478099265943e-08,15.6036494413111
"LINC02864",-6.52543569295553,-3.78548688913226,-12.7311910227358,2.64552999063693e-10,2.79394422311167e-06,4.83134426736818
"ZNF667-AS1",-7.01749941047521,-3.96107352804888,-11.8510087989711,1.11869716030327e-05,0.0236291214199256,-0.669097922317384
"ZNF471",-6.69398259105832,-3.12834537080604,-10.0867111518873,1.27533645947401e-09,8.97921889900332e-06,5.34095851653164
"ZNF248",-7.86501086152969,-0.962895129632063,-9.00125674578777,9.70207997584011e-09,4.335405408267e-05,5.85949135002044
"SLITRK4",-6.40590687159593,-2.77422354383725,-8.96819809707675,1.02627720108583e-08,4.335405408267e-05,5.26601143408919
"LOC105373436",-5.06561098064398,-3.9507755198245,-8.54131614537303,2.28982309581616e-08,8.06094057163817e-05,3.90068489476556
"MIR4458HG",-5.32987695278757,-4.23319148877871,-8.26134895206146,3.44641554633644e-06,0.00808835435219093,0.786925829997796
"ZNF667",-4.78251181253579,-2.12583410170255,-7.73429843707851,1.19371805992529e-07,0.000360195898024884,4.4509627615866
"KHDRBS2",-5.40383519183502,-2.92877803404118,-7.12544523719068,4.3778406281027e-07,0.00115585937183482,3.45111405910322
"NRGN",-2.71681353256617,2.58753850922874,-5.03614849239333,5.15887033293432e-05,0.0990596901565807,1.99470174561676
"HAPSTR2",-2.17644083436056,0.46946243627275,-4.83410448861098,8.3535627995797e-05,0.147036627877269,1.34539901993973
"STMN3",-0.951448984675243,7.03493477627731,-4.76163740691819,9.91445608516904e-05,0.161087031869954,1.39216490974735
"KCNH5",-2.11866971714364,1.02268607245628,-4.65110359541358,0.000129975161117685,0.196095382366267,1.0286858204169
"NEUROG3",-5.1125107601561,-3.62655464192369,-4.5519655270141,0.000165071642871706,0.232442882715745,-0.336290759471582
"ZNF572",-2.88257671040865,-2.56274043437508,-4.43549199614421,0.000216844922833945,0.286262403756162,-0.698004642341776
"RARRES2",2.94552851473373,1.73460627389714,4.39602648952638,0.000240549460539811,0.298875629736582,0.443456164700877
"LOC124905449",1.68054410010205,0.163029768728002,4.32916614783198,0.00028050659693169,0.329158907799508,0.0730901138439863
"PIK3R3",-1.01736350387874,4.24511080145712,-4.26097579198765,0.00033097872064135,0.350136114643409,0.331671527142806
"TUSC1",-2.56427065835,1.44319512229279,-4.1927550837548,0.000393160337409309,0.350136114643409,0.142982732605415
"KRTAP5-AS1_3",-2.75748029119346,-1.97122733016035,-4.16470293881893,0.000419515238862711,0.350136114643409,-0.590328423071455
"CYBRD1",2.01600463726053,4.64389614632803,4.16336549439261,0.000422100652297224,0.350136114643409,0.116765755802151
"DNAH3",2.21037848110364,-1.11388007514026,4.14931683445161,0.000433587304762366,0.350136114643409,-0.623581084413576
"LOC124908054",-2.79513448348597,-2.81189554853572,-4.14820677606246,0.000434907583273804,0.350136114643409,-0.922743869708387
"TMEM158",-2.02682211869038,4.98591036071328,-4.13026318348873,0.000457249924711033,0.350136114643409,-0.00114400521037883
"ACSS3",2.51127262696477,3.38261260449079,4.10970116727053,0.000480538004092375,0.350136114643409,-0.0274663993629849
"FGD3",-1.96693429109265,1.20535743912646,-4.10758877751561,0.000482996427628823,0.350136114643409,-0.0688202062583869
"SRD5A1",-0.797315380053711,5.65080551153825,-4.10561464385485,0.000482084188798904,0.350136114643409,-0.0641020822988621
"LOC124902392",-2.05100932600322,-3.13312721942164,-4.07522265788733,0.000518742571224458,0.350136114643409,-0.627205690194209
"PTGES2-AS1",2.40813083119656,-2.01774403754407,4.06967690823191,0.0005257491915077,0.350136114643409,-1.30480042188586
"LRFN5-DT",2.30044357506994,0.616079718686656,4.06576560874065,0.000534335245794356,0.350136114643409,-0.280234791276755
"VOPP1",-0.706362849588404,6.97537487637493,-4.05936285362917,0.000539135376658616,0.350136114643409,-0.212399653089625
"PEAK1",0.891876041010705,6.71498212697634,4.03049471336575,0.000580568123797602,0.350136114643409,-0.26536489037005
"SARM1",-0.743778229672187,5.71052732236961,-4.02121519363022,0.000591175591447159,0.350136114643409,-0.266972776215241
"DEPDC5",-0.567714763923656,4.443405099195,-4.02054156012103,0.000592090123432103,0.350136114643409,-0.21036822998505
"CCDC27",1.81422060067232,-1.05690210745772,4.01728774784315,0.000596766410716918,0.350136114643409,-0.829702356533202
"FOLH1",-3.88185913550771,-1.83809944032426,-4.00321473214098,0.000621427332077916,0.354751029949993,-0.875709867336036
"PLA2G4A",3.01441538163975,0.135373896027722,3.97776362286757,0.000660781179579256,0.355947804864042,-0.562565232437819
"ZNF350",-1.03575652353673,2.617817066462,-3.97523136458691,0.000660618059084891,0.355947804864042,-0.302743181976035
"PYROXD2",1.74744156098373,3.87557567262566,3.96950266485589,0.00067407973650988,0.355947804864042,-0.302841588752254
"LINC00324",-2.71932577625214,-1.70241818828675,-3.9377757514052,0.000727672184130486,0.36461258526698,-0.806925866148008
"COL6A2",2.1377819475646,6.87326612117753,3.9370535336816,0.000728940164418333,0.36461258526698,-0.434493965107248
"IBTK_1",1.316557632264,0.368553487479703,3.91916046684549,0.000756418492450597,0.36461258526698,-0.642285601902123
"TTC17",0.760243400209911,7.10486288889973,3.91804958078635,0.00075953762672792,0.36461258526698,-0.525985679333228
"PGM5-AS1",3.55607523117303,-1.29384968527195,3.90080815164227,0.000795473211606177,0.365260547294471,-1.31643605685431
"ZNF248-AS1",-2.68486170076739,-4.44815731452648,-3.8988155138323,0.00079448731690347,0.365260547294471,-1.61780161999459
"CEND1",-1.40238286799538,4.2656518761911,-3.87318273591317,0.000850198264199297,0.382082717796118,-0.5270144092474
"LOC101930112",-1.15196831920507,0.691657707806269,-3.8606430620644,0.000871112736341055,0.383325900354078,-0.59262685590602
"MTMR11",1.63578935896066,3.03477151133897,3.82882039336007,0.000945919819208671,0.396448418554931,-0.617778036929068
"BAIAP2L1",1.79400417750978,3.09671829093596,3.82372693987537,0.000957648030288259,0.396448418554931,-0.625347665441709
"UCHL1",-0.468228976786332,8.77330048985088,-3.81280082278544,0.000977559902944204,0.396448418554931,-0.806264199283778
"TEDC2-AS1",-1.47214686381078,-0.922388735321394,-3.80567444315949,0.000994481037434868,0.396448418554931,-0.894054589868507
"ACTR3B",-1.31575203946357,5.04700767398914,-3.78453479679479,0.00105225842354695,0.396448418554931,-0.780197122076564
"CYBA",1.83027506714545,3.41185438217231,3.77630325347852,0.00107327474843247,0.396448418554931,-0.712410754165924
"SLC16A5",2.50327000266474,-0.0219127500547736,3.77347326769843,0.0010805955726918,0.396448418554931,-0.884587725319426
"DIRAS2",-1.29683722077139,4.93918685744731,-3.75385703602575,0.00113271536951695,0.396448418554931,-0.801748166842295
"POTEC",3.68457409118599,-4.41717960659139,3.72664220217995,0.00238465442111551,0.396448418554931,-2.3969079236669
"SPATA1",1.41618654124425,-1.09800528550045,3.71747833859184,0.00122946855611473,0.396448418554931,-1.26764334429741
"CNKSR3",2.14312720233893,4.2212816937841,3.71661952359963,0.00123857986985926,0.396448418554931,-0.843661009849922
"DAPK2",-1.19510858447416,1.26276368728318,-3.70691753170708,0.00126104977168738,0.396448418554931,-0.891202214424666
"GPR39",-1.85485942598109,-0.745058723844695,-3.70496534095422,0.0012714115919121,0.396448418554931,-0.982912782529877
"ELMO1",-1.319012816188,4.0739247544075,-3.70228697082105,0.00128188077728286,0.396448418554931,-0.889075699741175
"TRIM24",-1.02246141981588,7.2921421712751,-3.69772074531305,0.00129598735382333,0.396448418554931,-1.05440203414371
"LOC124902696",2.55587233134714,0.791662960583151,3.689130438642,0.00132294202024344,0.396448418554931,-1.01442135412317
"P4HA1",1.4911745365605,6.23316397561853,3.68037033081503,0.00135099895687235,0.396448418554931,-1.02432158674838
"GPBAR1",2.57977939308252,-1.03672831398662,3.67087805503468,0.00138019979386533,0.396448418554931,-1.38813653084961
"LINC00673",-1.73628285002442,2.31451585821055,-3.66750364058204,0.00139327553644192,0.396448418554931,-0.948910752557285
"GLRA3",-3.06081207927524,-0.48969095328211,-3.66652419579166,0.00139654664733798,0.396448418554931,-1.07568979983822
"SFMBT1",-0.827182493175165,4.04030947191018,-3.65528717815723,0.00142743233596593,0.396448418554931,-1.00478659688775
"DGKI",-1.87056548108231,4.40771944632083,-3.64854955300971,0.00145793971043292,0.396448418554931,-1.02063416904137
"GRIK3",-3.05734685185545,4.14951199187236,-3.6465550465545,0.0014649138264411,0.396448418554931,-1.01676566045978
"HSD17B14",1.85369862194444,3.80543660456171,3.64275646724373,0.00147828720940422,0.396448418554931,-0.992185825987531
