"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NNAT",-3.37019704260588,3.09885558589187,-9.34158508077932,5.06013949335748e-09,4.12244805760923e-05,7.28630603908357
"ZNF248",-5.54773399875067,-0.962895129632063,-8.08340602501715,5.90217136067688e-08,0.000270493066860698,3.84036468487942
"PNPO",-5.7667772118679,0.953626909584052,-7.50348062849972,1.9564148781993e-07,0.000688723250955426,1.87708385044629
"ZNF471",-6.51976590327593,-3.12834537080604,-9.36886796749323,4.71652034432293e-09,4.12244805760923e-05,1.22520240766089
"ZNF667",-4.28904387353653,-2.12583410170255,-6.5448371969488,1.55145404461557e-06,0.00409622654129627,0.620169399126931
"PCDHGC3",-3.15271311406657,2.67398938433449,-4.75805295895121,0.000100474438868717,0.141481406519002,0.465764446070513
"SLITRK4",-7.3978260530785,-2.77422354383725,-8.04042354132254,6.40311208362602e-08,0.000270493066860698,-0.00995746897187733
"CMC1",-1.01936487038684,2.70135333561684,-4.4050234523162,0.000233441693991362,0.308172216280347,-0.0448492354413306
"LINC02864",-6.32259168779104,-3.78548688913226,-10.4408951999176,5.8551956125498e-09,4.12244805760923e-05,-0.203220223322981
"CCDC152",-5.04064232812032,0.0555170222910136,-5.45477442671804,1.91111310365811e-05,0.0336387758128888,-0.590051796744446
"POLE4",-1.29533276014842,3.17013785833388,-4.00722562139578,0.00061161013207527,0.640168714048674,-0.595404114338942
"KHDRBS2",-5.48018347116174,-2.92877803404118,-5.98525516229205,5.55999364634508e-06,0.0117438185798101,-0.723611984762645
"CTSF",-8.80692042847553,0.634381653767235,-6.20484058651081,3.36552248589709e-06,0.00789850732745759,-0.754457173017038
"TUSC1",-2.83884729209277,1.44319512229279,-4.01467669129308,0.000604474037610646,0.640168714048674,-0.771210981042868
"ZNF44",-3.08208700767938,-0.250277376769211,-4.32424557658846,0.000286115230600423,0.355489758867185,-0.873870056339204
"LOC105373436",-4.69292390874824,-3.9507755198245,-6.67373892730664,1.15073639788174e-06,0.00347226488515117,-0.918063903517135
"LOC339975",1.30425237325405,2.98627875790557,3.80963010626955,0.000985087108775504,0.904652604850269,-1.07094201334125
"GABRA2",-3.5323869870127,-1.3344368537148,-3.99330123697104,0.000636471119923404,0.640168714048674,-1.23915378841395
"ZNF823",-1.04883255308255,1.52455708064979,-3.6911419517468,0.00130972189540987,0.999978842479829,-1.42703651763417
"PKIB",-0.997590980825151,5.66113397268047,-3.38839772795681,0.0027078988138262,0.999978842479829,-1.51366677723119
"ZNF248-AS1",-3.91291213429877,-4.44815731452648,-5.47888320996855,1.7809838264515e-05,0.0336387758128888,-1.69718197761435
"POTEF_1",-2.67720433864617,-1.64829496320689,-3.58148993725141,0.00171135023670862,0.999978842479829,-1.98786099770388
"EDNRB",-7.3423634756539,0.834286957037987,-3.66359361378261,0.00140637937308875,0.999978842479829,-2.01991685682175
"LINC03077",-3.88700009108956,0.202131774876347,-3.28651432959295,0.0034433939362419,0.999978842479829,-2.12148557295404
"MIR4458HG",-5.24375779119047,-4.23319148877871,-6.86198751083476,2.10256486487041e-05,0.034161826981379,-2.12631348235986
"ZNF528-AS1",-1.59739882839871,0.0156634934659113,-3.25098339920718,0.00373704008516274,0.999978842479829,-2.18010871324941
"URB1-AS1",-2.15758884184257,-1.11219096609033,-3.49042396589933,0.00212221165016856,0.999978842479829,-2.19535888169331
"VWC2",1.65892302990938,2.03439820332191,3.14458258871684,0.00479996524189557,0.999978842479829,-2.1995179232687
"ZNF619",-0.738070577907071,2.80237965741807,-3.02139536895371,0.00636661178045745,0.999978842479829,-2.32303491428491
"FAR2P1_1",-2.22616021352068,-0.859718698908613,-3.18941016933827,0.00432345559894483,0.999978842479829,-2.33131914734873
"POLR1HASP_5",2.35513859852229,-1.69723077106025,3.96720661714368,0.000673551496595574,0.646670668685987,-2.3498262974629
"ARIH2",0.472400245809182,7.20969538842932,2.94532190631331,0.00758426859828323,0.999978842479829,-2.41150086328856
"LOC105375148",-4.72883484397991,-1.22573452771856,-4.04918047164944,0.000556167687323346,0.640168714048674,-2.42037776843008
"USP48",0.386500630882808,6.6348778981863,2.84633806128458,0.00950577519314851,0.999978842479829,-2.60173423265757
"C8G",1.81696805918622,-0.691427744102009,3.311245603993,0.0032361386674911,0.999978842479829,-2.6502099828838
"MYC",-2.93720641719185,4.36732713255296,-2.79747026066544,0.0106434717574296,0.999978842479829,-2.65222223912441
"HSPBAP1",0.639338623529743,2.91554669699644,2.82186592812284,0.0100480573177823,0.999978842479829,-2.66346371171864
"TRIM4",-7.93065807128617,-1.91308005255132,-3.55134804704966,0.0018389219801766,0.999978842479829,-2.68110288183915
"LRRC61",-5.38317075163987,-2.49193699458497,-3.75483896569306,0.0011300483128673,0.994536686015961,-2.68348196712209
"ZNF667-AS1",-6.98234219989175,-3.96107352804888,-10.0036551308244,3.23514665475634e-05,0.0488091197441168,-2.74422232840922
"ATR",0.37076225163058,5.5628452428952,2.73890212620186,0.0121139715177961,0.999978842479829,-2.78127854111677
"LOC105374423",1.5701485139998,-0.969650442582044,3.12387655374576,0.00502028868890006,0.999978842479829,-2.78374940993051
"LOC124904896",1.30251884135693,0.493713810110779,2.82899092487399,0.00989261033246057,0.999978842479829,-2.80125777134686
"LINC02515",1.21392507312899,-0.948237543914246,2.9954183670797,0.00675959719803083,0.999978842479829,-2.81602713861878
"ZXDA",-6.90021361627859,-1.22749123219714,-3.25651631059746,0.00369479180658169,0.999978842479829,-2.8979005989568
"LOC107986422",1.90164108660451,-1.82667926469102,3.17616657498803,0.00444385981315256,0.999978842479829,-2.91298714552489
"SLFN11",3.03825779065128,0.188093673449672,3.16190986033477,0.00461003710213483,0.999978842479829,-2.95172693489601
"CERS1",-0.504263658773707,2.82580950780232,-2.57865493899239,0.0172929843362521,0.999978842479829,-3.03133306439001
"HIF1A-AS3",-1.65364306933422,-1.36332750026083,-2.88960976571256,0.00861537552203914,0.999978842479829,-3.0340589287074
"SLITRK2",-5.73578915600692,-3.95821876167146,-3.39442677701039,0.00333913557534821,0.999978842479829,-3.03811423225994
"LHX9",-2.50786187316245,3.3834398605276,-2.5758159646899,0.0174341932523281,0.999978842479829,-3.05660873911201
"OR51E2",-4.18489327900139,-2.65979337414736,-3.52526215186574,0.0023388959944164,0.999978842479829,-3.06884292483812
"ZNF585A",-0.866470064746259,3.90656069284034,-2.5460348472354,0.0186024621620477,0.999978842479829,-3.08101094610975
"EYS",1.20453855445239,-0.0732546616665495,2.60127743057875,0.0164602889476137,0.999978842479829,-3.11058976923419
"LOC107984340",-2.21102896868513,-2.15695789598307,-2.9708793612368,0.00716249548783628,0.999978842479829,-3.1188420329654
"ZNF232-AS1",-0.727981358023446,2.08898755929048,-2.5232574673206,0.0195234226208482,0.999978842479829,-3.14536246974613
"H4C11",-1.09565723660394,-0.52080848094352,-2.65691144871458,0.0145468753147313,0.999978842479829,-3.1474087352989
"LOC124906092",1.01176187619489,0.269388917421534,2.5898248643521,0.0168732206135499,0.999978842479829,-3.16668795455995
"DTX2P1-UPK3BP1-PMS2P11",0.709742399365917,1.34903984716279,2.53357284099706,0.0190887025701303,0.999978842479829,-3.16901476608592
"CCDC15-DT",0.8762204606807,0.437617678052284,2.54579364608704,0.0185854010527768,0.999978842479829,-3.19514081610752
"LINC00539",-0.975826170735762,-0.422106907195382,-2.60967326447374,0.0161508344361633,0.999978842479829,-3.20373645224676
"LOC105376982",-1.63403263696529,-0.826582369126234,-2.68835486197364,0.0135721959628336,0.999978842479829,-3.21408352474586
"TRNL1",0.831856056345315,3.55109845737416,2.45959314630494,0.0224334011555356,0.999978842479829,-3.21698471771092
"CABYR",-0.640957101644295,2.71909712712265,-2.46291617272193,0.0222572144105715,0.999978842479829,-3.2183747654886
"OFD1",0.481157161782874,5.27759799920795,2.48007247031189,0.0214456960100264,0.999978842479829,-3.23256538835547
"LOC105377177",-5.02876551269755,-3.66152245169824,-3.18432718491187,0.00500887490306238,0.999978842479829,-3.24368241837675
"MPL",2.20287743799182,-1.89261367135793,2.97829196890728,0.0070320930606052,0.999978842479829,-3.26022164581988
"ZCWPW1",0.793768362362066,1.70428045712376,2.44473338218829,0.02314840842049,0.999978842479829,-3.27351792758321
"TRIM52-AS1",-0.439779031177561,3.47101595806981,-2.40941789955733,0.0249747481810695,0.999978842479829,-3.2980402663803
"UBE2E1-AS1",1.36152522209155,-1.53408625036712,2.87583047883792,0.00888930952904246,0.999978842479829,-3.30621665719265
"LOC124902453",-0.720859062164396,2.17146083318402,-2.40436222433359,0.0252468705403924,0.999978842479829,-3.31930375262533
"ZNF578",-2.51206608276108,-2.45153679574529,-2.65514461772714,0.0146342947344118,0.999978842479829,-3.33025421746173
"MAB21L2",-3.70710371427974,2.58596100694248,-2.41116441144524,0.0249202137484483,0.999978842479829,-3.33262515814795
"LOC124901819",1.38840846377033,-0.595505553668565,2.50577041572467,0.020292906882895,0.999978842479829,-3.33876746766886
"PGM5-AS1",-2.46845085848928,-1.29384968527195,-2.71984523473992,0.0126705065467788,0.999978842479829,-3.376112648374
"PWAR1",1.34380920270946,-1.23865578067745,2.55985818934818,0.0180215499554988,0.999978842479829,-3.37725596631024
"SALL3_1",-3.9397555647815,-1.79026805551319,-2.67750028077583,0.0139253355604934,0.999978842479829,-3.3774373218895
"LOC124902190",2.0876165834017,0.362603602296811,2.52763354007046,0.0193725527856067,0.999978842479829,-3.37813480217602
