"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPX7",-3.42953038979581,3.09871552614147,-7.885912985711,8.83188365342202e-08,0.0018654704652758,7.52798214984213
"PLXND1",3.33427563445694,6.86949877255352,6.71999806510895,1.06062539247744e-06,0.00788338972413636,5.71437380042719
"C1QL1",2.60972882467669,3.85248797245655,6.56591764484843,1.49292486017164e-06,0.00788338972413636,5.27251789112876
"GDPD5",1.28833137849127,4.76165938188978,6.27147536673858,2.84254246447687e-06,0.0120080363869361,4.76883769327508
"PIK3CD",1.44984396772205,4.87087850318907,6.10534755860386,4.19087588046176e-06,0.0147532800578522,4.40167052555188
"P4HA3",3.71924953408136,-0.809921924801688,6.62317867150392,1.29409897721814e-06,0.00788338972413636,3.8888915660712
"SFXN3",1.13301898706933,5.8459366518164,5.79780787406424,8.46997830044887e-06,0.0231477356877546,3.71718669841651
"COL9A1",-2.43560526919063,3.73829074164608,-5.75249939021603,9.52285439810281e-06,0.0231477356877546,3.57562943112521
"RAPH1",1.04153645441779,6.09276085701549,5.64980405117,1.19350652222514e-05,0.0252092447624395,3.37926897545537
"TAP2_2",1.97409251320503,-0.887535343581072,5.73086125430416,9.86315790123053e-06,0.0231477356877546,2.89317370902299
"IDS",0.84320156047448,8.28234356741895,5.44501103706278,1.9291373820635e-05,0.0339560331532877,2.87401090923196
"LARP6",0.911934115414231,4.66570256057791,5.37257896806053,2.28941706263347e-05,0.0371977439976493,2.79371640672816
"TSPO",1.71265184170807,5.24388335743602,5.3425399057736,2.49049651923739e-05,0.0375744767709515,2.7013679814858
"EYS",2.49608181928953,-0.0732546616665495,5.5433948914354,1.53509607653859e-05,0.0294766357533164,2.67435434790444
"ZNF214",-1.29828520875785,2.66887189689032,-5.29722689129286,2.73714458308856e-05,0.0385426452559977,2.55909228538843
"TBL1X",-0.875828951379394,5.90303178212403,-5.21986736671765,3.28967496325255e-05,0.0434278216086377,2.41233002615582
"RIDA",-0.939463183776042,3.75124570561743,-5.18033155092262,3.61447349077163e-05,0.0436971117039083,2.3666401213992
"FBXO43",-1.96950936879636,0.953367127875393,-5.09376964642045,4.44830550144887e-05,0.0469785544008015,1.96740190501194
"POGLUT3",-1.89366426229638,4.37167852522309,-4.98402711145208,5.84329198503297e-05,0.047066654059335,1.92531886955561
"RNF41",0.77878021190111,6.32791513480256,5.01641619513755,5.3471780680405e-05,0.047066654059335,1.92253502412972
"TSPYL5",-1.53039830808726,3.09317873382218,-4.9814903834035,5.83405593244812e-05,0.047066654059335,1.91086478754581
"PEA15",0.993641513539133,9.07350911243031,5.01290488266126,5.43845008608792e-05,0.047066654059335,1.85526876345924
"NFIX",4.69598359618709,5.67665051982677,4.92504385452816,6.72939391177816e-05,0.047066654059335,1.77765022611005
"MAGI2-AS3",-1.01725214516707,5.72254510274416,-4.93225470800993,6.56553155019433e-05,0.047066654059335,1.75456766698464
"FZD1",-1.66115598314856,6.25722398706695,-4.91510343518859,6.89158569713123e-05,0.047066654059335,1.69975465476342
"PLIN2",-1.67188209230451,2.571999276144,-4.88282081894915,7.38590205340595e-05,0.047066654059335,1.65640967635334
"HMGA2",-1.78561558391213,7.9174967442936,-4.90600535381389,7.04349434120389e-05,0.047066654059335,1.63388052297619
"ODF2",-0.684229266974058,6.35371080448256,-4.88206873306391,7.38091132463994e-05,0.047066654059335,1.61393711150409
"GJD2",-3.30282961237784,2.21331087144392,-4.84364531499858,8.1798817445481e-05,0.047066654059335,1.54232077172749
"PIK3CB",0.782128481405739,4.9231594510871,4.82717453847977,8.42249446201138e-05,0.047066654059335,1.53887452483716
