"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P4HA1",-1.9075972855347,6.23316397561853,-3.60982562835029,0.0015993790918391,0.99285599755475,-4.23634727850416
"KCTD15",0.754460985757704,6.66467271206241,3.14390984243431,0.00479195441606036,0.99285599755475,-4.27128378026564
"AKR1B1",0.711210271992126,6.45060396052024,3.17753371705179,0.00442968374300389,0.99285599755475,-4.27185755690947
"NCDN",0.69738158676664,6.30014549649926,3.17200297774447,0.00448730399899017,0.99285599755475,-4.27356457127079
"LRFN4",0.719797230899699,6.0391433727575,3.19911062663317,0.00421167090639044,0.99285599755475,-4.27962966630877
"MATR3",0.613518688168428,9.07153456517763,2.81431614163043,0.0102221215226478,0.99285599755475,-4.28374552379153
"MSI2",-1.06701007486727,8.26003394526071,-2.80475658971015,0.0104699055178667,0.99285599755475,-4.30230965366702
"CHTOP",0.498880350657771,6.45773554691389,2.93317539879802,0.0077983006708872,0.99285599755475,-4.31254959813087
"HMGB1",0.848138966374525,9.02688335419929,2.65678387033718,0.0145811737355398,0.99285599755475,-4.31664855694797
"IDH2",0.563553290711126,7.14197360227594,2.8137451384311,0.0102344305833712,0.99285599755475,-4.31714915218756
"PCNT",0.830761954975604,6.9486507480559,2.80968560180557,0.0103478530599433,0.99285599755475,-4.32074926580139
"ZIC1",-3.98872232679197,7.20698288857076,-2.89274276914806,0.00857591900238272,0.99285599755475,-4.3240022918491
"SALL1",1.66256054003789,6.17584172565625,2.74387427725189,0.0120068585008225,0.99285599755475,-4.34359277456763
"NCAPH2",0.977697098699277,5.73641307664117,2.90376271749804,0.00836176126160125,0.99285599755475,-4.34415205263233
"MYCBP2",0.760914768322371,7.09666388193014,2.64583436876784,0.0149314600358692,0.99285599755475,-4.34461115226113
"MAP4K4",0.721744693863008,8.89080765667044,2.51099886156574,0.0200829964823009,0.99285599755475,-4.34543832656309
"DEPDC5",0.660577283441362,4.443405099195,3.4667007215601,0.00223933940267847,0.99285599755475,-4.34555714039898
"ITGA6",-0.773300343750595,6.67427054285367,-2.70523993581116,0.0130795030203766,0.99285599755475,-4.35067781640614
"VGLL4",-0.77196052479784,6.09876814161076,-2.77680681749552,0.0111341668913534,0.99285599755475,-4.35235988075078
"COL6A2",-1.91499298953283,6.87326612117753,-2.80938229023733,0.010361119167885,0.99285599755475,-4.35316008450467
"MARCKSL1",0.656440336282922,9.63725839533706,2.41752960317451,0.0245729627395306,0.99285599755475,-4.35603772934049
"PRKCSH",-0.761402486985482,8.14399721507644,-2.51297656672352,0.0200006326116622,0.99285599755475,-4.35719015164859
"TSPAN14",0.562650923556314,6.97031987897954,2.58887212738445,0.0169086477098485,0.99285599755475,-4.35791581210357
"ESRRA",0.808767075123792,4.84555662047974,3.09751246467918,0.00533770537428106,0.99285599755475,-4.35915298699953
"KDELR1",-0.946232589807108,7.34042748164001,-2.57109238286229,0.0176158603264447,0.99285599755475,-4.35921061687994
"HIPK1",-0.677385159728203,7.27199339389344,-2.5760465953235,0.0174052457682508,0.99285599755475,-4.3592220595536
"UBL4A",0.630610994743656,5.33738708124498,2.88373273956073,0.00873073341130556,0.99285599755475,-4.36116682836457
"UBQLN4",0.4328037502081,6.77769992983908,2.59707052409793,0.0166060659247048,0.99285599755475,-4.3613771433394
"APC",1.12521952851577,6.90102095703433,2.55432096334952,0.0182753238337872,0.99285599755475,-4.36337214754761
"PTPRM",-0.81832412311111,6.84515137271245,-2.58686144879661,0.0170151061135115,0.99285599755475,-4.3643445411091
"SLC35F5",-0.693099265794263,6.88629849436717,-2.58451387389434,0.0170843231639447,0.99285599755475,-4.36652096646304
"PIP5K1C",0.574729198885051,6.82383233670724,2.54550922513121,0.0185969721360351,0.99285599755475,-4.36891820346485
"ZNF644",0.439921007428187,6.27436972648432,2.62505135915537,0.0156112450885415,0.99285599755475,-4.36898762865902
"SLC5A3",-1.17924774864074,7.01029680090776,-2.538340746756,0.0189251324373211,0.99285599755475,-4.37324264798408
"SPTBN2",0.901164895023974,7.70969023859635,2.44062426807072,0.0233921297271557,0.99285599755475,-4.37346903096838
"POFUT2",-1.21881332952218,6.31373481196068,-2.65027640216948,0.0147931302785905,0.99285599755475,-4.3734933470946
"VOPP1",0.574837405279159,6.97537487637493,2.48699134241082,0.0211273230506621,0.99285599755475,-4.37474019238411
"HP1BP3",0.532048910966582,8.11604427855904,2.39948181682899,0.0255126578361317,0.99285599755475,-4.37619068246309
"UCK1",0.564657705547829,5.26805271648105,2.79859778269251,0.0105908929867911,0.99285599755475,-4.37682084954175
"ITPKB",-1.48674322947016,6.2123466677299,-2.67351948517164,0.0140491568911662,0.99285599755475,-4.37867386688408
"POLR3A",0.451103903657115,6.41197763924196,2.53119505062347,0.0191880993554197,0.99285599755475,-4.37936659409502
"ATXN7L3",0.387666199407739,7.02120428177059,2.46440525193422,0.0221856620353055,0.99285599755475,-4.37967600259933
"DNAJC5",0.397848175075166,7.52162162021582,2.41822722353788,0.0245070683354502,0.99285599755475,-4.37991023498754
"TRIM24",0.900207031282678,7.2921421712751,2.42309156783553,0.0242907262518302,0.99285599755475,-4.38088312952872
"KREMEN1",-1.01515331996602,5.33475794784541,-2.88467111072877,0.008729644752917,0.99285599755475,-4.3811873662133
"DIRAS2",1.18077538381214,4.93918685744731,2.81444448885181,0.010243300850084,0.99285599755475,-4.3836179292105
"MOB3B",1.12917406041645,5.36820365402894,2.73104268383842,0.0123570366798958,0.99285599755475,-4.38510324673199
"PTPRF",-0.62815391081775,9.24794311237243,-2.29693671464338,0.0317499447826223,0.99285599755475,-4.38688497220312
"DCAKD",0.419198250566182,5.97792125433377,2.54816796515426,0.0184890693734778,0.99285599755475,-4.38773944104919
"HNRNPU",0.681853016890127,9.4723205976099,2.25674323271222,0.0345516166128941,0.99285599755475,-4.39076841703816
"SLC33A1",-0.762042523501483,5.49186912714163,-2.68533917761375,0.0136616824382627,0.99285599755475,-4.39104902431419
"OTX2",-2.65414932955586,5.62421889351777,-2.91681302711138,0.00811778137438623,0.99285599755475,-4.39110804472791
"TTC17",-0.619663488880685,7.10486288889973,-2.4203292619365,0.0244056911254221,0.99285599755475,-4.39120774352306
"ANAPC7",0.739592280637284,6.07928329252077,2.51116896531678,0.0200673606488929,0.99285599755475,-4.39157077006691
"SETD1A",0.431750842322496,6.14088948899647,2.48207778993702,0.0213526614060127,0.99285599755475,-4.39399862564177
"FAM89B",0.654402143726334,6.38641975972227,2.437490780067,0.0235265437830718,0.99285599755475,-4.39408141926559
"METTL2B",0.541055692243376,5.77765484463658,2.5345901181091,0.0190463254329524,0.99285599755475,-4.39482088318843
"STX16",-0.580857471603542,6.24848606475465,-2.4858509812994,0.0211786269550556,0.99285599755475,-4.39483729973597
"C19orf12",0.643411891082358,5.71607686151983,2.5405624830435,0.0188005342776553,0.99285599755475,-4.39493073406702
"SESN3",-1.11327143779355,8.20636627270537,-2.31880168233011,0.0303304455776711,0.99285599755475,-4.39496803667963
"PDGFRB",-2.92844470456517,6.29941450625548,-2.75616604517815,0.0116802545927276,0.99285599755475,-4.39528290691339
"EXOSC10",0.538349407134078,6.47043573855778,2.44283181409387,0.0232435010308192,0.99285599755475,-4.39530207570587
"PPIL2",0.364772946413977,5.72465176147604,2.53993325954042,0.0188251851834863,0.99285599755475,-4.3965663516666
"ACTR1A",0.429627789039722,7.6754240980846,2.31298428001713,0.0306626723744969,0.99285599755475,-4.39721890772765
"ZNF142",0.530504748913138,5.82926649118117,2.49068546904869,0.0209575731411834,0.99285599755475,-4.39904295810525
"DTNA",-0.901251275295488,6.34281703294256,-2.46891727979383,0.022006921736424,0.99285599755475,-4.39928819231186
"ITM2B",-1.07143770473008,7.73755807044313,-2.31922572131316,0.0303033070873943,0.99285599755475,-4.40027817857392
"FABP5",1.43364355509192,5.04665746611172,2.64558693546846,0.0149476697772318,0.99285599755475,-4.40096738013256
"ADD1",0.276855949323418,8.34059393691357,2.24923385281451,0.035052745786516,0.99285599755475,-4.40214879976877
"GUF1",0.508256226568493,5.77180343366269,2.48382435839015,0.0212719377930203,0.99285599755475,-4.40266332191988
"KIF3B",0.761655073333466,6.74632290572244,2.35068858369307,0.0283509053054559,0.99285599755475,-4.40355242986528
"SDK2",-1.00550595437721,7.63725735623733,-2.31811524203077,0.0303744251221615,0.99285599755475,-4.40355951886656
"PSAP",-0.927014238733682,9.88356717903676,-2.18376847098642,0.0401985639233718,0.99285599755475,-4.40384081207247
"OBSL1",-0.986886080783092,7.90592882574729,-2.28024017451147,0.032893817128168,0.99285599755475,-4.40454903725438
"SARM1",0.6082100232195,5.71052732236961,2.46385452196264,0.0222125677536342,0.99285599755475,-4.40521171252405
"RAD51D",1.16835421152999,3.96385252365847,3.24101026183074,0.00382185445479779,0.99285599755475,-4.40545854395153
"USP5",0.451284094433968,7.38542019883645,2.29290581413624,0.0319876827457575,0.99285599755475,-4.40547811032829
"AREL1",0.402901749179796,6.46722699970266,2.37249740069243,0.0270261300813597,0.99285599755475,-4.40557670061949
