"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P4HA1",-2.06269159997519,6.23316397561853,-3.48457680796691,0.0021557055251982,0.999976356842216,-4.31897004210205
"ITGA6",-0.9360830868684,6.67427054285367,-2.90957347098424,0.00824433808972803,0.999976356842216,-4.37061549312765
"MSI2",-1.15715674071035,8.26003394526071,-2.71116373246859,0.0129187106799947,0.999976356842216,-4.37131718397739
"ZIC1",-4.30587707919737,7.20698288857076,-2.78737160287613,0.0108885610659462,0.999976356842216,-4.3888200931076
"NCDN",0.676054596190355,6.30014549649926,2.72928449159307,0.0123780052969522,0.999976356842216,-4.39553308436123
"PTPRF",-0.735252072303112,9.24794311237243,-2.39231483519193,0.0259362664291816,0.999976356842216,-4.41082764367283
"KCTD15",0.677666539106805,6.66467271206241,2.50557107133941,0.0202916523814965,0.999976356842216,-4.42175137155945
"ITPKB",-1.64809192452145,6.2123466677299,-2.64293500576972,0.0150357354321225,0.999976356842216,-4.42345593425094
"MYCBP2",0.780412227821177,7.09666388193014,2.41150534187253,0.0248918230006747,0.999976356842216,-4.42622452999886
"MATR3",0.558949978306888,9.07153456517763,2.27781435198622,0.0330195134871017,0.999976356842216,-4.42854700913069
"LRFN4",0.639250744974535,6.0391433727575,2.517256237239,0.0197805715932752,0.999976356842216,-4.42996711349313
"SESN3",-1.25477186230352,8.20636627270537,-2.32981415850548,0.0296328464260176,0.999976356842216,-4.43048830190746
"PCNT",0.799431768342767,6.9486507480559,2.40186904517153,0.0254116562184317,0.999976356842216,-4.43100228529896
"FAM162A",-1.12082353359356,4.70191340217993,-3.01274809366033,0.00650207737511608,0.999976356842216,-4.4324889462967
"SLC35F5",-0.71445147967401,6.88629849436717,-2.37817126120411,0.0267166572096064,0.999976356842216,-4.43733312122144
"ITM2B",-1.18312557579755,7.73755807044313,-2.28171898132204,0.0327919590202309,0.999976356842216,-4.44207157916165
"OBSL1",-1.08449400214853,7.90592882574729,-2.23104255989708,0.0364520996378344,0.999976356842216,-4.44737973481344
"AK4",-2.14997960492529,4.65427547608651,-3.08495849339225,0.00551310288090164,0.999976356842216,-4.44759170989312
"AKR1B1",0.585822584226677,6.45060396052024,2.3180001528408,0.0303396325154094,0.999976356842216,-4.45039425978427
"PPIL2",0.387528616654418,5.72465176147604,2.39385098693279,0.0258214484918659,0.999976356842216,-4.45337985723478
"TRIM24",0.923604918438455,7.2921421712751,2.20496818035828,0.038477198671032,0.999976356842216,-4.45353117824841
"VGLL4",-0.728798353233189,6.09876814161076,-2.33541612500948,0.0292574849590367,0.999976356842216,-4.45462691590618
"ARSK",-1.00348600689057,3.71173413202906,-3.4092031840558,0.00256697097941387,0.999976356842216,-4.45467163248023
"DEPDC5",0.605001295610847,4.443405099195,2.80365638499926,0.0104705551647393,0.999976356842216,-4.45552476670322
"HIPK1",-0.652399758676546,7.27199339389344,-2.20868253610119,0.0381545325941644,0.999976356842216,-4.45563668380962
"ARNT",-0.676808463768475,6.0204293995706,-2.3372521279993,0.0291303493948529,0.999976356842216,-4.45576658639475
"ZC3H13",0.426093590824852,7.1987523941378,2.20093377696353,0.0387532908250512,0.999976356842216,-4.45652028497271
"SETD1A",0.452076929712424,6.14088948899647,2.30244037646347,0.0313520640858145,0.999976356842216,-4.4567355932105
"PSAP",-0.985986392854267,9.88356717903676,-2.06891452684612,0.0507962241449144,0.999976356842216,-4.45715430565495
"OTX2",-2.71096892965414,5.62421889351777,-2.64907495064155,0.0148325794655704,0.999976356842216,-4.45734206344393
"GUF1",0.536859313247189,5.77180343366269,2.3337117254035,0.0293478955727377,0.999976356842216,-4.45819512258016
"NCAPH2",0.900721419094862,5.73641307664117,2.36487847366879,0.0275063063892049,0.999976356842216,-4.45943089484702
"TUSC3",-0.461137518497922,7.31968252401271,-2.17639773596164,0.0407661860928712,0.999976356842216,-4.4597169566012
"HP1BP3",0.527272747687453,8.11604427855904,2.11204556951517,0.0465039768358711,0.999976356842216,-4.46064427333951
"ZNF142",0.553845024889159,5.82926649118117,2.30214802567174,0.0313713800377835,0.999976356842216,-4.46140507014574
"KREMEN1",-0.968370371913354,5.33475794784541,-2.47181320979182,0.0218609494994499,0.999976356842216,-4.46358605305835
"PGK1",-0.856546959401867,8.01919891707462,-2.10063909709174,0.0476425946958734,0.999976356842216,-4.46400962362491
"UCK1",0.548891926314885,5.26805271648105,2.40464383226568,0.02523164103154,0.999976356842216,-4.46498048126123
"KDELR1",-0.881196718732223,7.34042748164001,-2.13020335430471,0.0448634705243603,0.999976356842216,-4.46607101557372
"BTG1",-0.976136674044169,6.4862800739723,-2.19178331085433,0.0395397188086965,0.999976356842216,-4.46663929449816
"PLXND1",1.64492703453721,6.86949877255352,2.16437312599662,0.0418343454077181,0.999976356842216,-4.46684014412763
"SLC25A46",0.571292847057546,6.05359640134484,2.22070885909975,0.0371972016254214,0.999976356842216,-4.46756289159377
"EXOSC10",0.54143304340234,6.47043573855778,2.1821669592068,0.0402845379359866,0.999976356842216,-4.46804808543969
"GPBP1L1",-0.513988745973152,6.24417450840289,-2.20712205677663,0.0382600877446432,0.999976356842216,-4.46823644742351
"PRX",-1.27967887196233,4.36689519917914,-2.82654202230692,0.00996084457415791,0.999976356842216,-4.46982716401283
"GULP1",-1.01718633648894,5.83956260873062,-2.30570745354246,0.0311795535489004,0.999976356842216,-4.47019255451128
"KLHDC4",0.631647551381271,5.45923741512261,2.3013915375707,0.031421412788811,0.999976356842216,-4.47021601927873
"ZNF644",0.410730416078153,6.27436972648432,2.17935815928911,0.040518384153198,0.999976356842216,-4.47030432504692
"ITPRID2",-0.892577264428387,6.76806508493457,-2.14432509907808,0.0435883373294725,0.999976356842216,-4.47088358913015
"PIP5K1C",0.53848454489579,6.82383233670724,2.11767100112117,0.0459742316326436,0.999976356842216,-4.47115255788225
"CALCOCO2",-0.912658898240957,5.31927798923044,-2.38411593499131,0.0263944288490304,0.999976356842216,-4.4712720274326
"ANAPC7",0.728566839498403,6.07928329252077,2.19360239175241,0.0393750375429843,0.999976356842216,-4.47160220494954
"KRBA1",0.438395549473713,4.63296811793055,2.57055196927299,0.0176036030488318,0.999976356842216,-4.47183969193704
"UBE2E2",-0.897213333186891,4.59835066347372,-2.64942531932726,0.0147916330940397,0.999976356842216,-4.47198303854378
"CYBRD1",-1.87984370678618,4.64389614632803,-2.80906733239772,0.0103684920161391,0.999976356842216,-4.47248063799618
"DTNA",-0.888188858735675,6.34281703294256,-2.17572592078181,0.0408696892215167,0.999976356842216,-4.4725658176951
"METTL2B",0.534288168761959,5.77765484463658,2.21974270864797,0.0372718854136256,0.999976356842216,-4.47268345521857
"PDGFRB",-2.7202421782382,6.29941450625548,-2.33262505077862,0.0294571678952332,0.999976356842216,-4.47344960052203
"SALL1",1.45767238925492,6.17584172565625,2.1319400944804,0.044704854146499,0.999976356842216,-4.47408956528968
"POLR3A",0.426425480732623,6.41197763924196,2.12609261748234,0.0451922404642222,0.999976356842216,-4.47439425398811
"PCBP2",-0.52709725700025,8.9475952048813,-1.98416127874868,0.0601151844709734,0.999976356842216,-4.47470878972157
"YLPM1",0.499206406393721,7.49188278436109,2.04262656738243,0.0534986552591526,0.999976356842216,-4.47476336035141
"RBMXL1",0.810056141375135,4.66434936804341,2.46756473236931,0.0220359334299052,0.999976356842216,-4.47479632324212
"SLC5A3",-1.09042320483376,7.01029680090776,-2.09376790896056,0.0483103027075596,0.999976356842216,-4.47497508049911
"DIPK2A",-1.21129772199102,5.8460332437945,-2.28820745410161,0.03234845009199,0.999976356842216,-4.47512863251049
"CHTOP",0.406588459638354,6.45773554691389,2.12273786981849,0.0455022973639456,0.999976356842216,-4.47515664892728
"RPL35A",-0.454992098998373,8.58735047386752,-1.99004516474297,0.0594083164400148,0.999976356842216,-4.47567692021094
"PTPRM",-0.740918565123375,6.84515137271245,-2.08729140697402,0.0489456316630067,0.999976356842216,-4.475717532593
"ZFHX4",-1.1830363761153,7.29751282144513,-2.06275216505529,0.0514300924911987,0.999976356842216,-4.47577444739138
"FABP5",1.469155290854,5.04665746611172,2.35554416564308,0.0280601364195139,0.999976356842216,-4.47597765275271
"COL6A2",-1.63065998277087,6.87326612117753,-2.15751879696873,0.0424267046780153,0.999976356842216,-4.47688910614707
"UBL4A",0.562476020547987,5.33738708124498,2.26482896878468,0.0339286575642587,0.999976356842216,-4.47914998988624
"PRKCSH",-0.677302626329842,8.14399721507644,-1.98862805565648,0.0596273849728617,0.999976356842216,-4.47920582907351
"RAD51D",1.14165622080905,3.96385252365847,2.77981711515355,0.0110571072396385,0.999976356842216,-4.48077146355702
"HMGB1",0.697073671381085,9.02688335419929,1.93887897439584,0.065762284963184,0.999976356842216,-4.48092993221383
"CPSF7",0.361305796090997,7.20366320932925,2.01915240658185,0.0560688770979037,0.999976356842216,-4.48136536118509
"DNAJC5",0.368618043332614,7.52162162021582,1.99093548760435,0.0593036062061945,0.999976356842216,-4.48186245965245
