"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AKR1B1",0.836597959757581,6.45060396052024,3.38170032611397,0.00273982949753659,0.993284980264273,-4.29826279022806
"IDH2",0.688541569215166,7.14197360227594,3.10425803423177,0.00525469235491983,0.993284980264273,-4.32159376997828
"KCTD15",0.831255432408599,6.66467271206241,3.12921623961653,0.00495885287886692,0.993284980264273,-4.32813000519688
"CHTOP",0.591172241677188,6.45773554691389,3.13887478248855,0.00484793955067132,0.993284980264273,-4.33225430084292
"LRFN4",0.800343716824861,6.0391433727575,3.20995917971097,0.00410602491406664,0.993284980264273,-4.33239314175916
"HMGB1",0.999204261367964,9.02688335419929,2.82682232103154,0.00996056832711601,0.993284980264273,-4.33500569327634
"MATR3",0.668087398029966,9.07153456517763,2.76555436816693,0.0114108662661747,0.993284980264273,-4.3439833859517
"SPOCK1",1.46449519730582,5.80120574048401,3.08197520386688,0.00555135123838659,0.993284980264273,-4.3530015596342
"UBQLN4",0.536099493051077,6.77769992983908,2.90682258610626,0.00828273148189974,0.993284980264273,-4.35619473717955
"NCDN",0.718708577342922,6.30014549649926,2.94644879146915,0.00756469987586782,0.993284980264273,-4.35995716850105
"FAM89B",0.862309402078729,6.38641975972227,2.90026217398507,0.00841603844229991,0.993284980264273,-4.36372005193165
"P4HA1",-1.75250297109422,6.23316397561853,-3.0188518787921,0.00642329572236059,0.993284980264273,-4.366870462602
"COL6A2",-2.19932599629479,6.87326612117753,-2.95334456859985,0.00746696864824821,0.993284980264273,-4.37059330566018
"ACTR1A",0.556077734102775,7.6754240980846,2.70229928851741,0.0131482406204098,0.993284980264273,-4.37105639572165
"MAP4K4",0.822087578602678,8.89080765667044,2.58060644135835,0.0172477242714179,0.993284980264273,-4.37581392418047
"SALL1",1.86744869082085,6.17584172565625,2.76147476768294,0.0115418196399692,0.993284980264273,-4.38674729818483
"ESRRA",0.926385186796149,4.84555662047974,3.2085035291937,0.00412004960755696,0.993284980264273,-4.38813333120209
"MARCKSL1",0.738951397833997,9.63725839533706,2.45452528060797,0.0226925901327697,0.993284980264273,-4.3896985387469
"TSPAN14",0.63203066515235,6.97031987897954,2.62547236132096,0.0155967142151474,0.993284980264273,-4.39254117248628
"UCHL1",0.447403942167993,8.77330048985088,2.48050730229904,0.0214254904508824,0.993284980264273,-4.39331837302664
"TTC17",-0.747142114131034,7.10486288889973,-2.64028388214335,0.0151007176475175,0.993284980264273,-4.39337629619161
"PCNT",0.862092141608443,6.9486507480559,2.62968645048368,0.0154754501659863,0.993284980264273,-4.39361169056966
"NCAPH2",1.0546727783037,5.73641307664117,2.83427734793075,0.00979233342268482,0.993284980264273,-4.39499919531001
"VOPP1",0.668152788743764,6.97537487637493,2.60414307661566,0.0163500452735821,0.993284980264273,-4.39544470508509
"PRKCSH",-0.845502347641118,8.14399721507644,-2.52003613726652,0.0196955665390462,0.993284980264273,-4.39577608402095
"POFUT2",-1.3979266048957,6.31373481196068,-2.75407858827647,0.0117351194762621,0.993284980264273,-4.39648285024007
"ATP6V0E2",1.21228068150993,5.82935977109516,2.75267066050983,0.0117722622273785,0.993284980264273,-4.39679489005165
"UBL4A",0.69874596893933,5.33738708124498,2.90162083513098,0.00838169782016163,0.993284980264273,-4.39723219427406
"SPTBN2",1.03493303370774,7.70969023859635,2.52868554263107,0.0193281585804122,0.993284980264273,-4.39735922599318
"DEPDC5",0.716153271271878,4.443405099195,3.38049234428054,0.00274767695785427,0.993284980264273,-4.3984089310129
"APC",1.26161703318813,6.90102095703433,2.57878064244476,0.017321072299043,0.993284980264273,-4.39975691863756
"ADD1",0.334716267245204,8.34059393691357,2.4553396125633,0.022624615381747,0.993284980264273,-4.40191973204592
"C19orf12",0.77021838902345,5.71607686151983,2.74606642690811,0.0119217488873912,0.993284980264273,-4.40290024335071
"PRPSAP2",0.555677475211229,5.81394922899729,2.71387556260879,0.0128124232055012,0.993284980264273,-4.40580116359509
"PTPRM",-0.895729681098843,6.84515137271245,-2.55370746633184,0.0182987193837485,0.993284980264273,-4.40837512363043
"VGLL4",-0.815122696362491,6.09876814161076,-2.64965246125858,0.0147944294906847,0.993284980264273,-4.41005733409327
"KALRN",0.866133111514007,6.94818153002246,2.50707866483207,0.0202580396507141,0.993284980264273,-4.41022104512815
"STMN3",0.739091553563815,7.03493477627731,2.48800283500889,0.0210990284442307,0.993284980264273,-4.41154085789689
"KDELR1",-1.01126846088199,7.34042748164001,-2.48275854258642,0.0213574328294187,0.993284980264273,-4.41158294683202
"HMGN2",0.828790239676739,8.61105286592244,2.34586081435048,0.0286427607558777,0.993284980264273,-4.41723394620025
"SPRING1",0.627830411424743,6.60108400955448,2.49324807676776,0.0208412736629731,0.993284980264273,-4.41723917358882
