"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P4HA1",-2.06269159997519,6.23316397561853,-3.48457680796686,0.00215570552519862,0.999976356842208,-4.31897004210198
"ITGA6",-0.936083086868402,6.67427054285367,-2.90957347098432,0.00824433808972697,0.999976356842208,-4.37061549312757
"MSI2",-1.15715674071035,8.26003394526071,-2.71116373246856,0.012918710679996,0.999976356842208,-4.37131718397733
"ZIC1",-4.30587707919738,7.20698288857076,-2.78737160287604,0.0108885610659487,0.999976356842208,-4.38882009310755
"NCDN",0.676054596190354,6.30014549649926,2.72928449159325,0.0123780052969477,0.999976356842208,-4.39553308436115
"PTPRF",-0.735252072303114,9.24794311237243,-2.39231483519198,0.0259362664291799,0.999976356842208,-4.41082764367277
"KCTD15",0.677666539106808,6.66467271206241,2.50557107133956,0.0202916523814907,0.999976356842208,-4.42175137155938
"ITPKB",-1.64809192452144,6.2123466677299,-2.64293500576966,0.015035735432125,0.999976356842208,-4.42345593425089
"MYCBP2",0.780412227821178,7.09666388193014,2.41150534187258,0.0248918230006732,0.999976356842208,-4.42622452999881
"MATR3",0.558949978306885,9.07153456517763,2.27781435198632,0.0330195134870954,0.999976356842208,-4.42854700913063
"LRFN4",0.639250744974537,6.0391433727575,2.51725623723918,0.0197805715932682,0.999976356842208,-4.42996711349306
"SESN3",-1.25477186230352,8.20636627270537,-2.32981415850544,0.0296328464260209,0.999976356842208,-4.43048830190742
"PCNT",0.799431768342765,6.9486507480559,2.40186904517156,0.025411656218431,0.999976356842208,-4.43100228529891
"FAM162A",-1.12082353359355,4.70191340217993,-3.01274809366042,0.00650207737511512,0.999976356842208,-4.43248894629665
"SLC35F5",-0.714451479674015,6.88629849436717,-2.3781712612042,0.0267166572096022,0.999976356842208,-4.43733312122138
"ITM2B",-1.18312557579755,7.73755807044313,-2.281718981322,0.0327919590202341,0.999976356842208,-4.44207157916161
"OBSL1",-1.08449400214853,7.90592882574729,-2.23104255989705,0.036452099637838,0.999976356842208,-4.4473797348134
"AK4",-2.14997960492529,4.65427547608651,-3.08495849339221,0.00551310288090254,0.999976356842208,-4.44759170989308
"AKR1B1",0.585822584226672,6.45060396052024,2.31800015284093,0.0303396325154018,0.999976356842208,-4.45039425978421
"PPIL2",0.387528616654418,5.72465176147604,2.39385098693338,0.025821448491834,0.999976356842208,-4.45337985723467
"TRIM24",0.923604918438458,7.2921421712751,2.20496818035828,0.0384771986710332,0.999976356842208,-4.45353117824837
"VGLL4",-0.728798353233189,6.09876814161076,-2.33541612500956,0.0292574849590325,0.999976356842208,-4.45462691590613
"ARSK",-1.00348600689058,3.71173413202906,-3.40920318405624,0.00256697097941141,0.999976356842208,-4.45467163248016
"DEPDC5",0.605001295610847,4.443405099195,2.80365638499977,0.0104705551647275,0.999976356842208,-4.45552476670313
"HIPK1",-0.652399758676554,7.27199339389344,-2.2086825361013,0.0381545325941575,0.999976356842208,-4.45563668380957
"ARNT",-0.676808463768475,6.0204293995706,-2.33725212799941,0.0291303493948468,0.999976356842208,-4.4557665863947
"ZC3H13",0.426093590824854,7.1987523941378,2.20093377696382,0.0387532908250287,0.999976356842208,-4.45652028497263
"SETD1A",0.452076929712423,6.14088948899647,2.3024403764638,0.0313520640857939,0.999976356842208,-4.45673559321042
"PSAP",-0.985986392854269,9.88356717903676,-2.0689145268461,0.0507962241449177,0.999976356842208,-4.45715430565492
"OTX2",-2.71096892965414,5.62421889351777,-2.64907495064148,0.0148325794655733,0.999976356842208,-4.45734206344389
"GUF1",0.536859313247188,5.77180343366269,2.33371172540372,0.0293478955727245,0.999976356842208,-4.45819512258009
"NCAPH2",0.90072141909486,5.73641307664117,2.36487847366881,0.0275063063892048,0.999976356842208,-4.45943089484697
"TUSC3",-0.461137518497919,7.31968252401271,-2.17639773596184,0.0407661860928553,0.999976356842208,-4.45971695660113
"HP1BP3",0.52727274768746,8.11604427855904,2.11204556951532,0.0465039768358576,0.999976356842208,-4.46064427333944
"ZNF142",0.553845024889159,5.82926649118117,2.30214802567194,0.0313713800377711,0.999976356842208,-4.46140507014568
"KREMEN1",-0.968370371913351,5.33475794784541,-2.47181320979185,0.0218609494994492,0.999976356842208,-4.46358605305831
"PGK1",-0.856546959401869,8.01919891707462,-2.10063909709175,0.0476425946958741,0.999976356842208,-4.46400962362487
"UCK1",0.548891926314886,5.26805271648105,2.40464383226597,0.0252316410315253,0.999976356842208,-4.46498048126116
"KDELR1",-0.88119671873222,7.34042748164001,-2.1302033543047,0.0448634705243623,0.999976356842208,-4.46607101557368
"BTG1",-0.976136674044169,6.4862800739723,-2.19178331085432,0.0395397188086982,0.999976356842208,-4.46663929449812
"PLXND1",1.64492703453721,6.86949877255352,2.16437312599657,0.0418343454077232,0.999976356842208,-4.4668401441276
"SLC25A46",0.57129284705755,6.05359640134484,2.22070885909991,0.0371972016254098,0.999976356842208,-4.46756289159372
"EXOSC10",0.541433043402336,6.47043573855778,2.18216695920694,0.0402845379359761,0.999976356842208,-4.46804808543964
"GPBP1L1",-0.513988745973156,6.24417450840289,-2.20712205677684,0.0382600877446276,0.999976356842208,-4.46823644742345
"PRX",-1.27967887196233,4.36689519917914,-2.82654202230697,0.00996084457415728,0.999976356842208,-4.46982716401279
"GULP1",-1.01718633648894,5.83956260873062,-2.30570745354246,0.0311795535489009,0.999976356842208,-4.47019255451125
"KLHDC4",0.631647551381276,5.45923741512261,2.30139153757086,0.0314214127888011,0.999976356842208,-4.47021601927867
"ZNF644",0.410730416078155,6.27436972648432,2.17935815928946,0.0405183841531698,0.999976356842208,-4.47030432504684
"ITPRID2",-0.892577264428391,6.76806508493457,-2.14432509907809,0.0435883373294724,0.999976356842208,-4.47088358913011
"PIP5K1C",0.538484544895797,6.82383233670724,2.11767100112133,0.0459742316326298,0.999976356842208,-4.47115255788219
"CALCOCO2",-0.912658898240954,5.31927798923044,-2.38411593499134,0.0263944288490296,0.999976356842208,-4.47127202743256
"ANAPC7",0.728566839498402,6.07928329252077,2.19360239175245,0.0393750375429816,0.999976356842208,-4.47160220494949
"KRBA1",0.438395549473713,4.63296811793055,2.57055196927378,0.0176036030488019,0.999976356842208,-4.47183969193693
"UBE2E2",-0.897213333186887,4.59835066347372,-2.64942531932739,0.0147916330940362,0.999976356842208,-4.47198303854374
"CYBRD1",-1.87984370678618,4.64389614632803,-2.80906733239768,0.0103684920161404,0.999976356842208,-4.47248063799614
"DTNA",-0.888188858735676,6.34281703294256,-2.17572592078182,0.0408696892215167,0.999976356842208,-4.47256581769506
"METTL2B",0.534288168761958,5.77765484463658,2.21974270864816,0.0372718854136119,0.999976356842208,-4.47268345521852
"PDGFRB",-2.7202421782382,6.29941450625548,-2.33262505077855,0.0294571678952381,0.999976356842208,-4.473449600522
"SALL1",1.45767238925493,6.17584172565625,2.13194009448036,0.0447048541465036,0.999976356842208,-4.47408956528965
"POLR3A",0.426425480732617,6.41197763924196,2.12609261748259,0.0451922404642006,0.999976356842208,-4.47439425398804
"PCBP2",-0.52709725700025,8.9475952048813,-1.98416127874876,0.060115184470965,0.999976356842208,-4.47470878972153
