"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AKR1B1",0.836597959757577,6.45060396052024,3.38170032611418,0.00273982949753548,0.993284980264277,-4.29826279022795
"IDH2",0.688541569215171,7.14197360227594,3.10425803423206,0.00525469235491665,0.993284980264277,-4.32159376997816
"KCTD15",0.8312554324086,6.66467271206241,3.12921623961671,0.00495885287886531,0.993284980264277,-4.32813000519678
"CHTOP",0.59117224167719,6.45773554691389,3.13887478248902,0.00484793955066641,0.993284980264277,-4.33225430084278
"LRFN4",0.800343716824863,6.0391433727575,3.2099591797112,0.0041060249140647,0.993284980264277,-4.33239314175906
"HMGB1",0.999204261367964,9.02688335419929,2.82682232103155,0.00996056832711621,0.993284980264277,-4.33500569327626
"MATR3",0.668087398029961,9.07153456517763,2.76555436816705,0.0114108662661721,0.993284980264277,-4.34398338595161
"SPOCK1",1.46449519730582,5.80120574048401,3.08197520386685,0.00555135123838728,0.993284980264277,-4.35300155963414
"UBQLN4",0.536099493051079,6.77769992983908,2.90682258610671,0.00828273148189178,0.993284980264277,-4.35619473717942
"NCDN",0.718708577342922,6.30014549649926,2.94644879146935,0.00756469987586475,0.993284980264277,-4.35995716850096
"FAM89B",0.862309402078725,6.38641975972227,2.90026217398515,0.00841603844229884,0.993284980264277,-4.36372005193158
"P4HA1",-1.75250297109422,6.23316397561853,-3.01885187879205,0.00642329572236155,0.993284980264277,-4.36687046260193
"COL6A2",-2.1993259962948,6.87326612117753,-2.95334456859978,0.00746696864824966,0.993284980264277,-4.37059330566012
"ACTR1A",0.556077734102773,7.6754240980846,2.70229928851767,0.0131482406204028,0.993284980264277,-4.37105639572155
"MAP4K4",0.82208757860268,8.89080765667044,2.58060644135838,0.0172477242714174,0.993284980264277,-4.37581392418041
"SALL1",1.86744869082085,6.17584172565625,2.76147476768288,0.0115418196399714,0.993284980264277,-4.38674729818478
"ESRRA",0.926385186796148,4.84555662047974,3.2085035291939,0.00412004960755534,0.993284980264277,-4.38813333120201
"MARCKSL1",0.738951397833993,9.63725839533706,2.45452528060799,0.0226925901327694,0.993284980264277,-4.38969853874684
"TSPAN14",0.632030665152354,6.97031987897954,2.62547236132115,0.0155967142151415,0.993284980264277,-4.39254117248619
"UCHL1",0.447403942167991,8.77330048985088,2.48050730229935,0.0214254904508687,0.993284980264277,-4.39331837302653
"TTC17",-0.747142114131038,7.10486288889973,-2.64028388214346,0.0151007176475144,0.993284980264277,-4.39337629619153
"PCNT",0.862092141608445,6.9486507480559,2.62968645048373,0.0154754501659852,0.993284980264277,-4.39361169056959
"NCAPH2",1.0546727783037,5.73641307664117,2.83427734793077,0.00979233342268479,0.993284980264277,-4.39499919530996
"VOPP1",0.668152788743759,6.97537487637493,2.60414307661579,0.0163500452735784,0.993284980264277,-4.39544470508501
"PRKCSH",-0.84550234764112,8.14399721507644,-2.52003613726655,0.0196955665390458,0.993284980264277,-4.39577608402089
"POFUT2",-1.3979266048957,6.31373481196068,-2.75407858827644,0.0117351194762635,0.993284980264277,-4.39648285024002
"ATP6V0E2",1.21228068150993,5.82935977109516,2.75267066050983,0.0117722622273792,0.993284980264277,-4.3967948900516
"UBL4A",0.698745968939329,5.33738708124498,2.90162083513125,0.00838169782015695,0.993284980264277,-4.39723219427397
"SPTBN2",1.03493303370774,7.70969023859635,2.52868554263105,0.0193281585804137,0.993284980264277,-4.39735922599313
"DEPDC5",0.716153271271877,4.443405099195,3.38049234428116,0.00274767695785045,0.993284980264277,-4.39840893101279
"APC",1.26161703318813,6.90102095703433,2.57878064244472,0.0173210722990452,0.993284980264277,-4.39975691863751
"ADD1",0.334716267245204,8.34059393691357,2.45533961256394,0.0226246153817162,0.993284980264277,-4.40191973204576
"C19orf12",0.770218389023447,5.71607686151983,2.74606642690825,0.0119217488873882,0.993284980264277,-4.40290024335064
"PRPSAP2",0.555677475211231,5.81394922899729,2.71387556260915,0.0128124232054913,0.993284980264277,-4.40580116359499
"PTPRM",-0.895729681098847,6.84515137271245,-2.55370746633188,0.0182987193837477,0.993284980264277,-4.40837512363037
"VGLL4",-0.815122696362488,6.09876814161076,-2.64965246125867,0.0147944294906826,0.993284980264277,-4.4100573340932
"KALRN",0.86613311151401,6.94818153002246,2.5070786648321,0.0202580396507134,0.993284980264277,-4.41022104512809
"STMN3",0.739091553563822,7.03493477627731,2.48800283500899,0.021099028444227,0.993284980264277,-4.41154085789683
"KDELR1",-1.01126846088199,7.34042748164001,-2.48275854258641,0.0213574328294196,0.993284980264277,-4.41158294683196
"HMGN2",0.828790239676739,8.61105286592244,2.34586081435049,0.0286427607558778,0.993284980264277,-4.41723394620019
"SPRING1",0.62783041142474,6.60108400955448,2.4932480767679,0.0208412736629676,0.993284980264277,-4.41723917358875
"ATXN7L3",0.4248980273173,7.02120428177059,2.43711399661491,0.0235316247648741,0.993284980264277,-4.4200451258165
"MOB3B",1.25473346431178,5.36820365402894,2.74042238153384,0.0121001252230322,0.993284980264277,-4.42008365875252
"ZNF644",0.469111598778222,6.27436972648432,2.52783716970792,0.0193292905657006,0.993284980264277,-4.42040894654505
"SLC5A3",-1.26807229244772,7.01029680090776,-2.46600416988247,0.022145938869283,0.993284980264277,-4.42066607171102
"PHC2",0.52670222592844,7.4396635593202,2.3978514583464,0.0256013582020045,0.993284980264277,-4.42068957658349
"DIRAS2",1.37997841095641,4.93918685744731,2.89019696674326,0.00862579560248721,0.993284980264277,-4.42089491367981
"PIP5K1C",0.610973852874314,6.82383233670724,2.44282676396418,0.0232437540574497,0.993284980264277,-4.42176564795956
"SARM1",0.71550712303173,5.71052732236961,2.60037339855297,0.016486014833467,0.993284980264277,-4.42212724213852
"HIPK1",-0.702370560779851,7.27199339389344,-2.41274900781385,0.0248120453239948,0.993284980264277,-4.4225693242138
"AREL1",0.466206324727069,6.46722699970266,2.47986869883565,0.0214551708698445,0.993284980264277,-4.42265677681632
"R3HCC1",0.484807264497192,5.44149583963416,2.67450590525022,0.0139888006855878,0.993284980264277,-4.42341368065407
"WIZ",0.503577218368638,7.28241767058414,2.37776509044495,0.0267242159513115,0.993284980264277,-4.4254724854103
"PDGFRB",-3.13664723089215,6.29941450625548,-2.72426615193142,0.0125458545722894,0.993284980264277,-4.42654702622693
"MSI2",-0.976863409024198,8.26003394526071,-2.31848514402386,0.0303507185912209,0.993284980264277,-4.42673783541446
"MAPKAPK5",0.499520177338813,5.7237678794098,2.56197873059334,0.0179379403265718,0.993284980264277,-4.42753414833819
"DNAJC5",0.427078306817715,7.52162162021582,2.34124040666957,0.0288833263328158,0.993284980264277,-4.42775984256956
"KREMEN1",-1.0619362680187,5.33475794784541,-2.75315527954407,0.0117531477628587,0.993284980264277,-4.42908247449565
"TMEM169",1.0899747568694,4.96289928493148,2.76577953201175,0.0114258462943725,0.993284980264277,-4.42969061549379
"YWHAQ",0.406328535464962,9.14429466402583,2.23417968512434,0.0361700100906153,0.993284980264277,-4.43017057820082
"NCS1",0.753675346362876,7.21221860929357,2.34121488604221,0.0289161124801971,0.993284980264277,-4.43037344425397
"PPIP5K2",0.649652275678085,6.45186359215685,2.42235145966895,0.0242923025630486,0.993284980264277,-4.43068711057829
"SLC33A1",-0.828235223101369,5.49186912714163,-2.64037806468957,0.015097086589016,0.993284980264277,-4.43074805489688
"CCDC9",-1.11823986263414,5.41946979601103,-2.65764007079501,0.0145535003934808,0.993284980264277,-4.4309762062995
"ZIC1",-3.67156757438657,7.20698288857076,-2.41938509107677,0.0244847484443676,0.993284980264277,-4.43238203971305
"POLR3A",0.475782326581608,6.41197763924196,2.40739948970852,0.0250830618934363,0.993284980264277,-4.43322908284059
"DCAKD",0.448819439104838,5.97792125433377,2.46330322771198,0.0222385952458461,0.993284980264277,-4.43404653020035
"NAV1",1.22340442471365,7.71983274288854,2.28611412545516,0.0324909315987338,0.993284980264277,-4.43404685055447
"MYCBP2",0.74141730882357,7.09666388193014,2.32206476535814,0.0301111537733374,0.993284980264277,-4.43502320702646
"PLEKHO1",1.0304154164585,5.99701506730806,2.43107413427172,0.0238776983945877,0.993284980264277,-4.43578509987175
