"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NNAT",-3.58827610565774,3.09885558589187,-9.7533145263653,2.37152894499101e-09,2.504571718805e-05,6.59798694922411
"ZNF248",-5.43752337948203,-0.962895129632063,-7.69587111517913,1.30807180832258e-07,0.000690727318384741,2.47014813637468
"SLITRK4",-5.35633463881696,-2.77422354383725,-7.14953548090569,4.13688517322953e-07,0.00174758577257908,0.0255886438028075
"ZNF471",-7.85128300600145,-3.12834537080604,-10.1687662979549,1.10256958772599e-09,2.32884748319483e-05,-0.189230768100835
"LOC339975",1.47021800412352,2.98627875790557,4.33574233429441,0.000276088436125114,0.448579995987282,-0.476811589393784
"ZNF667",-5.18556160973821,-2.12583410170255,-6.99584787829502,5.73924820583933e-07,0.00202040667672897,-0.485084736075667
"TUSC1",-2.87937518796312,1.44319512229279,-4.08117729431101,0.000514813395600212,0.724925902791178,-0.91384425505241
"PCDHGA10",-1.10585545629851,3.58674662608284,-3.80926359401339,0.000986181031671287,0.999946253490429,-0.950321991972992
"LINC02864",-6.3264028804088,-3.78548688913226,-10.4471888631294,5.80160777693074e-09,4.08471864881104e-05,-0.962636198991226
"POTEF",-1.91567334586923,1.83249086688538,-3.91662395829507,0.000765730821832185,0.999946253490429,-1.1459785778298
"HSPBAP1",0.850062919062144,2.91554669699644,3.79647448015266,0.00101675494526817,0.999946253490429,-1.23675585110065
"KHDRBS2",-6.37630628220118,-2.92877803404118,-6.46452471363802,1.87265378282922e-06,0.00539418194836989,-1.41127629289998
"FAR2P1_1",-3.40123315174508,-0.859718698908613,-4.25189999200287,0.000340788465827821,0.514152426801088,-1.58007717258141
"LOC105373436",-4.51249370282444,-3.9507755198245,-6.4171517521575,2.04305726668683e-06,0.00539418194836989,-1.62890327002939
"LLPH",-0.950939032230673,4.52829257836271,-3.3610484097907,0.00288354805256639,0.999946253490429,-1.63223220830465
"POTEF_1",-4.5499306159199,-1.64829496320689,-4.85999185284923,7.86520346188692e-05,0.138440689601646,-1.68723281241607
"EYS",1.70205314490926,-0.0732546616665495,3.74187233497301,0.00116094674483036,0.999946253490429,-1.71233863856508
"ARIH2",0.519969863037502,7.20969538842932,3.24521507018353,0.00378015699325863,0.999946253490429,-1.79675449203796
"ZNF248-AS1",-3.91672332691653,-4.44815731452648,-5.48421966489693,1.75872051714174e-05,0.0412752164034087,-2.17409019876472
"LINC01126",-1.16688532027995,-0.101446078457827,-3.66575846356665,0.00139195357867332,0.999946253490429,-2.2018466001127
"ZNF337-AS1",0.931085519731737,0.786156225265668,3.32436418631976,0.00313752288524367,0.999946253490429,-2.28224845994129
"MYC",-3.12872314145519,4.36732713255296,-2.99602374490273,0.00676998119476599,0.999946253490429,-2.28562385109195
"GABRA2",-2.64494782410097,-1.3344368537148,-3.24541286303098,0.00379229798663127,0.999946253490429,-2.33706824439144
"ZNF44",-2.05104789165916,-0.250277376769211,-3.17663854047502,0.0044543339273432,0.999946253490429,-2.4467846155359
"RPS4Y1",-6.99100202607325,0.10834479192747,-3.0219874669826,0.00750491391888299,0.999946253490429,-2.46879338182577
"POTEE",-1.29074977435723,0.52881757467019,-3.15214133795894,0.00470036839830279,0.999946253490429,-2.48431214524431
"TRIM4",-5.99317441482206,-1.91308005255132,-3.45270611237206,0.00232520853946749,0.999946253490429,-2.53542216213713
