"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1QL1",2.81004809423146,3.85248797245655,8.2943717559598,3.85942769338525e-08,0.000815188317396831,8.70951966231914
"PIK3CD",1.61885714991194,4.87087850318907,7.13715806965522,4.22584025780882e-07,0.00446290989627189,6.57676754159874
"SPOCK1",1.99955541622692,5.80120574048401,6.64855737359313,1.2423388812872e-06,0.00522917260348018,5.56269461858133
"PCDH8",3.16282737791453,4.18323516093183,6.53238784450067,1.60887453995096e-06,0.00522917260348018,5.28332350936664
"TSPO",1.9690999815816,5.24388335743602,6.50967947091489,1.69261218437697e-06,0.00522917260348018,5.26726464026137
"EYS",2.83692194750691,-0.0732546616665495,6.89625257657823,7.07932050991727e-07,0.00498431359368242,5.23518362300139
"GPX7",-2.60138794742865,3.09871552614147,-6.49913808892948,1.73298968962983e-06,0.00522917260348018,5.06739767317144
"SFXN3",1.17202218326375,5.8459366518164,6.37251809453806,2.26952222146663e-06,0.00599210604522726,4.97873565653328
"COL9A1",-2.6426647775552,3.73829074164608,-6.27428643923781,2.8748633320625e-06,0.00674698481109156,4.65040134560816
"DPF3",2.30078869875142,3.50901973712635,6.14917584064862,3.82022001815782e-06,0.00806906872235295,4.43529032476678
"PEA15",1.13966447034489,9.07350911243031,5.97770785376629,5.63436265573475e-06,0.0108190007285845,4.0603068929745
"GFAP",4.80509347194929,0.933974358652497,5.75919274475943,9.37586014615711e-06,0.0152336090774716,3.43021026115632
"NMU",-2.72427971421557,2.7186639495225,-5.67015711914205,1.15357910011081e-05,0.0174042126803861,3.32124217944549
"FBXL8",2.20156611579122,0.0412686934026054,5.77443372482699,8.91586228414752e-06,0.0152336090774716,3.23305237883555
"ODF2",-0.744085825182579,6.35371080448256,-5.52147214834058,1.61098858582408e-05,0.0226848672731842,3.0776478413668
"ZHX3",1.06472742359487,5.44647180614845,5.46447225444652,1.84847801948984e-05,0.0234286063858338,2.96677961248564
"GPR155",1.8586214117862,3.80230048833187,5.42757256582254,2.03757133392472e-05,0.0234286063858338,2.90536434627716
"DEPP1",2.1394134897237,1.94124192547928,5.45322847144551,1.91602994569721e-05,0.0234286063858338,2.86803567776807
"IDS",0.807932111094421,8.28234356741895,5.39542519780126,2.16894187825813e-05,0.0234286063858338,2.75152267285222
"DIRAS2",1.68000614375994,4.93918685744731,5.34364207564912,2.48401515150884e-05,0.0234286063858338,2.71486480455392
"TANK",0.898274399436758,4.83462810317481,5.34073477296801,2.46877567297354e-05,0.0234286063858338,2.70907012220543
"BRINP1",3.12809719933392,3.93965473076519,5.2898729881283,2.8210904732545e-05,0.0234286063858338,2.60357260108167
"PLIN2",-1.6526210236695,2.571999276144,-5.26422899672284,2.96905068170781e-05,0.0234286063858338,2.49911257952644
"PIK3CB",0.823607188438316,4.9231594510871,5.24271605453556,3.11562426713334e-05,0.0234286063858338,2.48466899278056
"POGLUT3",-1.78524226580322,4.37167852522309,-5.23452874074086,3.21669153105378e-05,0.0234286063858338,2.47960770639688
"PPP1R9B",0.751453871611587,7.44417347734988,5.23070075187706,3.20595451465136e-05,0.0234286063858338,2.38290807788399
"NFIX",4.2301419863228,5.67665051982677,5.16957459519363,3.7534923648727e-05,0.0244242432538566,2.29541128747451
"ARHGEF2",0.876925569894186,6.84277436894639,5.15860148516652,3.81293337637299e-05,0.0244242432538566,2.22526548104154
"MICAL1",1.00376486882497,6.54895137881127,5.15473377307704,3.86970687940388e-05,0.0244242432538566,2.21939228026096
"LRFN5-DT",-2.83036039640674,0.616079718686656,-5.2481282002901,3.11454619098685e-05,0.0234286063858338,2.20791475848454
"NCS1",1.03316809106692,7.21221860929357,5.14886273796767,3.93156079268594e-05,0.0244242432538566,2.18994146337323
"ETFRF1",0.703528940900199,4.0456736636432,5.08436863485161,4.54480233297835e-05,0.0274272328220482,2.15447407094825
"NINJ2-AS1",-1.89850429184731,-0.698624274549257,-5.28923228902357,2.78958959275102e-05,0.0234286063858338,2.06223167238014
"LMO7",3.41006085802626,4.29109195891219,5.00778347833015,5.52062469861834e-05,0.0294651279193522,1.96866913919187
"NCDN",0.768227202761181,6.30014549649926,5.03779125391703,5.08041135500866e-05,0.0290022834163495,1.96237963394823
"TCHH",-4.01908152579167,-0.337171210348124,-5.33487484041447,2.53604896870747e-05,0.0234286063858338,1.94851884737865
"NEK2",-1.32329894859165,4.80465681832439,-4.9853783217581,5.8086109382231e-05,0.0294651279193522,1.91560646247877
"BLVRA",0.915642873190316,4.50912847507455,4.96845561250622,5.99848736167097e-05,0.0294651279193522,1.87575567407346
"GDPD5",0.997173364493402,4.76165938188978,4.96982774626658,5.98126413034102e-05,0.0294651279193522,1.86972558406515
"PPP1R14B-AS1",1.33606412211521,1.7464380281488,4.97016700996341,5.97392033195384e-05,0.0294651279193522,1.83601855488859
"E2F7",-1.40664196273682,5.10134878280777,-4.88290736597948,7.44453253901051e-05,0.0334560460189319,1.66615485331649
"NYAP2",3.7808684729994,3.60828288378692,4.86335422381657,7.80200739337401e-05,0.0343320833672595,1.65661490417144
"TBL1X",-0.785455889577907,5.90303178212403,-4.88459577491286,7.33622314265019e-05,0.0334560460189319,1.62845351189099
"ARL8A",0.853456999981489,6.22638757409889,4.89182890018128,7.21642402783142e-05,0.0334560460189319,1.623027971058
"SLC16A5",-3.34225014601025,-0.0219127500547736,-5.01047179094917,5.48526508733492e-05,0.0294651279193522,1.58729836772264
"TMEM108",1.82004196711203,4.58677246986162,4.83361932030807,8.37914503920827e-05,0.0349909045461978,1.55979434439149
"CHRDL1",1.76015036160827,5.27989367840036,4.83017581677472,8.44870813301813e-05,0.0349909045461978,1.51204736735351
"ZNF365",1.30120536395064,1.67923692134557,4.78342325103386,9.35801307096645e-05,0.0350778322675704,1.43531141182735
"SERINC3",0.834526848605781,6.13021085184539,4.80092918536828,8.97515267268434e-05,0.0350778322675704,1.4170327660241
"MYBPH",4.09049406562155,-2.02306329176368,5.18932977126582,3.5812516790364e-05,0.0244242432538566,1.41041523160512
"EDIL3",1.77882490356829,5.9373515205928,4.79621631931685,9.16674345143574e-05,0.0350778322675704,1.40296292010489
"REEP2",0.729528153375543,6.5020996967486,4.79749662233532,9.04617595696111e-05,0.0350778322675704,1.39974263140151
"TSPYL5",-1.44058526334611,3.09317873382218,-4.73826119361665,0.000104659405750589,0.0350778322675704,1.38008986122138
"SBF2",0.753564474258375,6.70565677265393,4.78734209998034,9.27010589353999e-05,0.0350778322675704,1.36615128355652
"HECTD3",0.784512959244524,5.76922730789959,4.77151706177867,9.63028252341096e-05,0.0350778322675704,1.36265055474315
"FUT4",-2.17504986659931,1.84757729095228,-4.74126039053453,0.00010461546184982,0.0350778322675704,1.32661262243043
"THSD1",2.81453889818068,1.47070547270985,4.71318577872109,0.000111926578969762,0.0353833028207694,1.29856581587503
"KLF7",1.07990635300683,6.85356028834715,4.75213312274798,0.000101915057603068,0.0350778322675704,1.2752646208537
"CLCN3",0.533673964422229,7.12789565268911,4.74614366845638,0.000102374699132286,0.0350778322675704,1.25894814767585
"LINC01126",-1.33679119160968,-0.101446078457827,-4.84812939356577,8.00842888922766e-05,0.0345212316322993,1.25813385874614
"DGKG",2.27009145529225,0.404037400956028,4.73397862564414,0.000106464216016168,0.0350778322675704,1.25505138335013
"GSTCD",-0.812457354577186,4.82544253806617,-4.67273487789824,0.000122204289499714,0.0353833028207694,1.19780474025449
"STX12",1.01025516068623,5.99645039488588,4.69362024270631,0.000117047881685816,0.0353833028207694,1.17226081088855
"LINC00673",2.00493634288206,2.31451585821055,4.64980006563868,0.000130384017460351,0.0365667433391055,1.17090113968627
"PLXND1",2.16138701174802,6.86949877255352,4.70909356726977,0.000113034439638428,0.0353833028207694,1.17089363206933
"RTN4",0.743758690124086,9.49077307580844,4.72476313335171,0.000107947121361238,0.0350778322675704,1.16578826821709
"TUBBP5",-2.96118149325288,0.710435671527753,-4.77091198395023,9.74154769454132e-05,0.0350778322675704,1.16024630591621
