"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PIK3CD",1.89298758629103,4.87087850318907,6.25557889167657,2.97600759055313e-06,0.0628592323276632,4.54937696933197
"C1QL1",2.6076558794618,3.85248797245655,5.58646245145971,1.40283005978749e-05,0.10026118826778,3.05088650270524
"SFXN3",1.31231684220097,5.8459366518164,5.49199275441965,1.73238987133862e-05,0.10026118826778,3.04725138094055
"HMGN2",-1.48735895452362,8.61105286592244,-5.38076691774978,2.27542172813893e-05,0.10026118826778,2.80290514707668
"TIMELESS",-1.9845963467925,6.44531009878608,-5.36291951631711,2.37338292462314e-05,0.10026118826778,2.76271420797718
"TSPYL5",-2.00884045467588,3.09317873382218,-5.1458764895174,3.93861872076225e-05,0.117016094087923,1.99319183139921
"PIK3CB",0.999338014457846,4.9231594510871,4.92525864012691,6.65357663166993e-05,0.117016094087923,1.7920039587353
"KIF24",-1.94280987388233,4.08276824246969,-4.92695658756685,6.69863034482556e-05,0.117016094087923,1.72534335437652
"AFF4",0.656593844928067,8.27886511796506,4.86113287348017,7.76187452752546e-05,0.117016094087923,1.64514449214585
"ALDH16A1",-1.6356829820437,4.5914571299159,-4.83280347767187,8.3753016646341e-05,0.117016094087923,1.56708972496024
"HMGA2",-2.09538400931922,7.9174967442936,-4.82309675636722,8.59355048480802e-05,0.117016094087923,1.55356974822062
"GPX7",-2.70028033215111,3.09871552614147,-4.90981338293594,6.97950504958784e-05,0.117016094087923,1.45700778473066
"TSPO",1.88655643538884,5.24388335743602,4.76118659920836,9.97201824440209e-05,0.117016094087923,1.42877216749503
"ADM2",2.86572245469722,3.56709995378402,4.79388200750059,9.21830482708572e-05,0.117016094087923,1.33272440003037
"LIG1",-1.19493030606305,6.40040141532546,-4.68795537356454,0.000118550287694609,0.123506263443466,1.26240667846883
"ACTG1P25",-1.80599242079347,0.224683700417478,-4.99849595907789,5.58172334283216e-05,0.117016094087923,1.18825301962642
"FBXL8",2.58168962075153,0.0412686934026054,5.06839560377942,4.72368970140919e-05,0.117016094087923,1.17391740390581
"SPSB4",-1.80884824631712,4.80914211637022,-4.6375252880395,0.000134298107953137,0.123506263443466,1.15247670545851
"LMNB1",-1.78039854448336,7.57396731503593,-4.63604425467546,0.000134778296013069,0.123506263443466,1.13090911639058
"RNF11",0.657440747480823,6.91297272732662,4.60195533760463,0.000144982161059804,0.123506263443466,1.06829308968402
"LOC105376177",-1.49254324826519,2.65385952433625,-4.68497607592052,0.00011864712878147,0.123506263443466,1.04863302379564
"RNASEH2A",-1.76531520755409,5.1296959402044,-4.54153756316288,0.000169277857747666,0.123506263443466,0.945777448120242
"BEND3",-1.52260831956826,4.654851172638,-4.52271764428763,0.000176968678847994,0.123506263443466,0.901924571513408
"DPF3",2.0663031229539,3.50901973712635,4.49724138427555,0.000188379493091134,0.123506263443466,0.806583950657337
"E2F7",-1.58086204384871,5.10134878280777,-4.46930478158126,0.000201525094263914,0.123506263443466,0.786699857081672
"FBXO43",-2.4058714554009,0.953367127875393,-4.77081595630381,9.65489097071832e-05,0.117016094087923,0.784782555242274
"NCAPH2",-1.29688101474553,5.73641307664117,-4.44912793122413,0.000211474940483643,0.123506263443466,0.732790824064828
"ODC1",-1.00509699248804,9.0130955098447,-4.453321115726,0.000208708408881237,0.123506263443466,0.707051766437896
"ZNF730",-1.62284908305227,5.06382155687611,-4.42920250164994,0.000222021338726706,0.123506263443466,0.698372369254341
"SLC25A30",0.919653207648334,4.16859278858112,4.41928236989047,0.00022552171708828,0.123506263443466,0.673588156374922
"N4BP2",-1.02823995449411,6.38339923537684,-4.40792907441514,0.000232415993423347,0.123506263443466,0.634254983116215
"KIF22",-1.09412099852146,6.50854939810112,-4.39543319531802,0.000240152837014102,0.123506263443466,0.601890766330238
"HMGN5",-1.66322307284041,3.27051853345617,-4.39566485670396,0.000239817204206233,0.123506263443466,0.552119693935199
"DUT",-1.03977946595679,5.6625602704929,-4.36477949454208,0.00025781798920699,0.123506263443466,0.547907960278999
"IDS",0.825379340456164,8.28234356741895,4.37893518670737,0.00024866090977577,0.123506263443466,0.545513948816289
"TEDC2",-1.65962872293029,3.72935350521042,-4.34639903225695,0.000270693117075122,0.123506263443466,0.491595521084697
"LIX1",-3.45319769458075,5.51047892744809,-4.33209297072551,0.000280739703015722,0.123506263443466,0.484964770382268
"NUP210",-1.56331167748319,6.65518306022451,-4.33789504193701,0.000276830365780509,0.123506263443466,0.469670160690235
"CDK5RAP2",-0.808389729890152,6.88599132029511,-4.32967200375306,0.000280163203721813,0.123506263443466,0.45253290125601
"HAPSTR2",-2.50058448478928,0.46946243627275,-4.47891062144573,0.00019659466307557,0.123506263443466,0.446816334005571
"H2AZ2",-0.861099601048287,8.24350852775313,-4.33329871630844,0.000277796217199299,0.123506263443466,0.441690755157781
"PMF1",-1.10984971643197,3.76405808222697,-4.31821035900092,0.00028804802993764,0.123506263443466,0.432384726842169
"TMPO-AS1",-1.6886939216197,2.1664785567451,-4.36369458863459,0.000258086066405699,0.123506263443466,0.38285444769547
"PRTFDC1",-1.86276413706951,3.53502094140657,-4.28994043142233,0.000310850563387856,0.123506263443466,0.372546989579146
"GNG13",-1.90848941311557,0.321900503265359,-4.4746353202233,0.000197247433443619,0.123506263443466,0.325717135192687
"VEGFA",2.47082379545994,7.11012087419323,4.27190859378041,0.000324698784287594,0.123506263443466,0.323225305630215
"MCM2",-2.17773779554001,6.96477265747727,-4.27376823363574,0.00032324252283011,0.123506263443466,0.317954770852608
"SEPHS1",-1.01790569093574,6.82784957598587,-4.258561535512,0.000334191537366107,0.123506263443466,0.287385989682627
"GDPD5",1.11072853192994,4.76165938188978,4.23689682332519,0.000350836843414825,0.123506263443466,0.283045762047277
"RNR1",1.09422371308066,9.36478747316788,4.26882957591472,0.000327124365672665,0.123506263443466,0.277817833198856
"TTI1",-0.719061453410935,5.56168331409629,-4.23811308734314,0.000349706694490868,0.123506263443466,0.270297113615268
"GJD2",-3.05584402414328,2.21331087144392,-4.26673470391632,0.000328785009330826,0.123506263443466,0.257256548391217
"H2AX",-2.0760256483422,2.71578256542716,-4.26791506908774,0.000327848277979039,0.123506263443466,0.254572131566352
"SMC1A",-0.828051861941207,7.6773719373129,-4.24005946016283,0.000348095358970678,0.123506263443466,0.236369119416036
"COL6A2",2.54498415522631,6.87326612117753,4.20460009209898,0.000382064428235892,0.126739625483556,0.187821844007135
"SUV39H1",-1.6272756743219,3.6299630642885,-4.20367304498868,0.000382324373632582,0.126739625483556,0.187568105328316
"B3GALNT1",-1.35103423495711,4.04287738017514,-4.19547242720533,0.000388597152674608,0.126739625483556,0.181015901885155
"HMGB1",-1.17009099621371,9.02688335419929,-4.22434736945501,0.000364257071229875,0.126128489483892,0.179242065001849
"KIF7",-0.758989639383627,5.43205250704695,-4.16123997470619,0.000421251129754331,0.130848034745161,0.10286921406975
"ICAM5",3.66389378203665,3.83939302222393,4.16767512143078,0.000417727467744317,0.130848034745161,0.0993673546234843
"ILF3",-0.68304105050624,9.54707384378008,-4.17276503407498,0.000409659788647538,0.130848034745161,0.0610841871584524
"RARG",2.41600887767092,3.26162662677704,4.15437333746464,0.000431373092422447,0.132050180552854,0.0284355923529436
"ATP8B2",0.71694446553916,6.44439389893518,4.1325896939969,0.000451503571257873,0.134319132846603,0.0152942908622302
"NFIX",4.88574443908832,5.67665051982677,4.10992809733951,0.000480274643359687,0.137429068655159,0.00173776304296869
"RMI2",-2.01724577468838,3.80788631252238,-4.10286494921597,0.000488539531168204,0.137429068655159,-0.0190703070222318
"R3HCC1",-0.580299673607659,5.44149583963416,-4.09128838926469,0.000498965375820141,0.137429068655159,-0.0570036303966832
"KCTD15",-0.853957736518652,6.66467271206241,-4.10301470183537,0.000485126709845176,0.137429068655159,-0.0589891446490496
"SYT10",-3.55367225047811,1.37737052742411,-4.19606953608489,0.000390023466358827,0.126739625483556,-0.063732150443669
"GPR137B",0.791409621936026,4.54049071926053,4.05596444054778,0.000543481012162401,0.137429068655159,-0.110450585791773
"LRRCC1",-1.22554792483774,4.06640267206937,-4.0563516816316,0.000543711944205585,0.137429068655159,-0.111283377913226
"KLF9",2.89183095809717,2.04143952505379,4.13756831997576,0.000449250126855312,0.134319132846603,-0.113734683062128
"PLK4",-1.48476644023277,4.85102439410503,-4.04124701264853,0.000566922962378171,0.137429068655159,-0.152282777373106
"IDH2",-0.706134729233445,7.14197360227594,-4.06252885475268,0.000534919377257222,0.137429068655159,-0.158106642820893
"MDFI",1.83166695589505,5.44421997508786,4.03311250865997,0.00057816575634898,0.137429068655159,-0.174614452671304
"CHEK2",-1.14390374724783,3.76419714104618,-4.01930377581776,0.000593864721335553,0.137429068655159,-0.19604333404452
"MIS18BP1",-1.47429238383502,5.02961627877529,-4.02124219149206,0.000594971125219638,0.137429068655159,-0.202248857951454
"OIP5",-1.51600423370027,3.15673343090625,-4.02029567618876,0.000594628648293524,0.137429068655159,-0.212831103330189
"BLM",-2.32791737652264,4.13716376079231,-4.00689094241224,0.000615938991217944,0.137429068655159,-0.22173186921929
"CLTCL1",0.980659444273479,4.47506829725771,4.00432060165722,0.000615770124196612,0.137429068655159,-0.222016019357104
"KREMEN1",1.24194345741703,5.33475794784541,3.99677482332076,0.000630208822418986,0.137429068655159,-0.253323539465118
"CYP27C1",-1.87714284753762,2.68780282183554,-4.0278922150108,0.000584597895468898,0.137429068655159,-0.253369479252185
"NOL3",1.99177334158873,3.66507224279377,3.99668724121806,0.000631292553562034,0.137429068655159,-0.2590590695559
"CDC25C",-1.48243789953626,3.4812014718146,-3.99243517478037,0.000636291127738711,0.137429068655159,-0.262620817236138
"FGD5-AS1",-0.59575497465349,7.73476984496781,-4.01705864596432,0.000597097050367227,0.137429068655159,-0.271565314686208
"TMEM243",-1.31750396186603,2.52528395553607,-4.01771407640038,0.000596151618328986,0.137429068655159,-0.275385000056019
"MCM5",-2.04684269158474,6.03661011773783,-3.98768249686053,0.000645157792981767,0.137429068655159,-0.305614986401884
"PLCB2",-2.64489347008925,0.882171342052925,-4.056370412911,0.000546595966756902,0.137429068655159,-0.308738012074042
"PIMREG",-1.87379241298452,5.12562288090464,-3.97328486414445,0.000667958430081831,0.137429068655159,-0.310156495917546
"LSM4",-0.799264442120485,7.18066589028732,-3.99425257990228,0.000631041087795478,0.137429068655159,-0.313232266554101
"GSTCD",-0.865730269409196,4.82544253806617,-3.96134215022758,0.00068316201702823,0.137429068655159,-0.320536140723399
"CDCA5",-1.90275780125609,5.43244311427311,-3.96867082769601,0.00067543348493499,0.137429068655159,-0.329131753389867
"PBX3",-2.97182959004858,5.46300725441164,-3.96668373365042,0.000678678265857763,0.137429068655159,-0.338670942392284
"SRSF7",-1.16635531668029,7.20414593266185,-3.9813936315404,0.000655020335960823,0.137429068655159,-0.346701258957603
