"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPX7",-3.42953038979581,3.09871552614147,-7.88591298571101,8.83188365342682e-08,0.00186547046527681,7.52798214984176
"PLXND1",3.33427563445694,6.86949877255352,6.71999806510876,1.06062539247832e-06,0.00788338972413978,5.71437380042643
"P4HA3",3.71924953408136,-0.809921924801688,6.62317867150416,1.29409897721802e-06,0.00788338972413978,3.8888915660714
"C1QL1",2.60972882467669,3.85248797245655,6.56591764484842,1.49292486017229e-06,0.00788338972413978,5.27251789112842
"GDPD5",1.28833137849127,4.76165938188978,6.27147536673888,2.84254246447607e-06,0.0120080363869327,4.76883769327539
"PIK3CD",1.44984396772205,4.87087850318907,6.10534755860401,4.19087588046187e-06,0.0147532800578526,4.40167052555189
"SFXN3",1.13301898706934,5.8459366518164,5.79780787406447,8.46997830044716e-06,0.0231477356877277,3.71718669841673
"COL9A1",-2.43560526919063,3.73829074164608,-5.752499390216,9.5228543981064e-06,0.0231477356877277,3.57562943112492
"TAP2_2",1.97409251320503,-0.887535343581072,5.73086125430479,9.86315790121906e-06,0.0231477356877277,2.89317370902397
"RAPH1",1.04153645441779,6.09276085701549,5.64980405117023,1.19350652222486e-05,0.0252092447624336,3.37926897545562
"EYS",2.49608181928953,-0.0732546616665495,5.54339489143561,1.5350960765383e-05,0.029476635753311,2.67435434790467
"IDS",0.843201560474479,8.28234356741895,5.4450110370631,1.92913738206258e-05,0.0339560331532716,2.87401090923244
"LARP6",0.911934115414229,4.66570256057791,5.37257896806107,2.28941706263117e-05,0.0371977439976119,2.79371640672914
"TSPO",1.71265184170807,5.24388335743602,5.34253990577356,2.49049651923825e-05,0.0375744767709644,2.70136798148548
"ZNF214",-1.29828520875785,2.66887189689032,-5.29722689129336,2.73714458308599e-05,0.0385426452559615,2.55909228538931
"TBL1X",-0.875828951379394,5.90303178212403,-5.21986736671801,3.28967496325058e-05,0.0434278216086117,2.41233002615641
"RIDA",-0.939463183776043,3.75124570561743,-5.18033155092333,3.61447349076645e-05,0.0436971117039178,2.36664012140056
"MYBPH",4.57453739357204,-2.02306329176368,5.17291001879136,3.72383302088117e-05,0.0436971117039178,1.1165229549014
"PGM5-AS1",-4.09081223080604,-1.29384968527195,-5.12544639067907,4.16920039063965e-05,0.0463483424479425,1.19616903743036
"FBXO43",-1.96950936879636,0.953367127875393,-5.09376964642068,4.4483055014476e-05,0.0469785544007881,1.96740190501223
"RNF41",0.778780211901113,6.32791513480256,5.01641619513794,5.34717806803678e-05,0.0470666540593027,1.92253502413041
"PEA15",0.993641513539131,9.07350911243031,5.01290488266133,5.43845008608825e-05,0.0470666540593027,1.85526876345919
"POGLUT3",-1.89366426229638,4.37167852522309,-4.98402711145206,5.84329198503451e-05,0.0470666540593027,1.92531886955539
"TSPYL5",-1.53039830808726,3.09317873382218,-4.98149038340367,5.83405593244712e-05,0.0470666540593027,1.910864787546
"FAM120A2P",-1.78829524465608,0.104961512932527,-4.94437985278968,6.35511960847565e-05,0.0470666540593027,1.52853449564849
"EYA2",-4.59536728674821,1.93014508781914,-4.94096655970538,6.47759096570372e-05,0.0470666540593027,1.51749168650844
"MAGI2-AS3",-1.01725214516708,5.72254510274416,-4.93225470801011,6.56553155019296e-05,0.0470666540593027,1.75456766698486
"NFIX",4.69598359618709,5.67665051982677,4.92504385452798,6.72939391178246e-05,0.0470666540593027,1.77765022610947
"FZD1",-1.66115598314857,6.25722398706695,-4.91510343518853,6.8915856971337e-05,0.0470666540593027,1.69975465476309
"TMEM252",-4.18953705726971,-3.25079430659959,-4.91286411682132,0.00010353141389657,0.0470666540593027,-0.126374647421969
"HMGA2",-1.78561558391213,7.9174967442936,-4.90600535381378,7.0434943412072e-05,0.0470666540593027,1.63388052297574
"PLIN2",-1.67188209230451,2.571999276144,-4.88282081894933,7.38590205340449e-05,0.0470666540593027,1.65640967635355
"ODF2",-0.684229266974056,6.35371080448256,-4.8820687330644,7.38091132463281e-05,0.0470666540593027,1.61393711150504
"GJD2",-3.30282961237784,2.21331087144392,-4.84364531499849,8.17988174455168e-05,0.0470666540593027,1.54232077172716
"YAP1",-1.30708387860693,7.32930619367688,-4.83681129617345,8.31517951324551e-05,0.0470666540593027,1.48156234025353
"PIK3CB",0.782128481405743,4.9231594510871,4.82717453848027,8.4224944620031e-05,0.0470666540593027,1.53887452483811
"CAPN5",1.0252060613697,5.45853581975224,4.82358695589587,8.54189137875868e-05,0.0470666540593027,1.49934736560602
"SNX10-AS1",-3.56622551270432,1.4133092898387,-4.82276163722985,8.60046904486465e-05,0.0470666540593027,1.37753015562929
"TMBIM4",-1.12280042911676,4.68883404912585,-4.81541270317468,8.68515049480874e-05,0.0470666540593027,1.53500974074359
"NINJ2-AS1",-1.88046839666067,-0.698624274549257,-4.79636470627651,9.07086461438472e-05,0.0470666540593027,1.03891777867267
"LINC03086",-3.75270048891314,-1.66471670825569,-4.77700533412974,9.55777906779005e-05,0.0470666540593027,0.280729733863134
"LEKR1",-3.25719902437285,-1.67825480236236,-4.76348676170669,9.83185927458156e-05,0.0470666540593027,0.34701187826921
"LMO7",3.52777191371898,4.29109195891219,4.75567722072476,0.000101050102484664,0.0470666540593027,1.41223449979906
"COL25A1",2.3502378747209,4.4431693183685,4.75319171416143,0.000101655924027385,0.0470666540593027,1.38990589436596
"IRAK1BP1",-1.21756813637559,4.0053666761759,-4.74024886472162,0.000103980238885252,0.0470666540593027,1.38946419994608
"FBXL8",1.93144086220018,0.0412686934026054,4.73709669603134,0.000104669007334331,0.0470666540593027,1.16459018921392
"ICAM5",3.17821409304869,3.83939302222393,4.72897139378171,0.00010775456837164,0.0470666540593027,1.35530280967538
"CLGN",-0.891635231834752,4.2593134208177,-4.7283931723915,0.000106850481085767,0.0470666540593027,1.35831845605229
"MADD-AS1",2.51645399458295,-2.27873065045026,4.71941894458944,0.000109187863313409,0.0470666540593027,0.457207988329723
"CYP39A1",-2.21590915617803,1.5199329236304,-4.70790653100101,0.000113357861687658,0.0472470966926949,1.22382658937791
"L3MBTL3",-0.89845012823108,4.54211656469361,-4.70124564899564,0.000114080197487333,0.0472470966926949,1.28459804703865
"PM20D2",-1.10505254404619,5.52528614865921,-4.69554574352998,0.000116446865223597,0.047299820908708,1.21782182927977
"ITGA6",-0.954991432225854,6.67427054285367,-4.67659806356251,0.000121776058526436,0.0481294694706687,1.12322611779324
"GPD2",-1.49661792063472,4.89942745214058,-4.67331148489347,0.00012320457551614,0.0481294694706687,1.20298663418589
"ZFHX4-AS1",-2.69257875699162,2.53395663902836,-4.64839358952376,0.000130826615525216,0.0481294694706687,1.15103637931557
"DEPP1",1.90520167346728,1.94124192547928,4.64673226862596,0.000131254426349363,0.0481294694706687,1.1522227628894
"CDC14A",-1.27695385552265,3.60372365876235,-4.6401679884937,0.000132311889286617,0.0481294694706687,1.17029407911026
"HMGN5",-1.4887021951035,3.27051853345617,-4.62834488281235,0.000136692552710335,0.0481294694706687,1.13790658417841
"PIGU",-0.610285531652278,5.06496270258427,-4.62693737276034,0.000136491719552444,0.0481294694706687,1.08202576812769
"ADGRA3",-0.823662629639935,6.68085591790583,-4.62641479480417,0.000136718500532152,0.0481294694706687,1.01132260119284
"E2F7",-1.39231287206742,5.10134878280777,-4.60829687812902,0.00014410105695917,0.0494297102870048,1.04885863139173
"GPR155",1.6023129615065,3.80230048833187,4.58869586377389,0.000151075311636614,0.0494297102870048,1.03913383337969
"DPF3",1.76377389652302,3.50901973712635,4.58800926462966,0.000151325672597762,0.0494297102870048,1.04522989419235
"LOC124902020",2.120903266346,-0.857287647334718,4.58768512446613,0.000150389622035433,0.0494297102870048,0.820679779816572
"NCDN",0.725573221608612,6.30014549649926,4.57863072410687,0.000153388307351734,0.0494297102870048,0.904858452858624
"AAK1",0.611356631569991,6.73739883533271,4.57576805509523,0.000154453218395148,0.0494297102870048,0.88363271976878
"SPTAN1",1.01145877879274,9.83697984037895,4.56618395022583,0.000159505244278728,0.0498552227115344,0.794998004524549
"PRDX2",-0.852300401302954,8.01857504399443,-4.56179882792967,0.000160503510291844,0.0498552227115344,0.823985329155573
"SOCS2",1.47058897013049,4.38196066829001,4.55015384120178,0.000165794789361037,0.0507205468018245,0.932591166529498
"NTRK3",2.27858123243684,6.88879440374227,4.54062894846544,0.000169649418601034,0.0507205468018245,0.796274627832123
"ZC3HAV1L",-1.27604881999323,4.20186962574405,-4.53699844326104,0.000170493268768561,0.0507205468018245,0.927191253903697
"CPXM1",-1.43948982001122,6.59015152730574,-4.52257500606123,0.000177204547894302,0.05104035943073,0.767527378258
"LHX9",-3.80036818671096,3.3834398605276,-4.51966732401203,0.000178452564265236,0.05104035943073,0.887710910669786
"B3GNT5",-1.10221992370648,4.81804488719975,-4.51298374266703,0.000180581638902732,0.05104035943073,0.840911498543304
"SLC51A",1.20336662099746,1.01661550080166,4.50963516857039,0.000181234114066128,0.05104035943073,0.824802627146741
"SMO",-1.23796377937576,6.76591499500011,-4.49674551344937,0.000188605149237652,0.0521116319209951,0.703996392484004
"JADE3",-0.74406034041985,4.77243772938772,-4.49016858070206,0.000189972334907519,0.0521116319209951,0.789953023621313
"IFI16",1.97791122193322,2.35215968334333,4.48278201525316,0.000195072188071454,0.0528245481595545,0.807063364706619
"ODC1",-0.826664453509999,9.0130955098447,-4.45857958545285,0.000206072378979568,0.054756936764964,0.561536494701348
"SIX5",-1.58129555239443,5.34635801760392,-4.44761763429915,0.000212361763313279,0.054756936764964,0.669530390388515
"NHLH2",-2.99334596767793,3.13058249019067,-4.43942330511565,0.000216606878834402,0.054756936764964,0.718952147170335
"TMEM254",-0.861060025913138,4.93515954688135,-4.4357509163534,0.000216709077701118,0.054756936764964,0.650225087163757
"SERINC3",0.795843224908464,6.13021085184539,4.43243505072176,0.000218524054762203,0.054756936764964,0.566555035542135
"ZNF630",-1.95953255758056,0.224406618938721,-4.42138727346318,0.000224799324316406,0.054756936764964,0.525459217682942
"VEPH1",-2.15469274442793,3.55747362821054,-4.42057591524734,0.000226696778634947,0.054756936764964,0.679560078407336
"LOC124907896",2.47978943141284,-0.851554037698414,4.41719409576171,0.000227898160165414,0.054756936764964,0.381936274194177
"NEK2",-1.19514047352414,4.80465681832439,-4.41712163017385,0.000228132299749874,0.054756936764964,0.622723408431715
"BTBD3",-0.727271073102158,6.44769911787729,-4.41575972721676,0.000227452919687904,0.054756936764964,0.524022198667021
"BEND6",2.21299384115998,1.74177119991567,4.40497205987079,0.000235406027942007,0.055654659689704,0.615576347653957
"LZTFL1",-1.00843194028553,5.04247579147747,-4.39998541529414,0.000237183943723839,0.055654659689704,0.560590590426306
"CENPBD2P",-0.686586583737311,6.13187897212809,-4.38689608528328,0.000243914191873247,0.055654659689704,0.46803250613379
"ITGB8-AS1",-2.22508394516376,-1.44661092897537,-4.38612018942141,0.000244372801458017,0.055654659689704,0.128112178923192
"GSTCD",-0.785362153218157,4.82544253806617,-4.38498214660261,0.000245047029217994,0.055654659689704,0.542577592679111
"CHST12",0.514138607591986,5.08418161444478,4.37418425606593,0.000251537657171651,0.0565210467529747,0.492151178958094
"BTBD10",0.790529071000578,5.5300798001798,4.36549953857056,0.000256899290700249,0.0570602460812824,0.440947017034605
"SLC6A6",1.24843172965005,6.13319193423312,4.36489998855713,0.000259340196184221,0.0570602460812824,0.403279179071154
"ADAMTS18",-4.82954138436764,3.93826318918307,-4.35657927443192,0.000264607881661116,0.0576190482107846,0.537955755562578
"PELP1-DT",-1.93369794967758,-1.47959098257118,-4.3368591900156,0.000275329503302722,0.0593419364159193,0.0184697695863036
"TMEM108",1.66716961176372,4.58677246986162,4.31763010880368,0.000290726850503559,0.0620276013771332,0.382615818661558
"MIOX",2.91971722339438,-1.7077538681767,4.30648572512906,0.00029842488909332,0.0622820441949167,0.0454957632596056
"PNRC2",-0.665654153621606,6.62785239236609,-4.30368190009159,0.000298362588951905,0.0622820441949167,0.257813373190881
"DIRAS2",1.2816000894714,4.93918685744731,4.30358543824651,0.000300765481861637,0.0622820441949167,0.313482918400962
"PRSS44P",-3.01251484248989,-2.14893292308765,-4.29562802522826,0.000304718718947499,0.062488046423389,-0.391641384490354
"ADM2",1.84346750297144,3.56709995378402,4.28691217556357,0.000313134244614668,0.0635963607187597,0.367116553702055
"SLC25A37",-0.614889172692539,5.80981907141583,-4.27736973107992,0.000317992799564418,0.0639077953087167,0.228202619102357
"CBX4",1.04021467088424,6.0163447345234,4.26936096698506,0.000326704457590882,0.0639077953087167,0.190737855941532
"VWCE",1.55697876869757,3.18834846799912,4.26852274664197,0.000327367069567015,0.0639077953087167,0.340290771701643
"MMRN1",-5.42917408612287,3.18578946317802,-4.26176662362468,0.000332757079601582,0.0639077953087167,0.325659220766812
"NEUROG1",-3.67955425717654,2.49451445466813,-4.25569446917855,0.00033767709804688,0.0639077953087167,0.302420867483923
"ADGRL2",-1.44561129947772,7.00755448845898,-4.25553706813885,0.000337805596198233,0.0639077953087167,0.135083551510827
"ANKRD9",-0.8264726925132,5.55559138069485,-4.25467387447775,0.000336055011228932,0.0639077953087167,0.196914932011812
"ZCCHC3",-0.540902158847986,6.49019614696644,-4.25110837863899,0.000338872884886671,0.0639077953087167,0.138904542935286
"NUPR1",5.69975243235655,0.162648455677814,4.24445097972965,0.000346980055441741,0.064631080142198,0.0255650103777958
"B4GALT5",0.74430009007226,6.89580121484924,4.23938287643627,0.000348827911003246,0.064631080142198,0.0950311795136072
"LIX1",-3.15241873967991,5.51047892744809,-4.23165688909126,0.000357878000281578,0.065731296712587,0.225413504926528
"SYT2",-2.23199504973825,2.28165102297607,-4.22597350730245,0.000362828172881989,0.0660660057552876,0.247314808044779
"CMTM7",-5.14266721943679,0.483926961639722,-4.22148553335532,0.00036678545466201,0.0662157467809486,-0.20210513322533
"GFAP",4.27169067642145,0.933974358652497,4.21236531986976,0.000374960575482775,0.067025383915534,0.14659631672601
"UNCX",-3.99699914476983,3.46626126654235,-4.20944480264934,0.000377616735439284,0.067025383915534,0.217016402781797
"LOC107985088",-4.09686002426527,-1.7181247218703,-4.19899847656258,0.000387272260652546,0.0672783884805722,-0.604354596975081
