"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPX7",-3.42953038979581,3.09871552614147,-7.88591298571099,8.83188365342277e-08,0.00186547046527596,7.52798214984205
"PLXND1",3.33427563445694,6.86949877255352,6.71999806510893,1.06062539247753e-06,0.00788338972413678,5.71437380042711
"C1QL1",2.60972882467669,3.85248797245655,6.56591764484843,1.49292486017172e-06,0.00788338972413678,5.27251789112872
"GDPD5",1.28833137849126,4.76165938188978,6.27147536673855,2.84254246447695e-06,0.0120080363869364,4.76883769327505
"PIK3CD",1.44984396772205,4.87087850318907,6.10534755860386,4.1908758804616e-06,0.0147532800578517,4.40167052555191
"P4HA3",3.71924953408136,-0.809921924801688,6.62317867150391,1.29409897721811e-06,0.00788338972413678,3.88889156607122
"SFXN3",1.13301898706933,5.8459366518164,5.79780787406424,8.46997830044861e-06,0.0231477356877545,3.71718669841653
"COL9A1",-2.43560526919063,3.73829074164608,-5.75249939021603,9.52285439810334e-06,0.0231477356877545,3.57562943112517
"RAPH1",1.04153645441779,6.09276085701549,5.64980405116999,1.19350652222513e-05,0.0252092447624392,3.37926897545538
"TAP2_2",1.97409251320503,-0.887535343581072,5.73086125430416,9.86315790123049e-06,0.0231477356877545,2.89317370902299
"IDS",0.843201560474476,8.28234356741895,5.44501103706276,1.92913738206361e-05,0.0339560331532896,2.8740109092319
"LARP6",0.91193411541423,4.66570256057791,5.37257896806052,2.28941706263351e-05,0.03719774399765,2.79371640672814
"TSPO",1.71265184170808,5.24388335743602,5.3425399057736,2.49049651923746e-05,0.0375744767709526,2.70136798148577
"EYS",2.49608181928953,-0.0732546616665495,5.5433948914354,1.53509607653856e-05,0.0294766357533159,2.67435434790445
"ZNF214",-1.29828520875785,2.66887189689032,-5.29722689129285,2.7371445830886e-05,0.0385426452559983,2.55909228538842
"TBL1X",-0.875828951379392,5.90303178212403,-5.21986736671763,3.28967496325268e-05,0.0434278216086394,2.41233002615578
"RIDA",-0.939463183776042,3.75124570561743,-5.18033155092262,3.61447349077162e-05,0.043697111703911,2.3666401213992
"FBXO43",-1.96950936879636,0.953367127875393,-5.09376964642045,4.44830550144881e-05,0.0469785544008009,1.96740190501195
"POGLUT3",-1.89366426229638,4.37167852522309,-4.98402711145206,5.84329198503334e-05,0.047066654059335,1.92531886955555
"RNF41",0.778780211901108,6.32791513480256,5.01641619513752,5.34717806804081e-05,0.047066654059335,1.92253502412967
"TSPYL5",-1.53039830808726,3.09317873382218,-4.98149038340349,5.83405593244805e-05,0.047066654059335,1.91086478754582
"PEA15",0.993641513539131,9.07350911243031,5.01290488266125,5.43845008608798e-05,0.047066654059335,1.85526876345922
"NFIX",4.69598359618709,5.67665051982677,4.92504385452813,6.72939391177871e-05,0.047066654059335,1.77765022610998
"MAGI2-AS3",-1.01725214516707,5.72254510274416,-4.93225470800992,6.56553155019422e-05,0.047066654059335,1.75456766698465
"FZD1",-1.66115598314857,6.25722398706695,-4.91510343518859,6.89158569713145e-05,0.047066654059335,1.69975465476339
"PLIN2",-1.67188209230452,2.571999276144,-4.88282081894915,7.38590205340579e-05,0.047066654059335,1.65640967635335
"HMGA2",-1.78561558391213,7.9174967442936,-4.90600535381387,7.04349434120436e-05,0.047066654059335,1.63388052297613
"ODF2",-0.684229266974056,6.35371080448256,-4.8820687330639,7.38091132464008e-05,0.047066654059335,1.61393711150408
"GJD2",-3.30282961237784,2.21331087144392,-4.84364531499857,8.17988174454861e-05,0.047066654059335,1.54232077172743
"PIK3CB",0.782128481405739,4.9231594510871,4.82717453847979,8.4224944620111e-05,0.047066654059335,1.53887452483719
"TMBIM4",-1.12280042911676,4.68883404912585,-4.81541270317449,8.68515049481062e-05,0.047066654059335,1.53500974074336
"FAM120A2P",-1.78829524465608,0.104961512932527,-4.94437985278927,6.3551196084805e-05,0.047066654059335,1.5285344956478
"EYA2",-4.59536728674821,1.93014508781914,-4.94096655970548,6.47759096570103e-05,0.047066654059335,1.5174916865087
"CAPN5",1.0252060613697,5.45853581975224,4.82358695589574,8.54189137875939e-05,0.047066654059335,1.49934736560593
"YAP1",-1.30708387860693,7.32930619367688,-4.83681129617347,8.31517951324364e-05,0.047066654059335,1.48156234025375
"LMO7",3.52777191371898,4.29109195891219,4.75567722072488,0.000101050102484617,0.047066654059335,1.41223449979948
"COL25A1",2.3502378747209,4.4431693183685,4.75319171416152,0.000101655924027345,0.047066654059335,1.38990589436632
"IRAK1BP1",-1.21756813637559,4.0053666761759,-4.74024886472141,0.00010398023888528,0.047066654059335,1.38946419994581
"SNX10-AS1",-3.56622551270432,1.4133092898387,-4.82276163722991,8.60046904486184e-05,0.047066654059335,1.3775301556295
"CLGN",-0.891635231834753,4.2593134208177,-4.72839317239103,0.000106850481085867,0.047066654059335,1.35831845605139
"ICAM5",3.1782140930487,3.83939302222393,4.72897139378183,0.00010775456837159,0.047066654059335,1.3553028096758
"L3MBTL3",-0.898450128231079,4.54211656469361,-4.70124564899524,0.000114080197487419,0.0472470966927308,1.28459804703792
"CYP39A1",-2.21590915617803,1.5199329236304,-4.70790653100097,0.000113357861687651,0.0472470966927308,1.22382658937792
"PM20D2",-1.10505254404619,5.52528614865921,-4.69554574352987,0.0001164468652236,0.0472998209087093,1.21782182927973
"GPD2",-1.49661792063472,4.89942745214058,-4.67331148489346,0.000123204575516122,0.0481294694706857,1.20298663418603
"PGM5-AS1",-4.09081223080604,-1.29384968527195,-5.12544639067902,4.16920039063923e-05,0.0463483424479379,1.19616903743031
"CDC14A",-1.27695385552265,3.60372365876235,-4.64016798849349,0.000132311889286653,0.0481294694706857,1.17029407910997
"FBXL8",1.93144086220018,0.0412686934026054,4.7370966960311,0.000104669007334369,0.047066654059335,1.16459018921357
"DEPP1",1.90520167346728,1.94124192547928,4.64673226862591,0.000131254426349353,0.0481294694706857,1.15222276288943
"ZFHX4-AS1",-2.69257875699162,2.53395663902836,-4.64839358952381,0.000130826615525179,0.0481294694706857,1.15103637931579
"HMGN5",-1.4887021951035,3.27051853345617,-4.62834488281222,0.000136692552710348,0.0481294694706857,1.13790658417829
"ITGA6",-0.95499143222585,6.67427054285367,-4.67659806356237,0.00012177605852645,0.0481294694706857,1.12322611779312
"MYBPH",4.57453739357204,-2.02306329176368,5.17291001879133,3.72383302088059e-05,0.043697111703911,1.11652295490137
"PIGU",-0.610285531652279,5.06496270258427,-4.62693737275955,0.000136491719552677,0.0481294694706857,1.08202576812606
"E2F7",-1.39231287206742,5.10134878280777,-4.608296878129,0.000144101056959152,0.0494297102870543,1.04885863139184
"DPF3",1.76377389652302,3.50901973712635,4.58800926462967,0.000151325672597737,0.0494297102870543,1.04522989419248
"GPR155",1.6023129615065,3.80230048833187,4.58869586377388,0.000151075311636594,0.0494297102870543,1.0391338333798
"NINJ2-AS1",-1.88046839666067,-0.698624274549257,-4.79636470627603,9.07086461439314e-05,0.047066654059335,1.03891777867188
"ADGRA3",-0.823662629639931,6.68085591790583,-4.62641479480393,0.000136718500532201,0.0481294694706857,1.01132260119248
"SOCS2",1.47058897013049,4.38196066829001,4.55015384120176,0.000165794789361017,0.0507205468018288,0.932591166529603
"ZC3HAV1L",-1.27604881999323,4.20186962574405,-4.53699844326092,0.000170493268768575,0.0507205468018288,0.927191253903599
"NCDN",0.725573221608611,6.30014549649926,4.57863072410656,0.000153388307351823,0.0494297102870543,0.904858452858061
"LHX9",-3.80036818671097,3.3834398605276,-4.51966732401215,0.000178452564265158,0.0510403594307848,0.887710910670152
"AAK1",0.611356631569992,6.73739883533271,4.57576805509474,0.000154453218395303,0.0494297102870543,0.883632719767813
"B3GNT5",-1.10221992370647,4.81804488719975,-4.51298374266689,0.000180581638902756,0.0510403594307848,0.840911498543162
"SLC51A",1.20336662099746,1.01661550080166,4.50963516856987,0.000181234114066322,0.0510403594307848,0.824802627145772
"PRDX2",-0.852300401302956,8.01857504399443,-4.56179882792956,0.000160503510291855,0.0498552227115377,0.823985329155505
"LOC124902020",2.120903266346,-0.857287647334718,4.58768512446595,0.000150389622035464,0.0494297102870543,0.820679779816346
"IFI16",1.97791122193322,2.35215968334333,4.48278201525315,0.000195072188071432,0.0528245481595487,0.807063364706694
"NTRK3",2.27858123243684,6.88879440374227,4.54062894846557,0.000169649418600958,0.0507205468018288,0.796274627832563
"SPTAN1",1.01145877879274,9.83697984037895,4.56618395022582,0.000159505244278707,0.0498552227115377,0.794998004524682
"JADE3",-0.74406034041985,4.77243772938772,-4.49016858070158,0.00018997233490771,0.0521116319210475,0.789953023620354
"CPXM1",-1.43948982001122,6.59015152730574,-4.52257500606127,0.00017720454789426,0.0510403594307848,0.767527378258227
"NHLH2",-2.99334596767793,3.13058249019067,-4.43942330511573,0.000216606878834326,0.0547569367649624,0.718952147170627
"SMO",-1.23796377937576,6.76591499500011,-4.49674551344938,0.00018860514923762,0.0521116319210475,0.703996392484169
"VEPH1",-2.15469274442793,3.55747362821054,-4.42057591524738,0.000226696778634892,0.0547569367649624,0.679560078407541
"SIX5",-1.58129555239443,5.34635801760392,-4.44761763429919,0.000212361763313227,0.0547569367649624,0.669530390388745
"TMEM254",-0.861060025913139,4.93515954688135,-4.43575091635314,0.000216709077701216,0.0547569367649624,0.650225087163318
"NEK2",-1.19514047352414,4.80465681832439,-4.41712163017378,0.000228132299749867,0.0547569367649624,0.622723408431729
"BEND6",2.21299384115997,1.74177119991567,4.40497205987078,0.000235406027941976,0.0556546596897456,0.615576347654041
"SERINC3",0.795843224908467,6.13021085184539,4.43243505072157,0.000218524054762261,0.0547569367649624,0.566555035541875
"ODC1",-0.826664453509995,9.0130955098447,-4.45857958545271,0.000206072378979601,0.0547569367649624,0.561536494701189
"LZTFL1",-1.00843194028553,5.04247579147747,-4.39998541529402,0.000237183943723864,0.0556546596897456,0.560590590426197
"GSTCD",-0.785362153218156,4.82544253806617,-4.38498214660223,0.000245047029218177,0.0556546596897456,0.542577592678396
"ADAMTS18",-4.82954138436764,3.93826318918307,-4.35657927443205,0.000264607881660999,0.0576190482107591,0.537955755562957
"ZNF630",-1.95953255758056,0.224406618938721,-4.421387273463,0.000224799324316459,0.0547569367649624,0.525459217682696
"BTBD3",-0.727271073102158,6.44769911787729,-4.41575972721649,0.000227452919688014,0.0547569367649624,0.524022198666551
"CHST12",0.514138607591985,5.08418161444478,4.37418425606496,0.000251537657172196,0.056521046753097,0.492151178956025
"CENPBD2P",-0.686586583737313,6.13187897212809,-4.38689608528295,0.000243914191873398,0.0556546596897456,0.468032506133193
"MADD-AS1",2.51645399458295,-2.27873065045026,4.71941894458907,0.000109187863313484,0.047066654059335,0.45720798832916
"BTBD10",0.790529071000575,5.5300798001798,4.36549953857029,0.000256899290700369,0.0570602460812714,0.440947017034152
"SLC6A6",1.24843172965005,6.13319193423312,4.36489998855715,0.000259340196184171,0.0570602460812714,0.403279179071341
"TMEM108",1.66716961176372,4.58677246986162,4.31763010880372,0.000290726850503492,0.0620276013771188,0.382615818661774
"LOC124907896",2.47978943141284,-0.851554037698414,4.41719409576161,0.000227898160165425,0.0547569367649624,0.381936274194075
"ADM2",1.84346750297144,3.56709995378402,4.2869121755636,0.000313134244614603,0.0635963607187465,0.367116553702245
"LEKR1",-3.25719902437285,-1.67825480236236,-4.76348676170649,9.83185927458404e-05,0.047066654059335,0.347011878268938
"VWCE",1.55697876869757,3.18834846799912,4.26852274664194,0.000327367069566994,0.0639077953087906,0.340290771701689
"MMRN1",-5.42917408612287,3.18578946317802,-4.26176662362481,0.000332757079601435,0.0639077953087906,0.325659220767179
"DIRAS2",1.2816000894714,4.93918685744731,4.30358543824651,0.000300765481861591,0.062282044194907,0.313482918401113
"NEUROG1",-3.67955425717654,2.49451445466813,-4.25569446917865,0.000337677098046753,0.0639077953087906,0.302420867484226
"LINC03086",-3.75270048891314,-1.66471670825569,-4.77700533412962,9.55777906779066e-05,0.047066654059335,0.280729733862977
"PNRC2",-0.665654153621606,6.62785239236609,-4.30368190009128,0.000298362588952077,0.062282044194907,0.257813373190324
"SYT2",-2.23199504973825,2.28165102297607,-4.22597350730248,0.000362828172881919,0.0660660057552749,0.24731480804493
"SLC25A37",-0.614889172692538,5.80981907141583,-4.27736973107945,0.000317992799564725,0.0639077953087906,0.228202619101432
"LIX1",-3.15241873967991,5.51047892744809,-4.23165688909137,0.000357878000281433,0.0657312967125603,0.225413504926904
"UNCX",-3.99699914476983,3.46626126654235,-4.20944480264946,0.000377616735439125,0.0670253839155059,0.217016402782164
"ANKRD9",-0.8264726925132,5.55559138069485,-4.25467387447755,0.00033605501122904,0.0639077953087906,0.196914932011504
"CBX4",1.04021467088425,6.0163447345234,4.26936096698503,0.000326704457590865,0.0639077953087906,0.190737855941592
