"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1QL1",2.70988845945407,3.85248797245655,10.3775040200732,7.89832895786394e-10,1.13085398958731e-05,12.4668131075929
"GPX7",-3.01545916861223,3.09871552614147,-10.2036574406332,1.07078305992549e-09,1.13085398958731e-05,11.9014071398655
"PIK3CD",1.53435055881699,4.87087850318907,9.34467141206598,4.99691883056332e-09,3.51816398463862e-05,10.8821756348373
"SFXN3",1.15252058516654,5.8459366518164,8.58944751757062,2.09856375646046e-08,8.86517273279158e-05,9.50825776088963
"COL9A1",-2.53913502337291,3.73829074164608,-8.50322736313979,2.54917472233299e-08,8.97394474751958e-05,9.17687428423054
"TSPO",1.84087591164484,5.24388335743602,8.35331850475622,3.43109194518976e-08,0.00010353074866614,9.03183909101272
"EYS",2.66650188339822,-0.0732546616665495,8.74405175837328,1.55111578809621e-08,8.19066691904205e-05,8.86440979456565
"PLXND1",2.74783132310248,6.86949877255352,8.13079220431203,5.36227326079421e-08,0.000141577419768119,8.58290628936171
"GDPD5",1.14275237149233,4.76165938188978,7.95908807127907,7.39511878823903e-08,0.000173555221161316,8.28349312457038
"PEA15",1.06665299194201,9.07350911243031,7.75679888974342,1.14499447157663e-07,0.000219859756624014,7.80279196430517
"IDS",0.82556683578445,8.28234356741895,7.66485453640745,1.35833076336448e-07,0.000239088853198205,7.63921209177287
"DPF3",2.03228129763722,3.50901973712635,7.57669857255837,1.67753673291096e-07,0.000272561006711886,7.45805397359608
"P4HA3",2.81128267026252,-0.809921924801688,7.88102592546224,8.73238600920044e-08,0.000184445457286332,7.07272777322745
"ODF2",-0.714157546078318,6.35371080448256,-7.34613959730964,2.66214252829047e-07,0.000351436090515946,7.00501419384504
"PCDH8",2.55862696646434,4.18323516093183,7.27199883613147,3.19645855493037e-07,0.000355345250511786,6.86750108278795
"RAPH1",0.93007750071031,6.09276085701549,7.27072960546264,3.13437543853694e-07,0.000355345250511786,6.84768064371967
"POGLUT3",-1.8394532640498,4.37167852522309,-7.20557711543479,3.68486489068201e-07,0.000372392319569216,6.72733602341406
"FBXL8",2.0665034889957,0.0412686934026054,7.40400538092365,2.35576429693015e-07,0.000351436090515946,6.662621462046
"TBL1X",-0.830642420478651,5.90303178212403,-7.14835904552262,4.06948729110996e-07,0.000372392319569216,6.60062546565131
"PIK3CB",0.802867834922027,4.9231594510871,7.11509882000994,4.3727667305974e-07,0.000372392319569216,6.55202425196003
"PLIN2",-1.66225155798701,2.571999276144,-7.15662217928481,4.01985025043123e-07,0.000372392319569216,6.53465446649085
"NFIX",4.46306279125494,5.67665051982677,7.10411981550341,4.5839410608842e-07,0.000372392319569216,6.51303136784059
"GPR155",1.73046718664635,3.80230048833187,7.07644865498368,4.8663377241117e-07,0.000380691797809953,6.46013008818252
"DEPP1",2.02230758159549,1.94124192547928,7.12744629653671,4.35095913967047e-07,0.000372392319569216,6.45428293967407
"LARP6",0.818058705039738,4.66570256057791,7.04415965983259,5.09975521687042e-07,0.000384703677466918,6.41063175467548
"TAP2_2",1.79705633264854,-0.887535343581072,7.36667058387144,2.54817157278712e-07,0.000351436090515946,6.34776906982274
"NMU",-2.38041198448035,2.7186639495225,-6.95613991098483,6.31824162215049e-07,0.000460185860493319,6.13010188126305
"LMO7",3.46891638587262,4.29109195891219,6.88988634008947,7.30121546606342e-07,0.000476885991430505,6.07343679798463
"TSPYL5",-1.48549178571669,3.09317873382218,-6.87370499654455,7.45063806325474e-07,0.000476885991430505,6.01523786591518
"DIRAS2",1.48080311661567,4.93918685744731,6.83904366407844,8.16123778352186e-07,0.00049398890666523,5.94845025685281
"RNF41",0.733175695362449,6.32791513480256,6.82778955996098,8.18559404094453e-07,0.00049398890666523,5.89133917582239
"GFAP",4.53839207418537,0.933974358652497,6.91198777194644,6.95694176149781e-07,0.000474014593181796,5.88464987408034
"FBXO43",-1.84766967254844,0.953367127875393,-6.9110053146251,6.8317242416506e-07,0.000474014593181796,5.87506247108502
"NCDN",0.746900212184897,6.30014549649926,6.79234258548584,8.85053996741569e-07,0.000519280847754873,5.81601093877245
