"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C1QL1",2.81004809423145,3.85248797245655,8.29437175595978,3.85942769338777e-08,0.000815188317397364,8.70951966231862
"PIK3CD",1.61885714991194,4.87087850318907,7.13715806965539,4.22584025780929e-07,0.00446290989627239,6.57676754159869
"EYS",2.83692194750691,-0.0732546616665495,6.89625257657848,7.07932050991661e-07,0.00498431359368195,5.2351836230016
"SPOCK1",1.99955541622692,5.80120574048401,6.64855737359306,1.24233888128791e-06,0.00522917260348216,5.56269461858082
"PCDH8",3.16282737791453,4.18323516093183,6.53238784450053,1.6088745399521e-06,0.00522917260348216,5.28332350936603
"TSPO",1.9690999815816,5.24388335743602,6.50967947091485,1.6926121843778e-06,0.00522917260348216,5.26726464026094
"GPX7",-2.60138794742865,3.09871552614147,-6.49913808892949,1.73298968963049e-06,0.00522917260348216,5.06739767317118
"SFXN3",1.17202218326375,5.8459366518164,6.37251809453829,2.26952222146635e-06,0.00599210604522653,4.97873565653343
"COL9A1",-2.6426647775552,3.73829074164608,-6.27428643923777,2.87486333206377e-06,0.00674698481109455,4.65040134560783
"DPF3",2.30078869875142,3.50901973712635,6.14917584064861,3.82022001815928e-06,0.00806906872235604,4.43529032476648
"PEA15",1.13966447034489,9.07350911243031,5.97770785376638,5.63436265573552e-06,0.010819000728586,4.06030689297439
"FBXL8",2.20156611579122,0.0412686934026054,5.77443372482728,8.91586228414439e-06,0.0152336090774816,3.23305237883593
"GFAP",4.80509347194929,0.933974358652497,5.75919274475927,9.37586014616327e-06,0.0152336090774816,3.43021026115583
"NMU",-2.72427971421557,2.7186639495225,-5.67015711914202,1.15357910011122e-05,0.0174042126803924,3.32124217944523
"ODF2",-0.74408582518258,6.35371080448256,-5.52147214834116,1.61098858582236e-05,0.02268486727316,3.07764784136785
"ZHX3",1.06472742359487,5.44647180614845,5.46447225444672,1.84847801948947e-05,0.0234286063858406,2.96677961248584
"DEPP1",2.1394134897237,1.94124192547928,5.45322847144557,1.91602994569746e-05,0.0234286063858406,2.86803567776801
"GPR155",1.85862141178621,3.80230048833187,5.42757256582255,2.03757133392521e-05,0.0234286063858406,2.90536434627697
"IDS",0.807932111094421,8.28234356741895,5.39542519780158,2.16894187825706e-05,0.0234286063858406,2.75152267285271
"DIRAS2",1.68000614375994,4.93918685744731,5.34364207564911,2.48401515150954e-05,0.0234286063858406,2.71486480455368
"TANK",0.898274399436759,4.83462810317481,5.34073477296845,2.46877567297166e-05,0.0234286063858406,2.70907012220618
"TCHH",-4.01908152579167,-0.337171210348124,-5.33487484041445,2.53604896870823e-05,0.0234286063858406,1.94851884737856
"BRINP1",3.12809719933392,3.93965473076519,5.28987298812815,2.82109047325617e-05,0.0234286063858406,2.60357260108114
"NINJ2-AS1",-1.89850429184731,-0.698624274549257,-5.28923228902409,2.78958959274826e-05,0.0234286063858406,2.06223167238101
"PLIN2",-1.6526210236695,2.571999276144,-5.26422899672302,2.96905068170729e-05,0.0234286063858406,2.49911257952665
"LRFN5-DT",-2.83036039640674,0.616079718686656,-5.24812820029013,3.11454619098743e-05,0.0234286063858406,2.20791475848448
"PIK3CB",0.823607188438314,4.9231594510871,5.24271605453607,3.11562426713043e-05,0.0234286063858406,2.48466899278147
"POGLUT3",-1.78524226580322,4.37167852522309,-5.23452874074084,3.21669153105472e-05,0.0234286063858406,2.47960770639664
"PPP1R9B",0.751453871611586,7.44417347734988,5.23070075187742,3.20595451464945e-05,0.0234286063858406,2.38290807788457
"MYBPH",4.09049406562155,-2.02306329176368,5.18932977126584,3.58125167903713e-05,0.0244242432538573,1.41041523160514
"NFIX",4.2301419863228,5.67665051982677,5.16957459519345,3.75349236487524e-05,0.0244242432538573,2.29541128747387
"ARHGEF2",0.876925569894188,6.84277436894639,5.15860148516676,3.81293337637178e-05,0.0244242432538573,2.22526548104186
"MICAL1",1.00376486882497,6.54895137881127,5.15473377307715,3.86970687940377e-05,0.0244242432538573,2.219392280261
"NCS1",1.03316809106692,7.21221860929357,5.14886273796776,3.93156079268605e-05,0.0244242432538573,2.18994146337321
"ETFRF1",0.703528940900199,4.0456736636432,5.08436863485262,4.5448023329685e-05,0.0274272328219887,2.1544740709503
"PRSS44P",-3.42984849865686,-2.14893292308765,-5.05998821516977,4.82892096826265e-05,0.0283323524143454,0.814050903605055
"NCDN",0.768227202761181,6.30014549649926,5.03779125391738,5.08041135500564e-05,0.0290022834163322,1.96237963394882
"SLC16A5",-3.34225014601025,-0.0219127500547736,-5.01047179094915,5.48526508733636e-05,0.0294651279193342,1.58729836772253
"LMO7",3.41006085802626,4.29109195891219,5.00778347833001,5.52062469862146e-05,0.0294651279193342,1.96866913919135
"NEK2",-1.32329894859165,4.80465681832439,-4.98537832175817,5.80861093822335e-05,0.0294651279193342,1.91560646247874
"PPP1R14B-AS1",1.33606412211521,1.7464380281488,4.97016700996383,5.97392033194927e-05,0.0294651279193342,1.83601855488932
"GDPD5",0.9971733644934,4.76165938188978,4.9698277462668,5.98126413033918e-05,0.0294651279193342,1.86972558406546
"BLVRA",0.915642873190317,4.50912847507455,4.96845561250657,5.99848736166731e-05,0.0294651279193342,1.87575567407405
"LOC124906331",2.09288161626553,-2.06363304595723,4.95352752421529,6.21715778529534e-05,0.0298451833502291,0.940392142595073
"ARL8A",0.853456999981486,6.22638757409889,4.89182890018147,7.2164240278297e-05,0.0334560460189377,1.62302797105824
"TBL1X",-0.785455889577909,5.90303178212403,-4.88459577491321,7.33622314264565e-05,0.0334560460189377,1.6284535118916
"E2F7",-1.40664196273682,5.10134878280777,-4.8829073659795,7.44453253901179e-05,0.0334560460189377,1.66615485331633
"NYAP2",3.7808684729994,3.60828288378692,4.86335422381641,7.80200739337849e-05,0.0343320833672793,1.65661490417092
"LINC01126",-1.33679119160968,-0.101446078457827,-4.84812939356671,8.00842888921128e-05,0.0345212316322287,1.25813385874783
"TMEM108",1.82004196711203,4.58677246986162,4.833619320308,8.3791450392113e-05,0.034990904546213,1.55979434439116
"CHRDL1",1.76015036160827,5.27989367840036,4.83017581677462,8.4487081330218e-05,0.034990904546213,1.5120473673531
"SERINC3",0.834526848605779,6.13021085184539,4.80092918536849,8.97515267268161e-05,0.0350778322675617,1.4170327660244
"REEP2",0.729528153375543,6.5020996967486,4.79749662233566,9.04617595695566e-05,0.0350778322675617,1.39974263140209
"EDIL3",1.7788249035683,5.9373515205928,4.79621631931677,9.1667434514394e-05,0.0350778322675617,1.4029629201045
"SBF2",0.753564474258371,6.70565677265393,4.78734209998059,9.27010589353629e-05,0.0350778322675617,1.3661512835569
"ZNF365",1.30120536395064,1.67923692134557,4.78342325103426,9.3580130709593e-05,0.0350778322675617,1.43531141182807
"HECTD3",0.784512959244522,5.76922730789959,4.77151706177895,9.63028252340634e-05,0.0350778322675617,1.36265055474361
"TUBBP5",-2.96118149325288,0.710435671527753,-4.77091198395024,9.74154769454306e-05,0.0350778322675617,1.16024630591615
"KLF7",1.07990635300683,6.85356028834715,4.75213312274801,0.000101915057603082,0.0350778322675617,1.27526462085356
"CLCN3",0.533673964422226,7.12789565268911,4.74614366845704,0.000102374699132143,0.0350778322675617,1.2589481476772
"FUT4",-2.17504986659931,1.84757729095228,-4.74126039053455,0.000104615461849834,0.0350778322675617,1.32661262243035
"TSPYL5",-1.44058526334611,3.09317873382218,-4.7382611936168,0.000104659405750572,0.0350778322675617,1.38008986122157
"POTEC",-4.15173028570672,-4.41717960659139,-4.73564769663683,0.000350615661135625,0.0526771598144849,-0.904715451684879
"DGKG",2.27009145529225,0.404037400956028,4.73397862564419,0.000106464216016177,0.0350778322675617,1.25505138335013
"PDC",2.62684620377229,-1.30731473238792,4.73258440439323,0.000106410832527283,0.0350778322675617,0.943951214197462
"RTN4",0.743758690124084,9.49077307580844,4.7247631333519,0.000107947121361212,0.0350778322675617,1.16578826821733
"THSD1",2.81453889818068,1.47070547270985,4.71318577872101,0.000111926578969805,0.0353833028207591,1.29856581587473
"PLXND1",2.16138701174801,6.86949877255352,4.70909356726963,0.000113034439638487,0.0353833028207591,1.17089363206881
"DCLK1",1.64252766458231,7.53817509093576,4.70539603210547,0.00011404495137033,0.0353833028207591,1.15344394312983
"STX12",1.01025516068623,5.99645039488588,4.6936202427064,0.000117047881685814,0.0353833028207591,1.17226081088856
