"Database","Timepoint","Description","Description_Short","NES","p.adjust","pvalue","setSize"
"SYNGO","Early","postsynaptic ribosome","Postsynaptic Ribosome",2.45817534242279,3.40438886521169e-07,1.06387152037865e-08,65
"SYNGO","Early","presynaptic ribosome","Presynaptic Ribosome",2.33010062177469,8.15976316300135e-06,5.09985197687584e-07,51
"SYNGO","Early","postsynapse","Postsynapse",-1.42185225273521,0.0684566897011487,0.00641781465948269,245
"SYNGO","Early","synaptic vesicle","Synaptic Vesicle",-1.61643781239334,0.12641975308642,0.0158024691358025,33
"SYNGO","TrajDev","postsynaptic ribosome","Postsynaptic Ribosome",-3.01930378165091,1.88281501185656e-15,5.88379691205174e-17,65
"SYNGO","TrajDev","presynaptic ribosome","Presynaptic Ribosome",-2.90209927613196,3.15254028422659e-12,1.97033767764162e-13,51
"SYNGO","TrajDev","synapse","Synapse",-1.57185181553532,0.002862527635164,0.000268361965796625,264
"SYNGO","TrajDev","synaptic vesicle","Synaptic Vesicle",1.65177680913589,0.0816819376376163,0.010210242204702,33
"SYNGO","TrajDev","postsynapse","Postsynapse",1.33506709142299,0.124764353041988,0.0194944301628106,245
"SYNGO","TrajDev","integral component of postsynaptic density membrane","Integral Component of Postsynaptic Density Membrane",1.41075818327634,0.134840136560937,0.0252825256051756,105
"SYNGO","TrajDev","extrinsic component of synaptic vesicle membrane","Extrinsic Component of Synaptic Vesicle Membrane",1.51882241235282,0.166104805204177,0.0363354261384138,25
"SYNGO","TrajDev","postsynaptic actin cytoskeleton","Postsynaptic Actin Cytoskeleton",1.51745397511078,0.16973619620748,0.0424340490518699,19
"SYNGO","TrajDev","presynaptic cytosol","Presynaptic Cytosol",1.38953666945657,0.200439370030013,0.0563735728209412,51
"SYNGO","TrajDev","integral component of postsynaptic specialization membrane","Integral Component of Postsynaptic Specialization Membrane",1.37224509940093,0.236083658928982,0.0737761434153068,38
"SYNGO","Late","postsynaptic ribosome","Postsynaptic Ribosome",-2.48502109703243,7.15296944216768e-07,3.05150903227387e-08,65
"SYNGO","Late","presynaptic ribosome","Presynaptic Ribosome",-2.49238759914907,7.15296944216768e-07,4.4706059013548e-08,51
"SYNGO","Late","synapse","Synapse",-1.8744316624354,5.12327789888522e-06,4.8030730302049e-07,264
"SYNGO","Late","postsynaptic density","Postsynaptic Density",-1.36772736384263,0.202428944499379,0.0253036180624224,159
"SYNGO","Late","anchored component of synaptic vesicle membrane","Anchored Component of Synaptic Vesicle Membrane",-1.5915661345332,0.229345694419683,0.0358352647530754,19
"MITOCARTA","Early","Mitochondrial_central_dogma","Mitochondrial Central Dogma",-2.38426797755104,1.82931344702678e-12,2.54071312087053e-14,216
"MITOCARTA","Early","Translation","Translation",-2.1968750720465,4.99048749620899e-08,1.38624652672472e-09,145
"MITOCARTA","Early","Mitochondrial_ribosome","Mitochondrial Ribosome",-2.1835650924473,1.55483500048331e-05,8.02382802275467e-07,77
"MITOCARTA","Early","mtRNA_metabolism","Mtrna Metabolism",-2.14002275299024,1.55483500048331e-05,8.63797222490729e-07,73
"MITOCARTA","Early","OXPHOS","OXPHOS",-1.87828929572542,0.000190947744461558,1.32602600320527e-05,139
"MITOCARTA","Early","mtDNA_maintenance","Mtdna Maintenance",-2.17037042955883,0.000309478440610948,2.57898700509123e-05,29
"MITOCARTA","Early","mtRNA_granules","Mtrna Granules",-2.03290687194919,0.00273576184199873,0.000265976845749877,26
"MITOCARTA","Early","Mitochondrial_ribosome_assembly","Mitochondrial Ribosome Assembly",-1.98750770735091,0.0048346014623487,0.000537177940260967,24
"MITOCARTA","Early","OXPHOS_subunits","OXPHOS Subunits",-1.77486213069236,0.00801961877858289,0.00100245234732286,74
"MITOCARTA","Early","Protein_import_and_sorting","Protein Import and Sorting",-1.85733294984806,0.00928310893443842,0.00128932068533867,44
"MITOCARTA","Early","Complex_V","Complex V",-1.90997320179055,0.0141367910687081,0.00215978752438596,21
"MITOCARTA","Early","CV_subunits","Cv Subunits",-1.87141864061637,0.0209635895549835,0.00349393159249724,16
"MITOCARTA","Early","mtRNA_stability_and_decay","Mtrna Stability and Decay",-1.7229052015066,0.0608845167291485,0.0109930377427629,17
"MITOCARTA","Early","Protein_import_sorting_and_homeostasis","Protein Import Sorting and Homeostasis",-1.52094606453433,0.0626131706852187,0.0121747831887925,77
"MITOCARTA","Early","mt-tRNA_modifications","Mt-Trna Modifications",-1.6782244240121,0.0661109097499094,0.0137731061978978,22
"MITOCARTA","Early","Complex_III","Complex III",-1.68930218158876,0.0688199450396272,0.0154298310066128,15
"MITOCARTA","Early","OXPHOS_assembly_factors","OXPHOS Assembly Factors",-1.53544188634172,0.0688199450396272,0.016249153689912,66
"MITOCARTA","Early","Fatty_acid_oxidation","Fatty Acid Oxidation",1.5093374786524,0.101560680177032,0.0253901700442581,38
"MITOCARTA","Early","mtDNA_replication","Mtdna Replication",-1.58931234102367,0.132976203138749,0.0350909424949476,13
"MITOCARTA","Early","Autophagy","Autophagy",1.46671733010353,0.175704114986791,0.0548847420417124,18
"MITOCARTA","Early","CI_assembly_factors","Ci Assembly Factors",-1.49231610431746,0.175704114986791,0.0509242479159116,22
"MITOCARTA","Early","Complex_I","Complex I",-1.39497876016012,0.175704114986791,0.0555841482243953,53
"MITOCARTA","Early","Lipid_metabolism","Lipid Metabolism",1.3111224624998,0.175704114986791,0.0561277033985582,103
"MITOCARTA","Early","SLC25A_family","Slc25a Family",-1.36124358497199,0.219985984583041,0.0763840224246671,43
"MITOCARTA","Early","Small_molecule_transport","Small Molecule Transport",-1.31495394519609,0.219985984583041,0.0755221386800334,74
"MITOCARTA","Early","Polycistronic_mtRNA_processing","Polycistronic Mtrna Processing",-1.43233404806093,0.236068909961984,0.0852471063751608,13
"MITOCARTA","TrajDev","Mitochondrial_central_dogma","Mitochondrial Central Dogma",2.40551487842377,2.13630593821193e-13,2.9670915808499e-15,216
"MITOCARTA","TrajDev","Translation","Translation",2.1845953001715,7.36415058509481e-08,2.04559738474856e-09,145
"MITOCARTA","TrajDev","mtRNA_metabolism","Mtrna Metabolism",2.08338923280828,0.000117557600668131,4.89823336117212e-06,73
"MITOCARTA","TrajDev","mtDNA_maintenance","Mtdna Maintenance",2.21771384732199,0.000186246435889598,1.03470242160888e-05,29
"MITOCARTA","TrajDev","Mitochondrial_ribosome","Mitochondrial Ribosome",1.89322200796298,0.00079793418384556,5.54120961003861e-05,77
"MITOCARTA","TrajDev","Mitochondrial_ribosome_assembly","Mitochondrial Ribosome Assembly",2.11219120748669,0.00114501173916986,9.54176449308215e-05,24
"MITOCARTA","TrajDev","mtRNA_granules","Mtrna Granules",1.97130040352653,0.00364161407710957,0.000354045813052319,26
"MITOCARTA","TrajDev","mtRNA_stability_and_decay","Mtrna Stability and Decay",1.92231962904778,0.0171206330596425,0.0019022925621825,17
"MITOCARTA","TrajDev","CI_assembly_factors","Ci Assembly Factors",1.73474336765383,0.0473304473304473,0.00610303356668462,22
"MITOCARTA","TrajDev","OXPHOS","OXPHOS",1.49211791073418,0.0473304473304473,0.00657367324033991,139
"MITOCARTA","TrajDev","Fatty_acid_oxidation","Fatty Acid Oxidation",-1.62973856876385,0.0643806857942617,0.0107301142990436,38
"MITOCARTA","TrajDev","TCA-associated","Tca-Associated",1.71654108255025,0.0643806857942617,0.0105575106501204,13
"MITOCARTA","TrajDev","Protein_import_and_sorting","Protein Import and Sorting",1.56412977185451,0.0868399892790137,0.0156794425087108,44
"MITOCARTA","TrajDev","Complex_I","Complex I",1.47267307924095,0.150712931268008,0.0293052921910016,53
"MITOCARTA","TrajDev","Autophagy","Autophagy",-1.56377803982423,0.154281098546042,0.0337927967985771,18
"MITOCARTA","TrajDev","mt-tRNA_modifications","Mt-Trna Modifications",1.53696205228668,0.154281098546042,0.0342846885657871,22
"MITOCARTA","TrajDev","mtDNA_replication","Mtdna Replication",1.56768507716506,0.155322881143567,0.0366734580477866,13
"MITOCARTA","TrajDev","Polycistronic_mtRNA_processing","Polycistronic Mtrna Processing",1.52846479303049,0.191146508612706,0.0477866271531765,13
"MITOCARTA","TrajDev","Complex_III","Complex III",1.49231076478926,0.192567273991252,0.0508163639699138,15
"MITOCARTA","TrajDev","SLC25A_family","Slc25a Family",1.38839912177786,0.23732124171608,0.0659225671433554,43
"MITOCARTA","TrajDev","Lipid_metabolism","Lipid Metabolism",-1.26620564946345,0.237836349872686,0.072672218016654,103
"MITOCARTA","TrajDev","OXPHOS_subunits","OXPHOS Subunits",1.32785221452996,0.237836349872686,0.0719690600302674,74
"GOBP","Early","GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS","Ribonucleoprotein Complex Biogenesis",-2.63042773754012,4.15472943700385e-26,5.20969208401736e-29,425
"GOBP","Early","GOBP_RIBOSOME_BIOGENESIS","Ribosome Biogenesis",-2.60073815874921,3.9471150440839e-19,1.4848081670535e-21,287
"GOBP","Early","GOBP_MITOCHONDRIAL_GENE_EXPRESSION","Mitochondrial Gene Expression",-2.30006740317502,2.72643840226104e-08,4.33039328258806e-10,160
"GOBP","Early","GOBP_MITOCHONDRIAL_TRANSLATION","Mitochondrial Translation",-2.23243974718084,3.95766370556595e-07,8.27097953096333e-09,124
"GOBP","Early","GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS","Mitochondrial RNA Metabolic Process",-2.08420570714913,0.000412242978306005,1.92121596995275e-05,51
"GOBP","Early","GOBP_RIBOSOME_ASSEMBLY","Ribosome Assembly",-1.77976586526358,0.0131160467476738,0.00122526079335636,60
"GOBP","Early","GOBP_MITOCHONDRIAL_RIBOSOME_ASSEMBLY","Mitochondrial Ribosome Assembly",-1.90330994746607,0.0159067019572723,0.00155908949173683,16
"GOBP","Early","GOBP_MITOCHONDRIAL_RNA_PROCESSING","Mitochondrial RNA Processing",-1.8910846510639,0.0165221571623039,0.00164153257810809,24
"GOBP","Early","GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION","Positive Regulation of Cytoplasmic Translation",-1.88166744224242,0.0190571012598481,0.00199930299528605,16
"GOBP","Early","GOBP_CALCIUM_INDEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES","Calcium Independent Cell Cell Adhesion via Plasma Membran...",1.91306011396993,0.0190880168567716,0.00200661521499449,17
"GOBP","Early","GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION","Regulation of Mitochondrial Gene Expression",-1.82125527703566,0.0237308751133395,0.00265825476713688,32
