"Description","Description_Short","Database","Timepoint","NES","p.adjust","pvalue","setSize","Pathway","HighlySig"
"postsynaptic ribosome","Postsynaptic Ribosome","SYNGO","Time_Ctrl",2.40587740556391,7.638669299982e-07,2.38708415624438e-08,65,"Postsynaptic Ribosome",TRUE
"presynaptic ribosome","Presynaptic Ribosome","SYNGO","Time_Ctrl",2.4157189274074,1.93156600297021e-06,1.20722875185638e-07,51,"Presynaptic Ribosome",TRUE
"synapse","Synapse","SYNGO","Time_Ctrl",1.58710568715335,0.000854909566704145,8.01477718785136e-05,264,"Synapse",TRUE
"postsynaptic ribosome","Postsynaptic Ribosome","SYNGO","Early",2.45817534242279,3.40438886521169e-07,1.06387152037865e-08,65,"Postsynaptic Ribosome",TRUE
"presynaptic ribosome","Presynaptic Ribosome","SYNGO","Early",2.33010062177469,8.15976316300135e-06,5.09985197687584e-07,51,"Presynaptic Ribosome",TRUE
"postsynapse","Postsynapse","SYNGO","Early",-1.42185225273521,0.0684566897011487,0.00641781465948269,245,"Postsynapse",FALSE
"synaptic vesicle","Synaptic Vesicle","SYNGO","Early",-1.61643781239334,0.12641975308642,0.0158024691358025,33,"Synaptic Vesicle",FALSE
"postsynaptic ribosome","Postsynaptic Ribosome","SYNGO","TrajDev",-3.01930378165091,1.88281501185656e-15,5.88379691205174e-17,65,"Postsynaptic Ribosome",TRUE
"presynaptic ribosome","Presynaptic Ribosome","SYNGO","TrajDev",-2.90209927613196,3.15254028422659e-12,1.97033767764162e-13,51,"Presynaptic Ribosome",TRUE
"synapse","Synapse","SYNGO","TrajDev",-1.57185181553532,0.002862527635164,0.000268361965796625,264,"Synapse",TRUE
"synaptic vesicle","Synaptic Vesicle","SYNGO","TrajDev",1.65177680913589,0.0816819376376163,0.010210242204702,33,"Synaptic Vesicle",FALSE
"postsynapse","Postsynapse","SYNGO","TrajDev",1.33506709142299,0.124764353041988,0.0194944301628106,245,"Postsynapse",FALSE
"integral component of postsynaptic density membrane","Integral Component of Postsynaptic Density Membrane","SYNGO","TrajDev",1.41075818327634,0.134840136560937,0.0252825256051756,105,"Integral Component of Postsynaptic Density Membrane",FALSE
"extrinsic component of synaptic vesicle membrane","Extrinsic Component of Synaptic Vesicle Membrane","SYNGO","TrajDev",1.51882241235282,0.166104805204177,0.0363354261384138,25,"Extrinsic Component of Synaptic Vesicle Membrane",FALSE
"postsynaptic actin cytoskeleton","Postsynaptic Actin Cytoskeleton","SYNGO","TrajDev",1.51745397511078,0.16973619620748,0.0424340490518699,19,"Postsynaptic Actin Cytoskeleton",FALSE
"presynaptic cytosol","Presynaptic Cytosol","SYNGO","TrajDev",1.38953666945657,0.200439370030013,0.0563735728209412,51,"Presynaptic Cytosol",FALSE
"integral component of postsynaptic specialization membrane","Integral Component of Postsynaptic Specialization Membrane","SYNGO","TrajDev",1.37224509940093,0.236083658928982,0.0737761434153068,38,"Integral Component of Postsynaptic Specialization Membrane",FALSE
"postsynaptic ribosome","Postsynaptic Ribosome","SYNGO","Late",-2.48502109703243,7.15296944216768e-07,3.05150903227387e-08,65,"Postsynaptic Ribosome",TRUE
"presynaptic ribosome","Presynaptic Ribosome","SYNGO","Late",-2.49238759914907,7.15296944216768e-07,4.4706059013548e-08,51,"Presynaptic Ribosome",TRUE
"synapse","Synapse","SYNGO","Late",-1.8744316624354,5.12327789888522e-06,4.8030730302049e-07,264,"Synapse",TRUE
"postsynaptic density","Postsynaptic Density","SYNGO","Late",-1.36772736384263,0.202428944499379,0.0253036180624224,159,"Postsynaptic Density",FALSE
"anchored component of synaptic vesicle membrane","Anchored Component of Synaptic Vesicle Membrane","SYNGO","Late",-1.5915661345332,0.229345694419683,0.0358352647530754,19,"Anchored Component of Synaptic Vesicle Membrane",FALSE
"Mitochondrial_central_dogma","Mitochondrial Central Dogma","MITOCARTA","Time_Ctrl",-2.36567447059021,4.36209548513611e-13,6.05846595157794e-15,216,"Mitochondrial Central Dogma",TRUE
"Translation","Translation","MITOCARTA","Time_Ctrl",-2.27879362870911,4.01733804919178e-09,1.11592723588661e-10,145,"Translation",TRUE
"Mitochondrial_ribosome","Mitochondrial Ribosome","MITOCARTA","Time_Ctrl",-2.25330313376794,1.04393434824964e-06,4.34972645104015e-08,77,"Mitochondrial Ribosome",TRUE
"mtRNA_metabolism","Mtrna Metabolism","MITOCARTA","Time_Ctrl",-1.97261033647485,0.000212363981059042,1.17979989477246e-05,73,"Mtrna Metabolism",TRUE
"Complex_V","Complex V","MITOCARTA","Time_Ctrl",-2.10149551759554,0.000787174625182086,5.46649045265337e-05,21,"Complex V",TRUE
"mtDNA_maintenance","Mtdna Maintenance","MITOCARTA","Time_Ctrl",-2.03552894551021,0.00104189762725239,8.68248022710326e-05,29,"Mtdna Maintenance",TRUE
"OXPHOS","OXPHOS","MITOCARTA","Time_Ctrl",-1.76701881425959,0.0013906884230749,0.000135205818910059,139,"OXPHOS",TRUE
"CV_subunits","Cv Subunits","MITOCARTA","Time_Ctrl",-1.98179777557197,0.00316327322199501,0.00035147480244389,16,"Cv Subunits",TRUE
"mtRNA_granules","Mtrna Granules","MITOCARTA","Time_Ctrl",-1.85653488975748,0.0109253356668373,0.00151740773150518,26,"Mtrna Granules",TRUE
"Mitochondrial_ribosome_assembly","Mitochondrial Ribosome Assembly","MITOCARTA","Time_Ctrl",-1.84082993388946,0.0109253356668373,0.00151382343494764,24,"Mitochondrial Ribosome Assembly",TRUE
"Complex_I","Complex I","MITOCARTA","Time_Ctrl",-1.68354569330865,0.0299636803874092,0.00499394673123487,53,"Complex I",TRUE
"Protein_import_and_sorting","Protein Import and Sorting","MITOCARTA","Time_Ctrl",-1.67221370770206,0.030294306530549,0.0058905596031623,44,"Protein Import and Sorting",TRUE
"OXPHOS_subunits","OXPHOS Subunits","MITOCARTA","Time_Ctrl",-1.611801355572,0.030294306530549,0.00552646887725422,74,"OXPHOS Subunits",TRUE
"Protein_import_sorting_and_homeostasis","Protein Import Sorting and Homeostasis","MITOCARTA","Time_Ctrl",-1.55591548725986,0.0391417802261525,0.00869817338358945,77,"Protein Import Sorting and Homeostasis",TRUE
"OXPHOS_assembly_factors","OXPHOS Assembly Factors","MITOCARTA","Time_Ctrl",-1.52547651101239,0.0715947116756448,0.0169043069234161,66,"OXPHOS Assembly Factors",FALSE
"CI_assembly_factors","Ci Assembly Factors","MITOCARTA","Time_Ctrl",-1.53287134791799,0.126586148906895,0.0370739817123857,22,"Ci Assembly Factors",FALSE
"Autophagy","Autophagy","MITOCARTA","Time_Ctrl",1.51861567834594,0.127662025924148,0.0426621160409556,18,"Autophagy",FALSE
"mt-tRNA_modifications","Mt-Trna Modifications","MITOCARTA","Time_Ctrl",-1.4846627393708,0.141338960291579,0.0510390689941812,22,"Mt-Trna Modifications",FALSE
"TCA-associated","Tca-Associated","MITOCARTA","Time_Ctrl",-1.43764788282109,0.186092748148516,0.0801232665639445,13,"Tca-Associated",FALSE
"mtRNA_stability_and_decay","Mtrna Stability and Decay","MITOCARTA","Time_Ctrl",-1.41614081012572,0.19571813890762,0.0869858395144976,17,"Mtrna Stability and Decay",FALSE
"Mitochondrial_central_dogma","Mitochondrial Central Dogma","MITOCARTA","Early",-2.38426797755104,1.82931344702678e-12,2.54071312087053e-14,216,"Mitochondrial Central Dogma",TRUE
"Translation","Translation","MITOCARTA","Early",-2.1968750720465,4.99048749620899e-08,1.38624652672472e-09,145,"Translation",TRUE
"Mitochondrial_ribosome","Mitochondrial Ribosome","MITOCARTA","Early",-2.1835650924473,1.55483500048331e-05,8.02382802275467e-07,77,"Mitochondrial Ribosome",TRUE
"mtRNA_metabolism","Mtrna Metabolism","MITOCARTA","Early",-2.14002275299024,1.55483500048331e-05,8.63797222490729e-07,73,"Mtrna Metabolism",TRUE
"OXPHOS","OXPHOS","MITOCARTA","Early",-1.87828929572542,0.000190947744461558,1.32602600320527e-05,139,"OXPHOS",TRUE
"mtDNA_maintenance","Mtdna Maintenance","MITOCARTA","Early",-2.17037042955883,0.000309478440610948,2.57898700509123e-05,29,"Mtdna Maintenance",TRUE
"mtRNA_granules","Mtrna Granules","MITOCARTA","Early",-2.03290687194919,0.00273576184199873,0.000265976845749877,26,"Mtrna Granules",TRUE
"Mitochondrial_ribosome_assembly","Mitochondrial Ribosome Assembly","MITOCARTA","Early",-1.98750770735091,0.0048346014623487,0.000537177940260967,24,"Mitochondrial Ribosome Assembly",TRUE
"OXPHOS_subunits","OXPHOS Subunits","MITOCARTA","Early",-1.77486213069236,0.00801961877858289,0.00100245234732286,74,"OXPHOS Subunits",TRUE
"Protein_import_and_sorting","Protein Import and Sorting","MITOCARTA","Early",-1.85733294984806,0.00928310893443842,0.00128932068533867,44,"Protein Import and Sorting",TRUE
"Complex_V","Complex V","MITOCARTA","Early",-1.90997320179055,0.0141367910687081,0.00215978752438596,21,"Complex V",TRUE
"CV_subunits","Cv Subunits","MITOCARTA","Early",-1.87141864061637,0.0209635895549835,0.00349393159249724,16,"Cv Subunits",TRUE
