gene,pathway,mutation
RPL22,SYNGO:presyn_ribosome,G32A
RPL22,SYNGO:postsyn_ribosome,G32A
RPL12,SYNGO:presyn_ribosome,G32A
RPL12,SYNGO:postsyn_ribosome,G32A
RPL13A,SYNGO:presyn_ribosome,G32A
RPL13A,SYNGO:postsyn_ribosome,G32A
RPL6,SYNGO:presyn_ribosome,G32A
RPL6,SYNGO:postsyn_ribosome,G32A
RPS16,SYNGO:presyn_ribosome,G32A
RPS16,SYNGO:postsyn_ribosome,G32A
RPL37A,SYNGO:presyn_ribosome,G32A
RPL37A,SYNGO:postsyn_ribosome,G32A
RPL28,SYNGO:presyn_ribosome,G32A
RPL28,SYNGO:postsyn_ribosome,G32A
RPS19,SYNGO:postsyn_ribosome,G32A
RPS7,SYNGO:postsyn_ribosome,G32A
ANKS1B,GO:0099523,G32A
ANKS1B,GO:0014069,G32A
FBXO45,GO:0099523,G32A
FBXO45,GO:0099524,G32A
RPL5,SYNGO:presyn_ribosome,G32A
RPL5,SYNGO:postsyn_ribosome,G32A
RPL7,SYNGO:presyn_ribosome,G32A
RPL7,SYNGO:postsyn_ribosome,G32A
RPL35A,SYNGO:presyn_ribosome,G32A
RPL35A,SYNGO:postsyn_ribosome,G32A
RPS28,SYNGO:presyn_ribosome,G32A
RPS28,SYNGO:postsyn_ribosome,G32A
RPL30,SYNGO:postsyn_ribosome,G32A
RPL23,SYNGO:presyn_ribosome,G32A
RPL23,SYNGO:postsyn_ribosome,G32A
RPS6,SYNGO:presyn_ribosome,G32A
RPS6,SYNGO:postsyn_ribosome,G32A
RPL29,SYNGO:presyn_ribosome,G32A
RPL29,SYNGO:postsyn_ribosome,G32A
RPL36,SYNGO:presyn_ribosome,G32A
RPL36,SYNGO:postsyn_ribosome,G32A
RPS12,SYNGO:presyn_ribosome,G32A
RPS12,SYNGO:postsyn_ribosome,G32A
RPL10A,SYNGO:presyn_ribosome,G32A
RPL10A,SYNGO:postsyn_ribosome,G32A
RPS23,SYNGO:postsyn_ribosome,G32A
SENP1,GO:0099523,G32A
SENP1,GO:0099524,G32A
DBN1,GO:0099524,G32A
DBN1,GO:0014069,G32A
DBN1,GO:0045211,G32A
RPL31,SYNGO:postsyn_ribosome,G32A
RPL10,SYNGO:presyn_ribosome,G32A
RPL10,SYNGO:postsyn_ribosome,G32A
CALM1,GO:0099523,G32A
CALM1,GO:0099524,G32A
RPS27A,SYNGO:presyn_ribosome,G32A
RPS27A,SYNGO:postsyn_ribosome,G32A
RPS11,SYNGO:presyn_ribosome,G32A
RPS11,SYNGO:postsyn_ribosome,G32A
RPL18,SYNGO:presyn_ribosome,G32A
RPL18,SYNGO:postsyn_ribosome,G32A
RPL37,SYNGO:presyn_ribosome,G32A
RPL37,SYNGO:postsyn_ribosome,G32A
RPLP1,SYNGO:postsyn_ribosome,G32A
RPS20,SYNGO:postsyn_ribosome,G32A
RPL27,SYNGO:presyn_ribosome,G32A
RPL27,SYNGO:postsyn_ribosome,G32A
RPL13,SYNGO:presyn_ribosome,G32A
RPL13,SYNGO:postsyn_ribosome,G32A
RPS27,SYNGO:presyn_ribosome,G32A
RPS27,SYNGO:postsyn_ribosome,G32A
RPS15A,SYNGO:presyn_ribosome,G32A
RPS15A,SYNGO:postsyn_ribosome,G32A
RPS14,SYNGO:presyn_ribosome,G32A
RPS14,SYNGO:postsyn_ribosome,G32A
RPL21,SYNGO:postsyn_ribosome,G32A
RPS5,SYNGO:postsyn_ribosome,G32A
RPL26,SYNGO:presyn_ribosome,G32A
RPL26,SYNGO:postsyn_ribosome,G32A
RPL15,SYNGO:presyn_ribosome,G32A
RPL15,SYNGO:postsyn_ribosome,G32A
FUS,GO:0099523,G32A
FUS,GO:0099524,G32A
HNRNPA2B1,GO:0099524,G32A
HNRNPA2B1,GO:0014069,G32A
RPL27A,SYNGO:presyn_ribosome,G32A
RPL27A,SYNGO:postsyn_ribosome,G32A
RPS8,SYNGO:postsyn_ribosome,G32A
RPL4,SYNGO:presyn_ribosome,G32A
RPL4,SYNGO:postsyn_ribosome,G32A
RPS6KC1,GO:0014069,G32A
RPL38,SYNGO:presyn_ribosome,G32A
RPL38,SYNGO:postsyn_ribosome,G32A
RPL24,SYNGO:presyn_ribosome,G32A
RPL24,SYNGO:postsyn_ribosome,G32A
RPL9,SYNGO:presyn_ribosome,G32A
RPL9,SYNGO:postsyn_ribosome,G32A
RPL8,SYNGO:presyn_ribosome,G32A
RPL8,SYNGO:postsyn_ribosome,G32A
RPS3,SYNGO:postsyn_ribosome,G32A
NCS1,GO:0099523,G32A
NCS1,GO:0099524,G32A
RPLP2,SYNGO:presyn_ribosome,G32A
RPLP2,SYNGO:postsyn_ribosome,G32A
RPL32,SYNGO:presyn_ribosome,G32A
RPL32,SYNGO:postsyn_ribosome,G32A
RPL34,SYNGO:presyn_ribosome,G32A
RPL34,SYNGO:postsyn_ribosome,G32A
RPL11,SYNGO:presyn_ribosome,G32A
RPL11,SYNGO:postsyn_ribosome,G32A
CALM3,GO:0099523,G32A
CALM3,GO:0099524,G32A
