gene,pathway,mutation
RPL22,SYNGO:presyn_ribosome,R403C
RPL22,SYNGO:postsyn_ribosome,R403C
RPL12,SYNGO:presyn_ribosome,R403C
RPL12,SYNGO:postsyn_ribosome,R403C
RPL13A,SYNGO:presyn_ribosome,R403C
RPL13A,SYNGO:postsyn_ribosome,R403C
RPL14,SYNGO:presyn_ribosome,R403C
RPL14,SYNGO:postsyn_ribosome,R403C
RPL6,SYNGO:presyn_ribosome,R403C
RPL6,SYNGO:postsyn_ribosome,R403C
RPL37A,SYNGO:presyn_ribosome,R403C
RPL37A,SYNGO:postsyn_ribosome,R403C
RPL28,SYNGO:presyn_ribosome,R403C
RPL28,SYNGO:postsyn_ribosome,R403C
RPS16,SYNGO:presyn_ribosome,R403C
RPS16,SYNGO:postsyn_ribosome,R403C
RPS19,SYNGO:postsyn_ribosome,R403C
RPS7,SYNGO:postsyn_ribosome,R403C
ANKS1B,GO:0099523,R403C
ANKS1B,GO:0014069,R403C
FBXO45,GO:0099523,R403C
FBXO45,GO:0099524,R403C
RPL5,SYNGO:presyn_ribosome,R403C
RPL5,SYNGO:postsyn_ribosome,R403C
RPL7,SYNGO:presyn_ribosome,R403C
RPL7,SYNGO:postsyn_ribosome,R403C
RPL35A,SYNGO:presyn_ribosome,R403C
RPL35A,SYNGO:postsyn_ribosome,R403C
RPS28,SYNGO:presyn_ribosome,R403C
RPS28,SYNGO:postsyn_ribosome,R403C
RPL30,SYNGO:postsyn_ribosome,R403C
RPL23,SYNGO:presyn_ribosome,R403C
RPL23,SYNGO:postsyn_ribosome,R403C
RPS6,SYNGO:presyn_ribosome,R403C
RPS6,SYNGO:postsyn_ribosome,R403C
RPL29,SYNGO:presyn_ribosome,R403C
RPL29,SYNGO:postsyn_ribosome,R403C
RPL17,SYNGO:presyn_ribosome,R403C
RPL17,SYNGO:postsyn_ribosome,R403C
RPL36,SYNGO:presyn_ribosome,R403C
RPL36,SYNGO:postsyn_ribosome,R403C
RPS12,SYNGO:presyn_ribosome,R403C
RPS12,SYNGO:postsyn_ribosome,R403C
RPL10A,SYNGO:presyn_ribosome,R403C
RPL10A,SYNGO:postsyn_ribosome,R403C
TNK2,GO:0099523,R403C
TNK2,GO:0099524,R403C
DBN1,GO:0099524,R403C
DBN1,GO:0014069,R403C
DBN1,GO:0045211,R403C
RPL31,SYNGO:postsyn_ribosome,R403C
CALM1,GO:0099523,R403C
CALM1,GO:0099524,R403C
RPS27A,SYNGO:presyn_ribosome,R403C
RPS27A,SYNGO:postsyn_ribosome,R403C
HTT,GO:0099523,R403C
HTT,GO:0099524,R403C
RPL18,SYNGO:presyn_ribosome,R403C
RPL18,SYNGO:postsyn_ribosome,R403C
RPLP1,SYNGO:postsyn_ribosome,R403C
RPS20,SYNGO:postsyn_ribosome,R403C
RPL27,SYNGO:presyn_ribosome,R403C
RPL27,SYNGO:postsyn_ribosome,R403C
RPL13,SYNGO:presyn_ribosome,R403C
RPL13,SYNGO:postsyn_ribosome,R403C
RPS27,SYNGO:presyn_ribosome,R403C
RPS27,SYNGO:postsyn_ribosome,R403C
RPS15A,SYNGO:presyn_ribosome,R403C
RPS15A,SYNGO:postsyn_ribosome,R403C
SYT1,GO:0099523,R403C
SYT1,GO:0099524,R403C
SYT1,GO:0014069,R403C
SYT1,GO:0045211,R403C
RPS14,SYNGO:presyn_ribosome,R403C
RPS14,SYNGO:postsyn_ribosome,R403C
RPL21,SYNGO:postsyn_ribosome,R403C
FUS,GO:0099523,R403C
FUS,GO:0099524,R403C
RPL26,SYNGO:presyn_ribosome,R403C
RPL26,SYNGO:postsyn_ribosome,R403C
RPL15,SYNGO:presyn_ribosome,R403C
RPL15,SYNGO:postsyn_ribosome,R403C
HNRNPA2B1,GO:0099524,R403C
HNRNPA2B1,GO:0014069,R403C
SUMO2,GO:0099523,R403C
SUMO2,GO:0099524,R403C
RPL27A,SYNGO:presyn_ribosome,R403C
RPL27A,SYNGO:postsyn_ribosome,R403C
RPS8,SYNGO:postsyn_ribosome,R403C
RPL4,SYNGO:presyn_ribosome,R403C
RPL4,SYNGO:postsyn_ribosome,R403C
RPL38,SYNGO:presyn_ribosome,R403C
RPL38,SYNGO:postsyn_ribosome,R403C
RPL24,SYNGO:presyn_ribosome,R403C
RPL24,SYNGO:postsyn_ribosome,R403C
RPL9,SYNGO:presyn_ribosome,R403C
RPL9,SYNGO:postsyn_ribosome,R403C
RPL8,SYNGO:presyn_ribosome,R403C
RPL8,SYNGO:postsyn_ribosome,R403C
RPS3,SYNGO:postsyn_ribosome,R403C
NCS1,GO:0099523,R403C
NCS1,GO:0099524,R403C
RPLP2,SYNGO:presyn_ribosome,R403C
RPLP2,SYNGO:postsyn_ribosome,R403C
SUMO1,GO:0099523,R403C
SUMO1,GO:0099524,R403C
RPL32,SYNGO:presyn_ribosome,R403C
RPL32,SYNGO:postsyn_ribosome,R403C
RPL34,SYNGO:presyn_ribosome,R403C
RPL34,SYNGO:postsyn_ribosome,R403C
RPL11,SYNGO:presyn_ribosome,R403C
RPL11,SYNGO:postsyn_ribosome,R403C
CALM3,GO:0099523,R403C
CALM3,GO:0099524,R403C
