"ID","Description","NES","pvalue","p.adjust","core_enrichment","database","contrast"
"SYNGO:postsyn_ribosome","postsynaptic ribosome",2.45817534242279,1.06387152037865e-08,3.40438886521169e-07,"RPL23/RPL6/RPL31/RPS14/RPL5/RPL24/RPS19/RPL13A/RPL35A/RPL9/RPL4/RPL27/RPS7/RPS27/RPS8/RPS28/RPL12/RPL37A/RPL29/RPS3/RPL34/RPL11/RPL30/RPL27A/RPL26/RPS16/RPS15A/RPL21/RPL36/RPL15/RPL13/RPS6/RPS12/RPL22/RPS20/RPL18/RPS27A/RPL7/RPL8/RPL32/RPS11/RPL38/RPL28/RPLP2/RPL10A/RPL37/RPS23/RPL10/RPS5/RPLP1","syngo","G32A_vs_Ctrl_D35"
"SYNGO:presyn_ribosome","presynaptic ribosome",2.33010062177469,5.09985197687584e-07,8.15976316300135e-06,"RPL23/RPL6/RPS14/RPL5/RPL24/RPL13A/RPL35A/RPL9/RPL4/RPL27/RPS27/RPS28/RPL12/RPL37A/RPL29/RPL34/RPL11/RPL27A/RPL26/RPS16/RPS15A/RPL36/RPL15/RPL13/RPS6/RPS12/RPL22/RPL18/RPS27A/RPL7/RPL8/RPL32/RPS11/RPL38/RPL28/RPLP2/RPL10A/RPL37/RPL10","syngo","G32A_vs_Ctrl_D35"
"GO:0099524","postsynaptic cytosol",-1.41219347003015,0.0499026751416809,0.289941949597781,"SENP1/MTOR/PIN1/EIF4E/PLCB3/FBXO45/SUMO1/CALM3/HNRNPA2B1/CALM1/FUS/DBN1/UBE2I/NCS1/FABP5","syngo","G32A_vs_Ctrl_D35"
"GO:0099523","presynaptic cytosol",-1.3761223366945,0.0634248014745147,0.289941949597781,"SH3GL2/MARCKS/PRKCE/SENP6/HTT/ANKS1B/SYT1/PPT1/SUMO2/SNCB/SUMO3/PRKCB/STXBP5/SENP1/CTBP2/TRIM9/FBXO45/SUMO1/CALM3/RAPH1/CALM1/RABEP1/ERC1/HNRNPAB/FUS/UBE2I/NCS1/MARCKSL1","syngo","G32A_vs_Ctrl_D35"
"GO:0014069","postsynaptic density",-1.16500612752097,0.16168835230827,0.470366115805876,"EIF4G2/GPSM2/ANKS1B/CAMK2B/SYT1/MAP1A/ARRB2/TSC1/SHANK3/HSPA8/RAPGEF4/EIF3A/PPP1R9B/NEGR1/ALS2/ANK3/ARRB1/AURKA/SRGAP2/DPYSL2/PCBP1/DROSHA/HOMER3/SHANK1/PRICKLE1/RPS6KC1/RBMX/FRMPD4/DTNBP1/KPNA2/PAK2/HNRNPA2B1/TANC2/HNRNPA3/ROCK2/TACC3/DBN1/HNRNPM/HNRNPH1/DGKZ/KALRN/DGCR8/HNRNPD/SYNCRIP/DLG5/PIP5K1C/VHL/SPOCK1/DYNLL2/CAMK1","syngo","G32A_vs_Ctrl_D35"
"GO:0045211","postsynaptic membrane",-1.19373981895481,0.242567517845316,0.485135035690632,"HIP1/DBN1/NRGN","syngo","G32A_vs_Ctrl_D35"
"SYNGO:presyn_ribosome","presynaptic ribosome",-2.49238759914907,4.4706059013548e-08,7.15296944216768e-07,"RPL13/RPL23/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPL29/RPL13A/RPL6/RPL26/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS16/RPS10/RPL10/RPL36/UBA52/RPL27/RPL27A/RPL23A/RPL14/RPL35A/RPL36A","syngo","G32A_vs_Ctrl_D65"
"SYNGO:postsyn_ribosome","postsynaptic ribosome",-2.48502109703243,3.05150903227387e-08,7.15296944216768e-07,"RPL13/RPL23/RPL21/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPS7/RPL29/RPL13A/RPSA/RPS15/RPL6/RPL26/RPS20/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/UBA52/RPL27/RPS23/RPL27A/RPS3/RPL23A/RPL14/RPL35A/RPL36A","syngo","G32A_vs_Ctrl_D65"
"GO:0014069","postsynaptic density",-1.36772736384263,0.0253036180624224,0.202428944499379,"LZTS3/ARRB2/SYNCRIP/EIF3A/CAPN1/TACC3/RPL23/ARPC5/TAMALIN/PAK3/DTNBP1/SH3KBP1/AURKA/RPS13/HOMER3/RPL7/MAGI2/RPS14/PHB2/PCDH7/RPS27/RPLP0/CHMP4B/DBN1/PPP1R9B/DLG5/ZDHHC2/EGLN1/VHL/SAMD4A/STRN/RPL6/EIF4G2/BAIAP2/CASP3/CRTAC1/RPL38/ADGRA1/KPNA2/EPS8/ABL1/RPL8/FRMPD4/DYNLL2/RPL10A/SHANK3/ARF1/PCBP1/RAPGEF4/DNAJB1/AGAP3/RPS3/SHARPIN/PCBP2/RPL14/PAK2/SPOCK1","syngo","G32A_vs_Ctrl_D65"
"GO:0045211","postsynaptic membrane",-1.22159667486951,0.220256387742559,0.704820440776188,"HIP1/GNB5/CTNNB1/DBN1/KCTD16/KCTD12","syngo","G32A_vs_Ctrl_D65"
