"Module","Genotype","Timepoint","Expression","N_genes","Day","Ctrl_Expression","Divergence"
"Ribosome Biogenesis","Ctrl","D35",0,158,35,0,0
"Ribosome Biogenesis","Ctrl","D65",-0.463725962031916,158,65,-0.463725962031916,0
"Ribosome Biogenesis","G32A","D35",-0.486439907922751,158,35,0,-0.486439907922751
"Ribosome Biogenesis","G32A","D65",-0.447178852948619,158,65,-0.463725962031916,0.0165471090832967
"Ribosome Biogenesis","R403C","D35",-0.281497190248352,158,35,0,-0.281497190248352
"Ribosome Biogenesis","R403C","D65",-0.377802157668676,158,65,-0.463725962031916,0.0859238043632399
"Cytoplasmic Translation","Ctrl","D35",0,76,35,0,0
"Cytoplasmic Translation","Ctrl","D65",0.258511155807043,76,65,0.258511155807043,0
"Cytoplasmic Translation","G32A","D35",0.220689534322385,76,35,0,0.220689534322385
"Cytoplasmic Translation","G32A","D65",0.150073875113244,76,65,0.258511155807043,-0.108437280693799
"Cytoplasmic Translation","R403C","D35",0.170038438518945,76,35,0,0.170038438518945
"Cytoplasmic Translation","R403C","D65",0.134616167406694,76,65,0.258511155807043,-0.123894988400349
"Synaptic Ribosomes","Ctrl","D35",0,65,35,0,0
"Synaptic Ribosomes","Ctrl","D65",0.178238630916627,65,65,0.178238630916627,0
"Synaptic Ribosomes","G32A","D35",0.151115803504649,65,35,0,0.151115803504649
"Synaptic Ribosomes","G32A","D65",0.0704267223340372,65,65,0.178238630916627,-0.10781190858259
"Synaptic Ribosomes","R403C","D35",0.105229197043501,65,35,0,0.105229197043501
"Synaptic Ribosomes","R403C","D65",0.037315519309972,65,65,0.178238630916627,-0.140923111606656
"Mitochondrial Ribosome","Ctrl","D35",0,77,35,0,0
"Mitochondrial Ribosome","Ctrl","D65",-0.29784015932553,77,65,-0.29784015932553,0
"Mitochondrial Ribosome","G32A","D35",-0.213463425456071,77,35,0,-0.213463425456071
"Mitochondrial Ribosome","G32A","D65",-0.347301995912642,77,65,-0.29784015932553,-0.0494618365871113
"Mitochondrial Ribosome","R403C","D35",-0.102250087077426,77,35,0,-0.102250087077426
"Mitochondrial Ribosome","R403C","D65",-0.255656894441732,77,65,-0.29784015932553,0.0421832648837983
"Mito Ribosome Assembly","Ctrl","D35",0,24,35,0,0
"Mito Ribosome Assembly","Ctrl","D65",-0.34168090601982,24,65,-0.34168090601982,0
"Mito Ribosome Assembly","G32A","D35",-0.245227369645406,24,35,0,-0.245227369645406
"Mito Ribosome Assembly","G32A","D65",-0.305655451594388,24,65,-0.34168090601982,0.0360254544254316
"Mito Ribosome Assembly","R403C","D35",-0.176489015361367,24,35,0,-0.176489015361367
"Mito Ribosome Assembly","R403C","D65",-0.249713351439419,24,65,-0.34168090601982,0.0919675545804012
"mtDNA Maintenance","Ctrl","D35",0,29,35,0,0
"mtDNA Maintenance","Ctrl","D65",-0.443598589235816,29,65,-0.443598589235816,0
"mtDNA Maintenance","G32A","D35",-0.313077773531414,29,35,0,-0.313077773531414
"mtDNA Maintenance","G32A","D65",-0.417370098835408,29,65,-0.443598589235816,0.0262284904004078
"mtDNA Maintenance","R403C","D35",-0.237975738656067,29,35,0,-0.237975738656067
"mtDNA Maintenance","R403C","D65",-0.368608230867145,29,65,-0.443598589235816,0.0749903583686709
"OXPHOS","Ctrl","D35",0,139,35,0,0
"OXPHOS","Ctrl","D65",-0.135116505644212,139,65,-0.135116505644212,0
"OXPHOS","G32A","D35",-0.126010265555762,139,35,0,-0.126010265555762
"OXPHOS","G32A","D65",-0.162297775790598,139,65,-0.135116505644212,-0.027181270146386
"OXPHOS","R403C","D35",-0.0812957912996858,139,35,0,-0.0812957912996858
"OXPHOS","R403C","D65",-0.117716812399294,139,65,-0.135116505644212,0.0173996932449176
