"Sample","ModuleScore","Module","Genotype","Timepoint","Day","Ctrl_Mean","Divergence","Day_jittered"
"D35Ctrl_222",5.58865684833092,"Ribosome Biogenesis","Ctrl","D35",35,5.30975250305157,0.278904345279354,35.074706248385
"D35Ctrl_322",5.22828701171638,"Ribosome Biogenesis","Ctrl","D35",35,5.30975250305157,-0.08146549133519,34.4917865903993
"D35Ctrl_323",5.1123136491074,"Ribosome Biogenesis","Ctrl","D35",35,5.30975250305157,-0.197438853944164,34.3516437773504
"D35GAF7_322",4.64101658090081,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.668735922150758,34.694673494625
"D35GAF7_323",4.57338719920695,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.736365303844615,35.5991420512538
"D35GAG5_222",5.58807214799152,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,0.27831964493995,35.2283900225031
"D35GAG5_322",4.49120133338433,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.818551169667241,34.4174650226671
"D35GAG5_323",4.85727638117962,"Ribosome Biogenesis","G32A","D35",35,5.30975250305157,-0.452476121871944,35.0913725321871
"D35RCD5_222",5.72596207304415,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,0.41620956999258,35.0134676653939
"D35RCD5_322",4.45770438933537,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.8520481137162,34.7723124087786
"D35RCD5_323",4.7038915174592,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.605860985592369,34.8751853719271
"D35RCG3_222",5.58906469770786,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,0.279312194656291,35.0362516658597
"D35RCG3_322",4.97570109433226,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.334051408719303,34.9288523868912
"D35RCG3_323",4.71544661648172,"Ribosome Biogenesis","R403C","D35",35,5.30975250305157,-0.59430588656985,35.7789586070597
"D65Ctrl_1123",4.84905915153122,"Ribosome Biogenesis","Ctrl","D65",65,4.84716070186396,0.00189844966726316,64.9295512459856
"D65Ctrl_222",4.9871605252628,"Ribosome Biogenesis","Ctrl","D65",65,4.84716070186396,0.139999823398837,65.1293296768242
"D65Ctrl_423",4.70526242879786,"Ribosome Biogenesis","Ctrl","D65",65,4.84716070186396,-0.141898273066099,64.9388117565288
"D65GA_1123",4.86430769683189,"Ribosome Biogenesis","G32A","D65",65,4.84716070186396,0.0171469949679288,66.0216234659128
"D65GAF7_222",4.9972125254285,"Ribosome Biogenesis","G32A","D65",65,4.84716070186396,0.150051823564541,65.6598547505532
"D65GAF7_423",4.78954042930625,"Ribosome Biogenesis","G32A","D65",65,4.84716070186396,-0.0576202725577097,65.103047690209
"D65GAG5_423",4.74913083419261,"Ribosome Biogenesis","G32A","D65",65,4.84716070186396,-0.0980298676713529,64.7343630595914
"D65RC_1123",5.04143007606714,"Ribosome Biogenesis","R403C","D65",65,4.84716070186396,0.194269374203182,64.9117052359973
"D65RCD5_423",4.73886939818009,"Ribosome Biogenesis","R403C","D65",65,4.84716070186396,-0.108291303683873,65.235824610154
"D65RCG3_222",5.25030049753194,"Ribosome Biogenesis","R403C","D65",65,4.84716070186396,0.403139795667982,65.3274871646198
"D65RCG3_423",4.73895225342253,"Ribosome Biogenesis","R403C","D65",65,4.84716070186396,-0.108208448441429,65.1650529840644
"D35Ctrl_222",8.22306030087558,"Cytoplasmic Translation","Ctrl","D35",35,8.21130904019483,0.0117512606807448,34.8649318822953
"D35Ctrl_322",8.39797571906269,"Cytoplasmic Translation","Ctrl","D35",35,8.21130904019483,0.186666678867851,34.8000615829003
"D35Ctrl_323",8.01289110064624,"Cytoplasmic Translation","Ctrl","D35",35,8.21130904019483,-0.198417939548598,34.8092477138338
"D35GAF7_322",8.46705119946678,"Cytoplasmic Translation","G32A","D35",35,8.21130904019483,0.255742159271948,34.5918707509109
"D35GAF7_323",8.39238948522385,"Cytoplasmic Translation","G32A","D35",35,8.21130904019483,0.18108044502902,35.4718408510564
"D35GAG5_222",8.33609452164748,"Cytoplasmic Translation","G32A","D35",35,8.21130904019483,0.124785481452648,33.5156730631011
"D35GAG5_322",8.56448239387287,"Cytoplasmic Translation","G32A","D35",35,8.21130904019483,0.35317335367804,34.9307745338105
"D35GAG5_323",8.38125008762409,"Cytoplasmic Translation","G32A","D35",35,8.21130904019483,0.16994104742926,34.7096740417137
"D35RCD5_222",8.378884578062,"Cytoplasmic Translation","R403C","D35",35,8.21130904019483,0.167575537867165,34.4081038521029
"D35RCD5_322",8.64203932250604,"Cytoplasmic Translation","R403C","D35",35,8.21130904019483,0.430730282311208,35.5300842013495
"D35RCD5_323",8.43177486372477,"Cytoplasmic Translation","R403C","D35",35,8.21130904019483,0.220465823529931,35.0468438677855
"D35RCG3_222",8.30944940894583,"Cytoplasmic Translation","R403C","D35",35,8.21130904019483,0.0981403687510003,34.8358289726122
"D35RCG3_322",8.32389100627402,"Cytoplasmic Translation","R403C","D35",35,8.21130904019483,0.112581966079189,35.6429450319928
"D35RCG3_323",8.18344730153509,"Cytoplasmic Translation","R403C","D35",35,8.21130904019483,-0.0278617386597482,34.8587702493416
"D65Ctrl_1123",8.71111109298426,"Cytoplasmic Translation","Ctrl","D65",65,8.46341253117221,0.247698561812053,64.7071512171197
"D65Ctrl_222",8.05410980485036,"Cytoplasmic Translation","Ctrl","D65",65,8.46341253117221,-0.409302726321851,65.140873553092
"D65Ctrl_423",8.625016695682,"Cytoplasmic Translation","Ctrl","D65",65,8.46341253117221,0.161604164509797,65.3484714919677
"D65GA_1123",8.64411552169779,"Cytoplasmic Translation","G32A","D65",65,8.46341253117221,0.180702990525582,65.2229130977079
"D65GAF7_222",8.06611382837805,"Cytoplasmic Translation","G32A","D65",65,8.46341253117221,-0.397298702794156,65.1746457443221
"D65GAF7_423",8.47264105745808,"Cytoplasmic Translation","G32A","D65",65,8.46341253117221,0.00922852628586845,65.5769735547787
"D65GAG5_423",8.26172161549547,"Cytoplasmic Translation","G32A","D65",65,8.46341253117221,-0.201690915676741,65.5373982342806
"D65RC_1123",8.08953332145571,"Cytoplasmic Translation","R403C","D65",65,8.46341253117221,-0.373879209716502,64.4591556559979
"D65RCD5_423",8.47704904084385,"Cytoplasmic Translation","R403C","D65",65,8.46341253117221,0.0136365096716453,65.100557945772
"D65RCG3_222",8.4552347056167,"Cytoplasmic Translation","R403C","D65",65,8.46341253117221,-0.00817782555551183,64.6075507756514
"D65RCG3_423",8.3458035281798,"Cytoplasmic Translation","R403C","D65",65,8.46341253117221,-0.117609002992404,64.7136852765091
"D35Ctrl_222",8.42755526433504,"Synaptic Ribosomes","Ctrl","D35",35,8.3740825876942,0.0534726766408387,35.1858059081751
