"Module","Genotype","Day","Mean_Divergence","SD","N","SE","CI_lower","CI_upper"
"Cytoplasmic Translation","Ctrl",35,-5.92114428957698e-16,0.192811073154334,3,0.111319524988395,-0.478969258065732,0.478969258065731
"Cytoplasmic Translation","Ctrl",65,-5.9211894646675e-16,0.357070865015034,3,0.206154960036202,-0.887013201551157,0.887013201551156
"Cytoplasmic Translation","G32A",35,0.216944497372183,0.0895159184608489,5,0.0400327357493573,0.105795804153203,0.328093190591163
"Cytoplasmic Translation","G32A",65,-0.102264525414862,0.251284757832909,4,0.125642378916455,-0.502114649984588,0.297585599154865
"Cytoplasmic Translation","R403C",35,0.166938706646458,0.153679298034136,6,0.0627393107021224,0.00566217417523882,0.328215239117676
"Cytoplasmic Translation","R403C",65,-0.121507382148193,0.177777198204116,4,0.088888599102058,-0.404390575942383,0.161375811645996
"Ribosome Biogenesis","Ctrl",35,0,0.2484012491323,3,0.143414528053573,-0.617062910615436,0.617062910615436
"Ribosome Biogenesis","Ctrl",65,2.96063990742427e-16,0.14095863677332,3,0.0813825068856792,-0.350160665405522,0.350160665405522
"Ribosome Biogenesis","G32A",35,-0.479561774518922,0.444906338280793,5,0.198968163203274,-1.03198595733485,0.0728624082970046
"Ribosome Biogenesis","G32A",65,0.00288716957585189,0.109096558094383,4,0.0545482790471915,-0.170709799537467,0.176484138689171
"Ribosome Biogenesis","R403C",35,-0.281790771658142,0.516265983135862,6,0.210764705039861,-0.823578694026855,0.259997150710571
"Ribosome Biogenesis","R403C",65,0.0952273544364652,0.249950237207529,4,0.124975118603764,-0.302499250016477,0.492953958889408
"Synaptic Ribosomes","Ctrl",35,0,0.234384451916146,3,0.13532192640765,-0.58224325605283,0.58224325605283
"Synaptic Ribosomes","Ctrl",65,-5.92123463975802e-16,0.382656830206587,3,0.220927023927022,-0.950572262575025,0.950572262575024
"Synaptic Ribosomes","G32A",35,0.151162615023012,0.0730687194210952,5,0.0326773247308856,0.0604358167229857,0.241889413323038
"Synaptic Ribosomes","G32A",65,-0.103718621604199,0.255673660746033,4,0.127836830373016,-0.510552470103985,0.303115226895587
"Synaptic Ribosomes","R403C",35,0.10642402496066,0.168262000421932,6,0.0686926740222835,-0.0701561151223082,0.283004165043628
"Synaptic Ribosomes","R403C",65,-0.133501809080253,0.169300697511874,4,0.084650348755937,-0.402896998719562,0.135893380559056
