"Module","Genotype","Timepoint","Expression","N_genes","Day","Ctrl_Expression","Divergence"
"Ribosome Biogenesis","Ctrl","D35",0,158,35,0,0
"Ribosome Biogenesis","Ctrl","D65",-0.463725962031916,158,65,-0.463725962031916,0
"Ribosome Biogenesis","G32A","D35",-0.486439907922751,158,35,0,-0.486439907922751
"Ribosome Biogenesis","G32A","D65",-0.447178852948619,158,65,-0.463725962031916,0.0165471090832967
"Ribosome Biogenesis","R403C","D35",-0.281497190248352,158,35,0,-0.281497190248352
"Ribosome Biogenesis","R403C","D65",-0.377802157668676,158,65,-0.463725962031916,0.0859238043632399
"Cytoplasmic Translation","Ctrl","D35",0,76,35,0,0
"Cytoplasmic Translation","Ctrl","D65",0.258511155807043,76,65,0.258511155807043,0
"Cytoplasmic Translation","G32A","D35",0.220689534322385,76,35,0,0.220689534322385
"Cytoplasmic Translation","G32A","D65",0.150073875113244,76,65,0.258511155807043,-0.108437280693799
"Cytoplasmic Translation","R403C","D35",0.170038438518945,76,35,0,0.170038438518945
"Cytoplasmic Translation","R403C","D65",0.134616167406694,76,65,0.258511155807043,-0.123894988400349
"Synaptic Ribosomes","Ctrl","D35",0,65,35,0,0
"Synaptic Ribosomes","Ctrl","D65",0.178238630916627,65,65,0.178238630916627,0
"Synaptic Ribosomes","G32A","D35",0.151115803504649,65,35,0,0.151115803504649
"Synaptic Ribosomes","G32A","D65",0.0704267223340372,65,65,0.178238630916627,-0.10781190858259
"Synaptic Ribosomes","R403C","D35",0.105229197043501,65,35,0,0.105229197043501
"Synaptic Ribosomes","R403C","D65",0.037315519309972,65,65,0.178238630916627,-0.140923111606656
