"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,-0.909154680113703,-3.13059243217345,3.27899024393455e-21,1.16404153659677e-18,9.31923543012977e-19,1606,"tags=97%, list=8%, signal=89%","RFC1/PRIM2/PCNA/RFC5/MCM3/MCM10/RFC3/CDC45/RPA3/GINS4/RFC4/WDHD1/POLE/PRIM1/POLE3/MCM4/MCM6/MCM7/RPA2/GINS1/POLA2/POLE2/MCM5/MCM2/RFC2/GINS3/POLA1/GINS2/POLE4","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",32,-0.815253332980519,-2.85291856988472,6.97088444071022e-14,1.13531793980958e-11,9.08927631574759e-12,1023,"tags=75%, list=5%, signal=71%","RFC1/RAD51C/PCNA/RFC5/POLD3/BRCA1/PALB2/RFC3/RPA3/BRCA2/POLD1/RFC4/RAD54L/XRCC3/RAD51/POLE/POLE3/SEM1/RPA2/POLE2/XRCC2/RFC2/RAD51D/POLE4","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,-0.847608236063372,-2.84662873242072,9.5942361110669e-14,1.13531793980958e-11,9.08927631574759e-12,2214,"tags=89%, list=10%, signal=80%","TOPBP1/CDC6/ORC6/MTBP/CDT1/ORC5/MCM3/CDC45/GINS4/TICRR/POLE/POLE3/MCM4/MCM6/MCM7/GINS1/POLE2/MCM5/MCM2/GINS3/ORC1/GINS2/RECQL4/POLE4","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",16,-0.888767853442665,-2.5999965690707,2.27341557058462e-10,2.01765631889385e-08,1.61532158962592e-08,901,"tags=75%, list=4%, signal=72%","MCM3/CDC45/GINS4/MCM4/MCM6/MCM7/TRAIP/GINS1/MCM5/MCM2/GINS3/GINS2","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR",26,-0.789983953962539,-2.6304446395248,4.31737703814771e-10,3.06533769708487e-08,2.45408800063133e-08,1725,"tags=73%, list=8%, signal=67%","PMS1/RFC1/PCNA/RFC5/POLD3/RFC3/RPA3/POLD1/RFC4/MSH2/POLE/EXO1/POLE3/MSH6/RPA2/LIG1/POLE2/RFC2/POLE4","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA","KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA",30,-0.759741655511345,-2.61610211020778,9.88695445665024e-10,5.84978138685139e-08,4.68329421630801e-08,2424,"tags=73%, list=11%, signal=65%","NUP188/SEH1L/NUP160/NCBP1/NUP107/DDX19B/POM121/NUP88/NUP35/NDC1/NUP210/NUP155/SRSF7/SRSF3/NXT1/ALYREF/NUP93/NXF1/NUP85/NUP54/NUP62/NUP214","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",17,-0.847337067667001,-2.51964631224024,3.52852300325122e-09,1.78946523736312e-07,1.43263339981628e-07,1606,"tags=82%, list=8%, signal=76%","RFC1/PCNA/RFC5/POLD3/RFC3/POLD1/RFC4/FEN1/POLE/POLE3/LIG1/POLE2/RFC2/POLE4","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,-0.782581312437787,-2.55146562313906,1.05307222521461e-08,4.67300799938981e-07,3.74117764220978e-07,3669,"tags=92%, list=17%, signal=76%","ORC4/DBF4/ORC2/CDC7/CDK2/CCNA2/CDC6/ORC6/MTBP/CCNE1/CDT1/ORC5/MCM3/CDC45/TICRR/MCM4/MCM6/MCM7/MCM5/MCM2/ORC1/CCNE2","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",74,0.544585882561891,2.40990038543209,2.06463765991224e-08,8.14384854743161e-07,6.51990839972286e-07,6678,"tags=74%, list=32%, signal=51%","RPL23/RPL6/RPL31/RPS14/RPL5/RPL24/RPS19/RPL13A/RPL35A/RPL9/RPL3/RPL4/RPS4X/RPL27/RPS7/RPS27/RPS8/RPS28/RPL12/RPL37A/RPL29/RPS3/RPL34/RPL11/RPL30/RPL27A/RPL26/RPS16/RPS15A/RPS29/RPL21/RPL36/RPL15/RPL13/RPS6/RPS12/RPL39/RPL22/RPS20/RPL18/RPS27A/RPL7/RPL8/RPL32/RPS11/RPL19/RPL38/FAU/RPL28/RPLP2/RPL10A/RPL37/RPL18A/RPS23/RPL10","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",15,-0.826682777641041,-2.37574205975242,2.07009460951668e-07,7.3488358637842e-06,5.88342678494213e-06,1120,"tags=80%, list=5%, signal=76%","MCM9/FANCI/MCM8/BRIP1/HROB/FANCD2/BRCA1/PALB2/RPA3/BRCA2/SEM1/RPA2","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",21,-0.755262447840875,-2.37777937499352,2.41743214744622e-07,7.80171283948553e-06,6.24599693598545e-06,1790,"tags=62%, list=8%, signal=57%","CUL2/MCM3/LRR1/CDC45/GINS4/MCM4/MCM6/MCM7/GINS1/MCM5/MCM2/GINS3/GINS2","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",33,-0.675992223434018,-2.38317342524672,4.74936642948922e-07,1.40502090205723e-05,1.1248499438264e-05,6867,"tags=100%, list=33%, signal=68%","PSMB1/PSMA5/PSMD9/PSMA1/HTT/PSMD13/PSMB4/PSMC2/PSMB5/PSMC6/PSMA3/PSMD4/PSMD3/PSMB6/PSMD2/PSMC1/PSMD7/PSMD1/PSMD6/ADRM1/PSMA7/PSMB7/PSMB2/PSMD12/PSMD14/PSMA4/PSMA2/PSMC3/PSMA6/PSMD11/PSMC5/SEM1","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING","KEGG_MEDICUS_REFERENCE_CONDENSIN_LOADING",20,-0.753634166857693,-2.34191461357283,8.40540186123002e-07,2.29532127748974e-05,1.83761822067377e-05,3245,"tags=70%, list=15%, signal=59%","NCAPD2/PPP2R1A/TOP2A/PPP2CA/NCAPG/NCAPG2/KIF4A/SMC4/NCAPD3/PPP2R5E/NCAPH/SMC2/PPP2R5D/NCAPH2","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",33,-0.665704851238259,-2.34690586005491,9.54563894570456e-07,2.42050130408937e-05,1.93783647769942e-05,6867,"tags=97%, list=33%, signal=66%","PSMD8/PSMB1/PSMA5/PSMD9/PSMA1/PSMD13/PSMB4/PSMC2/PSMB5/PSMC6/PSMA3/PSMD4/PSMD3/PSMB6/PSMD2/PSMC1/PSMD7/PSMD1/PSMD6/ADRM1/PSMA7/PSMB7/PSMB2/PSMD12/PSMD14/PSMA4/PSMA2/PSMC3/PSMA6/PSMD11/PSMC5/SEM1","kegg","G32A_vs_Ctrl_D35"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",37,-0.626035904201847,-2.26556650692246,2.6591369881156e-06,6.2932908718736e-05,5.03836481958746e-05,6867,"tags=89%, list=33%, signal=60%","PSMD8/PSMB1/PSMA5/PSMD9/PSMA1/PSMD13/PSMB4/PSMC2/PSMB5/PSMC6/PSMA3/PSMD4/PSMD3/PSMB6/PSMD2/UBQLN2/PSMC1/PSMD7/PSMD1/PSMD6/ADRM1/PSMA7/PSMB7/PSMB2/PSMD12/PSMD14/PSMA4/PSMA2/PSMC3/PSMA6/PSMD11/PSMC5/SEM1","kegg","G32A_vs_Ctrl_D35"
