"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",186,-0.448345934216957,-2.03149821652467,5.12689232202773e-07,2.56344616101387e-05,2.05075692881109e-05,7716,"tags=63%, list=37%, signal=41%","COX5A/DDX21/CDC20/RNPS1/MCM5/PA2G4/PSMA2/SF3B3/TRA2B/RFC4/SNRPD1/CUL1/PRDX3/PPM1G/PSMA7/SET/SNRPG/HSPD1/ERH/PHB1/SRSF2/RPS5/PCNA/EIF3B/XRCC6/NOP16/HPRT1/ETF1/DDX18/ILF2/CDC45/TYMS/COPS5/SRM/IFRD1/PSMA4/CLNS1A/NOP56/USP1/PSMA1/TFDP1/ORC2/NOLC1/NPM1/PPIA/SYNCRIP/IMPDH2/RAN/CDK4/GSPT1/SRSF3/KARS1/TUFM/SSBP1/DEK/RSL1D1/POLE3/SNRPD3/CCT4/RANBP1/G3BP1/RPL18/NAP1L1/EIF3D/PSMD3/SERBP1/SNRPA/CCT3/SRPK1/PTGES3/PHB2/EIF2S2/RPLP0/TXNL4A/SLC25A3/UBE2L3/CCNA2/MAD2L1/HDDC2/EIF4E/KPNB1/PRDX4/UBE2E1/VDAC1/H2AZ1/STARD7/BUB3/RPL6/EIF4G2/RRM1/AP3S1/TCP1/TRIM28/PABPC1/KPNA2/PRPS2/LSM7/RPL34/RPS10/ACP1/U2AF1/EIF1AX/PCBP1/SF3A1/NHP2/CDK2/GLO1/MRPL9/RPS3/SNRPD2/HDGF/YWHAQ/DUT/RACK1/RPL14/PGK1/PRPF31/MYC","hallmark","G32A_vs_Ctrl_D65"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",182,-0.386905252911159,-1.74784194806092,0.000110417330539905,0.00276043326349763,0.0022083466107981,6414,"tags=45%, list=30%, signal=32%","LOX/GRHPR/HDLBP/GYS1/ETS1/NDRG1/F3/PPARGC1A/MAFF/BHLHE40/SLC25A1/LXN/CDKN1B/ZFP36/DUSP1/FOS/ADORA2B/ILVBL/TKTL1/S100A4/DPYSL4/ADM/SAP30/KLF6/RBPJ/MAP3K1/GBE1/FOXO3/HSPA5/NEDD4L/SCARB1/PFKP/TES/EFNA1/PPFIA4/PLIN2/DDIT4/PLAUR/IRS2/NOCT/KDM3A/MT2A/VHL/PAM/SIAH2/PPP1R15A/TMEM45A/STC1/PGM2/PNRC1/GPC4/SELENBP1/AMPD3/SULT2B1/BCAN/SLC2A1/MXI1/TPI1/STBD1/PFKFB3/GCK/KLF7/HK1/ERO1A/BTG1/HAS1/HMOX1/JMJD6/PDK1/GAPDH/CA12/P4HA1/JUN/TPD52/ENO1/FAM162A/GLRX/GPI/TIPARP/PGK1/HK2/ALDOA","hallmark","G32A_vs_Ctrl_D65"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",190,-0.367534787644541,-1.67010532283322,0.000471048070232991,0.00785080117054985,0.00628064093643988,6430,"tags=45%, list=30%, signal=32%","HPRT1/ETF1/PSMC2/PSMD12/CYP51A1/CDC25A/MAP2K3/COPS5/ELOVL5/IFRD1/HMBS/BHLHE40/FADS2/PSMA4/HSP90B1/CCNF/NMT1/TUBG1/RRM2/NUP205/PPIA/ME1/DHCR24/PITPNB/CACYBP/CTH/STIP1/SDF2L1/PSMD13/TFRC/SERPINH1/NIBAN1/RDH11/SLC1A5/AURKA/GBE1/HSPA5/GMPS/CFP/RPA1/IMMT/PPA1/SEC11A/EIF2S2/CTSC/TES/ATP6V1D/SLA/UBE2D3/DDIT4/DHFR/ATP2A2/SERP1/SSR1/PRDX1/MLLT11/PPP1R15A/TXNRD1/RPN1/STC1/RIT1/SRD5A1/GGA2/XBP1/CALR/MTHFD2L/EBP/PSMB5/SLC2A1/SCD/TPI1/DDX39A/LTA4H/CCNG1/ERO1A/PDK1/GAPDH/POLR3G/BCAT1/P4HA1/ENO1/GLRX/GPI/PGK1/HK2/ALDOA","hallmark","G32A_vs_Ctrl_D65"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",77,-0.445621589594594,-1.7574580226427,0.00162171185996041,0.0202713982495051,0.0162171185996041,3710,"tags=31%, list=18%, signal=26%","USP18/CMPK2/OGFR/IRF2/RIPK2/PARP12/TRIM25/SAMD9L/CNP/IFITM3/IFI44/IFI44L/BST2/IFITM1/TRIM21/B2M/MX1/PLSCR1/PARP9/SAMD9/IFIH1/EIF2AK2/ADAR/ISG15","hallmark","G32A_vs_Ctrl_D65"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.3337148510172,-1.52139352595071,0.00282091097308489,0.0282091097308489,0.0225672877846791,7690,"tags=56%, list=36%, signal=36%","CDC20/BUB1/MCM5/NUP50/TRA2B/TGFB1/SNRPD1/TROAP/CTCF/CUL1/CDKN2C/SLC7A1/CDC6/RBM14/KIF22/LMNB1/E2F4/HIF1A/EWSR1/SUV39H1/KIF23/FOXN3/KIF4A/AMD1/SRSF2/HSPA8/EXO1/DBF4/MEIS2/RAD54L/NCL/EZH2/CDK1/RBL1/NUP98/ODF2/HMGA1/CDC25A/CDC45/CDC27/HMGB3/CCNF/STAG1/TFDP1/CDKN1B/DKC1/NOLC1/SYNCRIP/BCL3/MKI67/CDK4/UPF1/GSPT1/TACC3/PRP4K/SMC4/CBX1/SLC12A2/CDKN3/SAP30/MYBL2/AURKA/FBXO5/G3BP1/KIF11/UBE2C/CKS2/KIF2C/FANCC/CCNT1/GINS2/NUSAP1/STIL/CCNB2/HMGN2/DR1/CCNA2/MAD2L1/KPNB1/BIRC5/H2AZ2/MT2A/H2AZ1/KMT5A/BUB3/MAPK14/PTTG1/KPNA2/ABL1/SS18/UBE2S/LBR/CENPA/PRC1/CKS1B/RACGAP1/TOP1/TPX2/HOXC10/DDX39A/NEK2/MEIS1/PML/KATNA1/TMPO/MARCKS/BARD1/TLE3/MYC","hallmark","G32A_vs_Ctrl_D65"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",74,-0.655391396177049,-2.57157096521193,7.88876893969975e-10,2.80051297359341e-07,2.80051297359341e-07,5104,"tags=74%, list=24%, signal=57%","RPL13/RPL23/RPL21/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPS7/RPL39/RPL29/RPL13A/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/RPS20/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","kegg","G32A_vs_Ctrl_D65"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",103,-0.618778258196346,-2.56964090189,7.63663606311122e-12,9.88944370172903e-09,8.70576511194679e-09,5478,"tags=68%, list=26%, signal=51%","RPS11/RPL36AL/SRP72/SEC61B/RPL13/RPL23/RPL21/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/TRAM1/SRP14/SEC11A/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/SPCS2/SSR1/RPL29/RPL13A/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/RPS20/RPN1/RPL35/RPL38/RPL11/RPS27A/SEC61G/RPS28/RPL8/SSR4/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/RPL22L1/RPL23A/SSR2/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",83,-0.642644950509732,-2.57115889008888,1.20290469884008e-10,7.78880792498952e-08,6.85655678338845e-08,5104,"tags=71%, list=24%, signal=54%","RPL13/RPL23/RPL21/RPL32/RPS15A/EEF2/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/RPL29/RPL13A/EEF1A1/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/RPS20/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",109,-0.579640322439914,-2.43023566845821,3.80413067820434e-10,1.64211640942487e-07,1.44556965771765e-07,4703,"tags=64%, list=22%, signal=50%","RPS11/RPL36AL/EIF3A/RPL13/RPL23/RPL21/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/EIF3D/RPS14/EIF3F/EIF2S2/RPLP2/EIF3I/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/RPL29/RPL13A/EIF4E/RPSA/RPS15/EIF5/FAU/RPL6/RPS29/RPL26/RPS20/PABPC1/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/EIF1AX/RPL36/EIF2S3/RPL19/UBA52/RPL27/RPS23/RPL27A/RPS3/EIF3G/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",93,-0.585946221367687,-2.39156214385334,4.51624971721567e-09,1.46213584594857e-06,1.28713116940647e-06,5104,"tags=65%, list=24%, signal=49%","RPL13/RPL23/RPL21/RPL32/RPS15A/RPS12/RPS13/RPS26/RPL18/RPL15/RPL37/RPL7/RPS14/EIF2S2/RPLP2/RPS27/RPL28/RPLP0/RPL24/RPL39L/RPS7/RPL39/RPL29/RPL13A/RPSA/RPS15/FAU/RPL6/RPS29/RPL26/RPS20/RPL35/RPL38/RPL11/RPS27A/RPS28/RPL8/RPL10A/RPL34/RPS21/RPS16/RPS10/RPLP1/RPL10/RPL36/EIF2S3/RPL19/UBA52/RPL27/ATF4/RPS23/RPL27A/RPS3/RPL22L1/RPL23A/RPL14/RPL35A/RPL41/RPL36A/RPS4Y1","reactome","G32A_vs_Ctrl_D65"
