"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",74,-0.707587628584428,-3.11445719160063,2.69144922186362e-19,9.55464473761585e-17,7.98935453226885e-17,4169,"tags=78%, list=20%, signal=63%","RPL37/RPS6/RPS11/RPL37A/RPLP2/RPL32/UBA52/RPL36A/RPL28/RPL7/FAU/RPLP1/RPL18/RPL13/RPL10/RPS12/RPL38/RPL30/RPL10A/RPL21/RPL15/RPS8/RPL39/RPS23/RPL8/RPS15A/RPS27A/RPL12/RPS4X/RPL3/RPL19/RPL41/RPS20/RPL9/RPL4/RPL14/RPS29/RPL29/RPS19/RPL5/RPL26/RPS27/RPS7/RPL36/RPL11/RPL31/RPS16/RPL34/RPS28/RPL13A/RPL24/RPL27A/RPS14/RPS3/RPL27/RPL6/RPL23/RPL35A","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,0.832457167941734,2.87539201053301,9.95960748937028e-14,1.76783032936323e-11,1.47821542736969e-11,2964,"tags=93%, list=14%, signal=80%","POLA1/RPA2/MCM6/PRIM1/MCM7/POLA2/MCM2/RFC2/WDHD1/POLE/MCM5/POLE2/MCM4/GINS1/GINS3/GINS2/POLE3/RFC3/RFC1/RFC4/PRIM2/MCM3/GINS4/RPA3/PCNA/CDC45/MCM10/RFC5","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",32,0.775450377653076,2.72107581657387,1.04618920562427e-11,1.23799055998872e-09,1.03517668767033e-09,2964,"tags=75%, list=14%, signal=65%","RAD51D/RPA2/PALB2/POLD3/RAD51C/POLD1/RFC2/POLE/POLE2/XRCC2/POLE3/RFC3/RFC1/XRCC3/RFC4/BRCA2/RAD51/RPA3/PCNA/RAD54L/BRCA1/POLD2/RAD54B/RFC5","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,0.765868689262859,2.57643765115154,2.32793168367842e-09,2.0660393692646e-07,1.72757035472977e-07,4966,"tags=100%, list=24%, signal=77%","MCM6/MCM7/MTBP/MCM2/ORC5/RECQL4/POLE/MCM5/POLE2/MCM4/GINS1/TOPBP1/GINS3/GINS2/POLE3/ORC1/TICRR/MCM3/GINS4/CDC45/ORC6/ORC3/ORC4/CDC6/CDT1/POLE4/ORC2","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR",26,0.76463862315715,2.54934843492678,3.58951239368314e-09,2.54855379951503e-07,2.1310368316182e-07,2964,"tags=81%, list=14%, signal=70%","PMS2/RPA2/LIG1/PMS1/POLD3/POLD1/RFC2/POLE/MSH2/POLE2/MSH6/POLE3/RFC3/RFC1/RFC4/MLH1/EXO1/RPA3/PCNA/POLD2/RFC5","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",19,0.788052199679484,2.41916472022251,3.31584010138435e-07,1.96187205998574e-05,1.64046826068489e-05,3750,"tags=79%, list=18%, signal=65%","DSN1/INCENP/MIS12/AURKB/ZWINT/CENPX/PMF1/SPC24/NSL1/SPC25/NDC80/NUF2/KNL1/BIRC5/CDCA8","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA","KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA",30,0.693598045303931,2.39575843033383,5.41248946697898e-07,2.74490537253934e-05,2.2952210972753e-05,5046,"tags=80%, list=24%, signal=61%","NUP54/NUP214/SRSF7/NUP155/NUP62/NUP85/NUP210/NUP133/ALYREF/POM121/NUP160/NUP93/SEH1L/NCBP1/NUP88/SRSF3/NUP107/DDX19B/NXF1/NUP188/GLE1/RANBP2/NDC1/NUP205","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",16,0.807392775870535,2.3629586686908,8.49822394976422e-07,3.77108687770787e-05,3.15328836030725e-05,2563,"tags=75%, list=12%, signal=66%","MCM6/TRAIP/MCM7/MCM2/MCM5/MCM4/GINS1/GINS3/GINS2/MCM3/GINS4/CDC45","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",17,0.777010178335061,2.31370913960736,2.1741863622047e-06,7.7183615858267e-05,6.45390056991291e-05,2964,"tags=82%, list=14%, signal=71%","LIG1/POLD3/POLD1/RFC2/POLE/POLE2/POLE3/RFC3/RFC1/RFC4/FEN1/PCNA/POLD2/RFC5","kegg","Maturation_G32A_specific"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,0.707036793130482,2.3070230636519,1.96178101566054e-06,7.7183615858267e-05,6.45390056991291e-05,5288,"tags=92%, list=25%, signal=69%","MCM6/MCM7/MTBP/MCM2/ORC5/MCM5/MCM4/ORC1/CCNE2/TICRR/MCM3/CDC7/CDC45/ORC6/ORC3/ORC4/CCNE1/CDC6/CDT1/ORC2/CCNA2/DBF4","kegg","Maturation_G32A_specific"
