"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",195,0.678217084139194,3.30967421611426,1.56006349833254e-40,7.8003174916627e-39,3.44856141736667e-39,4167,"tags=71%, list=20%, signal=58%","DCLRE1B/UNG/PMS2/RPA2/RAD50/LIG1/MCM6/CNOT9/POLD3/NASP/RAD51C/LMNB1/RNASEH2A/MCM7/SMC6/USP1/POLA2/DNMT1/MCM2/PDS5B/POLD1/TRA2B/RFC2/SRSF1/TIMELESS/POLE/MCM5/MSH2/ILF3/POP7/MCM4/SMC1A/TIPIN/GINS1/SMC3/ING3/SLBP/PNN/HNRNPD/CHEK1/DSCC1/GINS3/CHEK2/KIF18B/RANBP1/RFC3/SSRP1/H2AX/NME1/NOP56/RFC1/CSE1L/SRSF2/SYNCRIP/DDX39A/PRIM2/MLH1/MCM3/PPM1D/LBR/CDC25B/CTCF/BRCA2/PSMC3IP/AURKB/LYAR/RAD1/GINS4/ESPL1/RPA3/DCTPP1/PCNA/EXOSC8/PLK1/EED/HMGB3/PRKDC/SPC24/PSIP1/H2AZ1/SUV39H1/CDK4/SPC25/PLK4/DEK/SMC4/BRCA1/PA2G4/POLD2/KIF22/MMS22L/NCAPD2/NUP107/SPAG5/JPT1/CENPE/ORC6/ZW10/CDC20/KIF4A/MKI67/SNRPB/BRMS1L/CENPM/NUP153/NUDT21/HELLS/MYBL2/TACC3/RRM2/STAG1/CDC25A/CTPS1/EIF2S1/TOP2A/RACGAP1/RAN/RAD51AP1/BIRC5/NAP1L1/XPO1/UBE2T/PPP1R8/CIT/CDCA3/STMN1/XRCC6/ASF1A/TMPO/EZH2/ANP32E/CDCA8/IPO7/TK1/CCNE1/TP53/ATAD2/DUT/PHF5A","hallmark","Maturation_G32A_specific"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,0.574425649885492,2.80317586649072,6.89537041166948e-23,1.72384260291737e-21,7.62119887605574e-22,5986,"tags=69%, list=28%, signal=50%","RPA2/ATF5/MCM6/HNRNPU/NASP/LMNB1/TRAIP/SFPQ/ATRX/CCNF/POLA2/MCM2/RBL1/ORC5/CHAF1A/PDS5B/TRA2B/SRSF1/POLE/MCM5/E2F1/HIRA/ILF3/SMC1A/POLQ/MNAT1/SNRPD1/HMGN2/HNRNPD/CUL1/CHEK1/SRSF10/GINS2/TFDP1/H2AX/NUP50/E2F3/INCENP/SRSF2/SYNCRIP/DDX39A/SMC2/PRIM2/UCK2/MCM3/LBR/CDC25B/CTCF/BRCA2/CDC7/AURKB/DTYMK/EXO1/ESPL1/EWSR1/KIF20B/PLK1/RAD54L/HMGB3/H2AZ1/SUV39H1/CDK4/CENPF/PLK4/SMC4/KIF22/E2F4/NDC80/CDC45/PBK/JPT1/CENPE/ORC6/TROAP/SLC38A1/CDC20/KIF4A/MKI67/KIF11/SMARCC1/MEIS2/MYBL2/TACC3/KNL1/STAG1/CDC25A/TOP2A/FBXO5/RACGAP1/BIRC5/NSD2/XPO1/DKC1/STMN1/FANCC/H2AZ2/TMPO/EZH2/PRMT5/AMD1/BUB3/NUSAP1/RBM14/CDC6/BUB1/CHMP1A/ARID4A/CUL3/NOLC1/TPX2/NCL/RAD23B/TTK/CCNB2/HMGA1/UBE2C/HMMR/SAP30/MAD2L1/CDKN3/CDKN2C/CCNA2/DBF4/CUL4A/CDC27/ODC1/HUS1/TOP1/KPNA2/UBE2S/KIF2C/CENPA/MT2A/PRC1/KIF23","hallmark","Maturation_G32A_specific"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",182,-0.491683641639031,-2.51269553048458,9.49260573451013e-15,1.58210095575169e-13,6.99455159384957e-14,4210,"tags=38%, list=20%, signal=31%","S100A4/VLDLR/CDKN1A/GPC3/RORA/SDC4/KDELR3/ADORA2B/PLAC8/PRDX5/EXT1/ANKZF1/GBE1/LXN/PPFIA4/HAS1/IRS2/PDK3/KLHL24/TPI1/PAM/STC1/ERO1A/STC2/BNIP3L/WSB1/PNRC1/SULT2B1/HSPA5/ENO1/MXI1/GALK1/ATP7A/STBD1/ALDOC/DDIT3/CITED2/CDKN1C/ZFP36/F3/TPST2/TMEM45A/PGF/BHLHE40/P4HA2/PYGM/JUN/SELENBP1/PDK1/HK1/GPI/CHST3/HEXA/KDM3A/MAP3K1/AMPD3/XPNPEP1/GCK/DDIT4/VEGFA/HK2/NR3C1/TIPARP/PGK1/DTNA/ALDOA/BTG1/FAM162A/AK4/P4HA1","hallmark","Maturation_G32A_specific"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",186,0.492054395460446,2.38704072564043,3.86595774990069e-14,4.83244718737587e-13,2.13645033547144e-13,5977,"tags=63%, list=28%, signal=46%","MCM6/NCBP2/HNRNPU/MCM7/USP1/MCM2/TRA2B/SRSF1/MCM5/SRSF7/MCM4/SNRPD1/HNRNPD/CUL1/STARD7/TFDP1/POLE3/RANBP1/CSTF2/NME1/NOP56/SRSF2/SYNCRIP/RFC4/CBX3/HNRNPA3/SNRPD3/PSMA6/TOMM70/ERH/SET/ILF2/HNRNPA2B1/PCNA/NCBP1/H2AZ1/SRSF3/RRM1/CDK4/HDAC2/SNRPA/DEK/PA2G4/POLD2/HSPE1/CDC45/SNRPB2/CDC20/TXNL4A/SF3B3/RNPS1/SMARCC1/PWP1/PPM1G/CYC1/CTPS1/EIF2S1/AIMP2/PSMC6/RAN/GNL3/NAP1L1/COX5A/TARDBP/XPO1/PSMA2/RRP9/XRCC6/PSMD1/COPS5/YWHAQ/PSMD14/GOT2/BUB3/CAD/DUT/C1QBP/NDUFAB1/VBP1/HNRNPA1/DHX15/PSMD7/CCT5/UBE2L3/NOLC1/VDAC3/PPIA/DDX18/PSMB2/EIF3J/ABCE1/LSM7/RAD23B/PRPS2/SNRPA1/PSMA4/PSMA7/EIF3B/EIF1AX/CCT2/MAD2L1/ORC2/TRIM28/SRM/CCNA2/KARS1/RPS2/SNRPG/ODC1/EIF4E/KPNA2/DDX21/TCP1/SERBP1/SSB/HNRNPC/PABPC4","hallmark","Maturation_G32A_specific"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",55,0.577174127805797,2.28144403282798,4.27893614374675e-07,4.27893614374675e-06,1.89174018986698e-06,4459,"tags=67%, list=21%, signal=53%","UNG/MCM5/PPRC1/MCM4/PUS1/MPHOSPH10/PPAN/NOP56/CBX3/NOP2/DUSP2/MRTO4/DCTPP1/EXOSC5/PLK1/BYSL/CDK4/PLK4/SUPV3L1/LAS1L/PA2G4/HSPE1/UTP20/NDUFAF4/RCL1/AIMP2/GNL3/RABEPK/RRP9/IMP4/SORD/PRMT3/TCOF1/NOLC1/DDX18/NIP7/WDR43","hallmark","Maturation_G32A_specific"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",175,-0.378157478088327,-1.92248294552991,7.06105433938138e-07,5.36997254428942e-06,2.37409312484374e-06,5196,"tags=39%, list=25%, signal=30%","PPP1R15A/MAP2K3/RIGI/ATF3/CCND1/KLF4/NR4A2/BCL6/LITAF/PTGER4/IER2/TRIB1/KLF2/FOSB/DNAJB4/LDLR/OLR1/CDKN1A/KDM6B/IL23A/SDC4/NINJ1/SMAD3/B4GALT1/RIPK2/ABCA1/IRS2/CXCL3/DENND5A/BIRC2/RELA/BCL3/STAT5A/IER5/TSC22D1/EIF1/PTPRE/PTX3/BMP2/FUT4/G0S2/TGIF1/PNRC1/HES1/TNIP1/PER1/BTG2/ZFP36/F3/BHLHE40/MYC/ZBTB10/JUN/BTG3/PDLIM5/SLC16A6/ID2/IFIH1/KLF10/MAP3K8/SAT1/CEBPB/TRIP10/VEGFA/GEM/KLF9/TIPARP/BTG1","hallmark","Maturation_G32A_specific"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,-0.367718086239803,-1.89076193235435,7.51796156200519e-07,5.36997254428942e-06,2.37409312484374e-06,5822,"tags=37%, list=28%, signal=27%","MGP/TIMP1/FBN1/LOX/PMP22/CXCL6/PFN2/ELN/DCN/CDH6/COL1A2/CDH11/VIM/CRLF1/FSTL1/CDH2/DAB2/CD59/COL8A2/COL5A2/MMP14/FGF2/SDC4/IGFBP4/MMP2/ITGB5/SNTB1/ITGA5/FUCA1/NOTCH2/PRRX1/SERPINH1/SPARC/PTX3/SLC6A8/ABI3BP/WIPF1/TNFRSF11B/FAP/PDLIM4/GJA1/TIMP3/VEGFC/GPX7/PCOLCE/IL15/NID2/PLOD2/IGFBP2/P3H1/EMP3/HTRA1/SLIT2/SLIT3/JUN/PLOD1/SERPINE2/LAMA2/ID2/MEST/SAT1/WNT5A/THBS2/VEGFA/FMOD/FBLN2/TGFBR3/GEM/COL6A2/PDGFRB","hallmark","Maturation_G32A_specific"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,0.418565510533122,1.94619408812429,1.45201137035862e-06,8.50689714933051e-06,3.76094400286191e-06,4270,"tags=37%, list=20%, signal=30%","UPF3B/VPS37B/POLA1/RPA2/LIG1/PRIM1/NCBP2/POLD3/ERCC8/DGCR8/POLA2/SAC3D1/POLD1/RFC2/CSTF3/VPS28/NFX1/RAE1/UMPS/RFC3/SSRP1/NME1/ALYREF/DGUOK/POM121/RFC4/RALA/POLR2D/ZWINT/RAD51/POLR3C/RPA3/POLR1C/FEN1/PCNA/GTF2H3/PDE4B/TARBP2/NUDT21/RFC5/POLR2F/SRSF6/ITPA/GTF3C5/GSDME/NT5C3A/SF3A3/ADRM1/TP53/DUT/GTF2H5","hallmark","Maturation_G32A_specific"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",187,-0.35718401185725,-1.83229614396706,1.53124148687949e-06,8.50689714933051e-06,3.76094400286191e-06,5859,"tags=49%, list=28%, signal=36%","FOS/AK1/CTSF/DGKA/TRIB3/GPX2/VDR/XPC/RPS27L/RAD9A/ZBTB16/WRAP73/MXD1/SESN1/IP6K2/RRP8/DEF6/FBXW7/TXNIP/HINT1/FOXO3/NDRG1/HMOX1/PPP1R15A/ADA/VAMP8/PTPN14/ATF3/KLF4/TAX1BP3/RRAD/COQ8A/PRMT2/SLC19A2/EPHA2/S100A4/TOB1/CDKN1A/NINJ1/WWP1/ABAT/PVT1/CD82/ISCU/CD81/VWA5A/RGS16/FUCA1/HEXIM1/CTSD/IRAG2/ABHD4/RPL18/SLC7A11/RPS12/IER5/TSC22D1/PERP/PTPRE/TNNI1/TPD52L1/EPHX1/BMP2/ANKRA2/PLXNB2/ZMAT3/IFI30/SLC3A2/DDB2/OSGIN1/PMM1/PLK3/SP1/STOM/BTG2/DDIT3/RPL36/MKNK2/H1-2/RACK1/NHLH2/JUN/APP/PDGFA/SAT1/DDIT4/ZFP36L1/CCNG1/GM2A/SERTAD3/BTG1/FAM162A","hallmark","Maturation_G32A_specific"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",170,-0.370678257111274,-1.87694117606693,5.33707697038511e-06,2.42594407744778e-05,1.07252264476638e-05,3821,"tags=33%, list=18%, signal=27%","GABARAPL2/MB/CD36/CKM/KCNH2/SPEG/ITGB5/CRAT/APLNR/MYL3/WWTR1/PPFIA4/SOD3/TNNC2/PTGIS/SSPN/ATP6AP1/SPARC/GPX3/TNNI1/IGF1/SLC6A8/TPD52L1/STC2/NAV2/PLXNB2/AKT2/FXYD1/RYR1/LPIN1/SGCA/SCD/TNNT1/COX7A1/RIT1/AGRN/SPDEF/CTF1/BHLHE40/PYGM/GSN/APP/HSPB2/PFKM/LAMA2/OCEL1/EIF4A2/HRC/AEBP1/CLU/FOXO4/ITGA7/DMD/EPHB3/COL6A2/DTNA","hallmark","Maturation_G32A_specific"
