"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",195,0.672711349385916,3.30536882483586,2.67443745579588e-40,1.33721872789794e-38,7.31951303691504e-39,4595,"tags=71%, list=22%, signal=56%","RAD50/UNG/MCM2/MCM5/DCLRE1B/NASP/ASF1A/PDS5B/TIMELESS/RNASEH2A/MCM7/POLD1/LIG1/MCM6/LMNB1/USP1/H2AX/STMN1/MCM4/HNRNPD/ILF3/TRA2B/DNMT1/CNOT9/POLE/GINS1/SMC1A/SMC3/NAP1L1/SSRP1/MCM3/RPA2/ING3/CENPM/POLE4/GINS3/POLA2/HMGB3/RFC2/CTCF/SYNCRIP/POLD3/PRIM2/DDX39A/RAD51AP1/PCNA/PPM1D/HELLS/EED/SMC6/SLBP/RAD51C/PMS2/SPC24/CHEK1/DUT/H2AZ1/RPA3/CHEK2/TIPIN/SUV39H1/CDK4/POP7/SRSF2/TMPO/JPT1/MSH2/RANBP1/MYBL2/KIF18B/CDKN2C/GINS4/ANP32E/BRCA2/SRSF1/ESPL1/BRCA1/RRM2/EZH2/PSMC3IP/SMC4/RFC1/CTPS1/NME1/PNN/CDC25A/DSCC1/POLD2/RFC3/SNRPB/RAD1/STAG1/EXOSC8/LBR/CSE1L/DEK/PSIP1/PHF5A/SPC25/CDC25B/ORC2/MMS22L/CBX5/BRMS1L/ATAD2/PRKDC/E2F8/MKI67/PLK4/NUP107/AURKB/DCTPP1/TK1/RAN/NOP56/TOP2A/HUS1/CENPE/TACC3/KIF22/BUB1B/RACGAP1/BIRC5/MLH1/XRCC6/UBE2T/PPP1R8/KIF4A/NBN/CCNE1/PA2G4/SPAG5/MELK/TP53/ORC6/PLK1/NUP205/CDC20","hallmark","Maturation_R403C_specific"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,0.557525429637136,2.73940253253944,2.92312027283347e-21,7.30780068208367e-20,4.00005932071948e-20,4608,"tags=54%, list=22%, signal=43%","HMGN2/MCM2/MCM5/ATRX/NASP/RASAL2/PDS5B/HNRNPU/GINS2/UCK2/MCM6/LMNB1/H2AX/STMN1/HNRNPD/ILF3/TRA2B/HIRA/MEIS2/POLE/SMC1A/CHAF1A/E2F1/CDC45/CUL1/MCM3/RPA2/RBL1/SRSF10/POLA2/H2AZ2/TRAIP/HMGB3/SFPQ/CTCF/SYNCRIP/CCNF/ATF5/PRIM2/DDX39A/EXO1/SNRPD1/SMARCC1/CHEK1/H2AZ1/SMC2/SUV39H1/CDK4/TFDP1/POLQ/SRSF2/ARID4A/TMPO/JPT1/FANCC/RAD54L/FBXO5/MYBL2/CDKN2C/BRCA2/SRSF1/NSD2/ESPL1/EZH2/SAP30/DTYMK/SMC4/PBK/CDC25A/NUP50/STAG1/LBR/CDC7/NDC80/KNL1/KIF11/CDC25B/CENPF/EWSR1/MKI67/PLK4/SLC38A1/AURKB/NUSAP1/KIF20B/E2F4/TOP2A/TTK/E2F3/HUS1/CENPE/TACC3/KIF22/INCENP/RACGAP1/BIRC5/KIF4A/ORC5/CHMP1A/PAFAH1B1/TOP1/MARCKS/ORC6/PLK1/CDC20/CDC27","hallmark","Maturation_R403C_specific"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",175,-0.454656083891467,-2.33862117645029,6.42118205053794e-12,1.07019700842299e-10,5.85792046715742e-11,4688,"tags=45%, list=22%, signal=35%","MXD1/PTGS2/CCN1/PLAU/KLF6/KLF4/SPHK1/TNIP1/CXCL3/GADD45A/IL1B/TNFAIP2/KLF2/BTG2/TNFRSF9/RELA/NFE2L2/ICAM1/MSC/SMAD3/PTGER4/ETS2/NINJ1/G0S2/CEBPD/SPSB1/SLC2A3/NFKB2/ZBTB10/CCND1/BMP2/GFPT2/SAT1/OLR1/SDC4/MAFF/FOS/PTPRE/IL23A/ZC3H12A/RIPK2/CCNL1/IER2/GADD45B/TGIF1/ABCA1/B4GALT1/BCL6/EIF1/ATF3/BIRC3/PDLIM5/PER1/FOSB/PTX3/IRS2/IFIH1/PPP1R15A/JUN/BTG1/FUT4/BTG3/STAT5A/KLF10/BHLHE40/BCL3/F3/DNAJB4/SLC16A6/VEGFA/ZFP36/CEBPB/TRIP10/MYC/MAP3K8/GEM/TIPARP/KLF9","hallmark","Maturation_R403C_specific"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",186,0.466664900920105,2.27943329539044,1.25486421907623e-11,1.56858027384529e-10,8.58591307789e-11,5877,"tags=53%, list=28%, signal=39%","MCM2/MCM5/YWHAQ/HNRNPU/SRSF7/MCM7/MCM6/USP1/MCM4/HNRNPD/TRA2B/NAP1L1/CDC45/CUL1/STARD7/HNRNPA2B1/SYNCRIP/NCBP2/PCNA/SNRPD1/CBX3/SMARCC1/DUT/H2AZ1/HNRNPA1/CDK4/TFDP1/RRM1/SRSF2/HNRNPA3/ILF2/HDAC2/RANBP1/SRSF1/COX5A/CTPS1/NME1/TXNL4A/POLD2/CYC1/SF3B3/EIF1AX/SRSF3/DEK/ERH/PSMD14/CDK2/TOMM70/ORC2/SNRPD3/RFC4/VBP1/POLE3/RAN/NOP56/NCBP1/EIF4E/SET/PRPS2/PPM1G/XRCC6/NHP2/SNRPA/RNPS1/PA2G4/PPIA/C1QBP/PSMA4/SRPK1/COPS5/PSMB2/TYMS/CDC20/TARDBP/HDGF/LSM7/UBE2L3/CAD/NDUFAB1/PSMA2/MRPL9/RAD23B/SNRPB2/SERBP1/XPO1/ODC1/PSMD1/CCNA2/VDAC3/PWP1/MAD2L1/CCT5/PSMC6/PSMA7/HSPE1/SSB/AIMP2/DHX15/GOT2","hallmark","Maturation_R403C_specific"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,-0.425425902321838,-2.21308010940115,1.45146889032299e-10,1.45146889032299e-09,7.9448823470311e-10,6083,"tags=50%, list=29%, signal=36%","COL1A1/COL16A1/CDH11/LAMA1/VIM/CTHRC1/CXCL6/ECM1/TGM2/ITGB1/MYL9/FSTL3/SNAI2/COL5A1/ANPEP/FGF2/TNFRSF12A/EFEMP2/COL5A3/FBLN5/TNFAIP3/FUCA1/CXCL1/TPM2/CCN2/PPIB/LAMC1/CCN1/LRP1/IGFBP4/PLOD3/FSTL1/LOXL1/FBN2/SLIT2/GADD45A/LGALS1/SLC6A8/CALU/TGFB1/FBN1/FAP/PLOD2/IGFBP2/BGN/CRLF1/CDH6/PMP22/TIMP1/COL5A2/TFPI2/WIPF1/ABI3BP/SAT1/SDC4/HTRA1/ITGB5/MATN3/GJA1/IL15/DAB2/MMP2/LOX/ITGA5/MMP14/PDLIM4/TIMP3/SLIT3/GADD45B/SPARC/NOTCH2/THBS2/WNT5A/SNTB1/PTX3/COL1A2/SERPINE2/SERPINH1/COL8A2/PRRX1/JUN/LAMA2/PLOD1/MEST/NID2/EMP3/PCOLCE/P3H1/VEGFA/TGFBR3/FBLN2/FMOD/GEM/PDGFRB/COL6A2","hallmark","Maturation_R403C_specific"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",182,-0.388605635542005,-2.00976449117033,8.87735347524928e-08,6.3409667680352e-07,3.47084496776664e-07,5998,"tags=45%, list=28%, signal=33%","CP/ANXA2/ENO1/ALDOB/CXCR4/LXN/MXI1/TGM2/ISG20/TES/CDKN1A/ENO3/COL5A1/PNRC1/ETS1/TNFAIP3/SLC2A1/CCN2/GPC3/GCK/CCN1/ERO1A/KLF6/KDM3A/PIM1/SULT2B1/WSB1/ALDOC/VLDLR/PLAC8/BGN/SDC2/HSPA5/DDIT4/GBE1/SLC2A3/ATP7A/SDC4/TMEM45A/MAFF/EXT1/FOS/ADORA2B/S100A4/PGK1/LOX/AMPD3/XPNPEP1/STC2/HEXA/HMOX1/HK2/ATF3/STBD1/SELENBP1/IRS2/PPP1R15A/ALDOA/JUN/CHST3/HK1/BTG1/KDELR3/CITED2/TPST2/HAS1/P4HA2/BHLHE40/MAP3K1/NR3C1/FAM162A/DDIT3/F3/VEGFA/PYGM/CDKN1C/ZFP36/PGF/DTNA/AK4/TIPARP/P4HA1","hallmark","Maturation_R403C_specific"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",77,-0.511802555456585,-2.29169455357758,2.12400342545441e-07,1.327502140909e-06,7.2663275081335e-07,4346,"tags=49%, list=21%, signal=39%","LGALS3BP/IFITM2/SELL/PLSCR1/DDX60/SP110/UBA7/LPAR6/TENT5A/OGFR/DHX58/PARP9/STAT2/GBP2/IL15/IFI35/RIPK2/IFITM3/IRF7/IFI30/SAMD9/HELZ2/TRIM5/ELF1/IFITM1/EPSTI1/IFIH1/B2M/BST2/TRIM21/PARP12/GMPR/IRF2/ISG15/PARP14/CD74/MX1/C1S","hallmark","Maturation_R403C_specific"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,0.435570731604614,2.03907626998849,3.41109572489062e-07,1.89505318049479e-06,1.0372922672182e-06,4910,"tags=42%, list=23%, signal=33%","ERCC8/POLA1/PRIM1/POLD1/LIG1/CSTF3/VPS37B/UPF3B/SSRP1/RPA2/POLE4/POLA2/RFC2/POLD3/GSDME/GTF2H5/NCBP2/PCNA/RFC5/ZWINT/DGCR8/POLR2D/DUT/RPA3/RAD51/FEN1/NME1/GTF3C5/RFC3/RALA/SAC3D1/SRSF6/PDE4B/POLR3C/VPS28/RFC4/ALYREF/GTF2H3/UMPS/POM121/RBX1/POLB/NFX1/NME4/ITPA/TK2/TAF6/AGO4/POLR1C/NELFCD/NT5C3A/RAE1/TP53/TYMS/POLR2I/DGUOK/POLR2H/REV3L","hallmark","Maturation_R403C_specific"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",187,-0.361305493844255,-1.87539683218627,1.1193423038402e-06,5.59671151920099e-06,3.06346314735212e-06,4570,"tags=45%, list=22%, signal=36%","DDB2/ITGB4/WRAP73/ZMAT3/CDKN1A/TOB1/EPS8L2/TAX1BP3/PROCR/PIDD1/FUCA1/VWA5A/MXD1/XPC/KLF4/KRT17/SPHK1/CDKN2A/ADA/COQ8A/TNNI1/CTSD/GADD45A/RPL18/DGKA/IRAG2/TGFB1/PLXNB2/BTG2/ST14/CGRRF1/RGS16/SOCS1/TRIB3/PVT1/ZFP36L1/ANKRA2/CD81/DDIT4/NINJ1/ABHD4/RHBDF2/BMP2/PTPN14/SAT1/RPS12/FOS/PTPRE/RACK1/TCHH/S100A4/APP/PLK3/IFI30/TPD52L1/CD82/HMOX1/MKNK2/ATF3/EPHA2/RRAD/PERP/TSPYL2/ISCU/SLC7A11/PPP1R15A/ERCC5/CCNK/JUN/RPL36/DEF6/OSGIN1/BTG1/EPHX1/H1-2/HEXIM1/VAMP8/SLC3A2/SERTAD3/FAM162A/DDIT3/PDGFA/GM2A/CCNG1/STOM","hallmark","Maturation_R403C_specific"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",148,-0.388851682192616,-1.95076705082634,3.22368180657245e-06,1.46530991207839e-05,8.02064372927116e-06,5672,"tags=46%, list=27%, signal=34%","ISG20/EIF2AK2/CDKN1A/CD274/RNF213/IRF5/ITGB7/CCL2/STAT4/TNFAIP3/CMPK2/NMI/BPGM/IL18BP/PTGS2/CASP7/VAMP5/PIM1/LGALS3BP/IFITM2/PLSCR1/DDX60/TNFAIP2/SP110/FGL2/SOCS1/SSPN/ARL4A/ICAM1/RBCK1/OGFR/LATS2/DHX58/CD40/ARID5B/PML/STAT2/IL15/IFI35/RIPK2/IFITM3/IRF7/IFI30/HELZ2/PLA2G4A/SERPING1/EPSTI1/IFIH1/B2M/OAS3/MX2/BST2/BTG1/NOD1/GZMA/IRF4/TRIM21/VAMP8/PARP12/HLA-A/STAT1/IRF2/ISG15/PARP14/CD74/MX1/C1S/MVP","hallmark","Maturation_R403C_specific"
