"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",74,-0.666243628571591,-2.96489922419122,3.43642058298885e-16,1.21992930696104e-13,9.51345908764283e-14,4937,"tags=74%, list=23%, signal=57%","RPS27A/RPL35/RPL17/RPL13/RPL7/RPL41/RPL3/RPL29/RPS27/RPL18/RPS4X/RPLP1/RPL32/RPL30/RPS15A/RPL15/RPL19/RPS7/RPL37/UBA52/RPL10A/RPL4/RPL5/RPL39/RPL37A/RPL9/RPL27/RPS20/FAU/RPS28/RPS3/RPS12/RPS23/RPS19/RPL34/RPL12/RPL8/RPS8/RPL13A/RPL21/RPL31/RPL11/RPS16/RPS29/RPL14/RPL38/RPL26/RPS14/RPS2/RPL36/RPL24/RPL23/RPL27A/RPL6/RPL35A","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,0.841897576237799,2.92748921855511,6.46364348766705e-15,1.1472967190609e-12,8.94704335398123e-13,2172,"tags=90%, list=10%, signal=81%","MCM2/MCM5/POLA1/GINS2/MCM7/PRIM1/MCM6/MCM4/POLE/GINS1/POLE2/CDC45/MCM3/RPA2/POLE4/GINS3/WDHD1/POLA2/RFC2/PRIM2/PCNA/RFC5/RPA3/GINS4/MCM10/RFC1/RFC3","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",32,0.800710165485517,2.82854593394911,9.1672613783904e-13,1.08479259644286e-10,8.45961313163746e-11,3140,"tags=78%, list=15%, signal=67%","RAD51D/POLD1/XRCC2/POLE/POLE2/XRCC3/RPA2/POLE4/RFC2/POLD3/PCNA/RFC5/PALB2/RAD51C/RPA3/RAD51/RAD54L/BRCA2/BRCA1/RFC1/POLD2/RFC3/RAD54B/RFC4/POLE3","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR",26,0.778745449973931,2.61317888799243,7.71656929652841e-10,6.84845525066896e-08,5.34067822364992e-08,3140,"tags=85%, list=15%, signal=72%","POLD1/LIG1/PMS1/POLE/MLH3/POLE2/RPA2/POLE4/MSH6/RFC2/POLD3/PCNA/EXO1/RFC5/PMS2/RPA3/MSH2/RFC1/POLD2/RFC3/RFC4/POLE3","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",16,0.866517066616688,2.55281069453703,2.10483811093792e-09,1.49443505876592e-07,1.16541562774036e-07,1798,"tags=75%, list=9%, signal=69%","MCM2/MCM5/GINS2/MCM7/MCM6/MCM4/GINS1/CDC45/MCM3/GINS3/TRAIP/GINS4","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,0.755015929764879,2.55616146729066,8.21556213148576e-09,4.86087426112908e-07,3.79068919400133e-07,4452,"tags=93%, list=21%, signal=73%","MCM2/MCM5/GINS2/MCM7/MCM6/MCM4/POLE/GINS1/POLE2/CDC45/MCM3/RECQL4/POLE4/GINS3/ORC1/TICRR/TOPBP1/GINS4/MTBP/CDT1/ORC2/POLE3/ORC5/ORC3/ORC6","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA","KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA",30,0.715289427847564,2.48724090349291,7.46319921505676e-08,3.78490817335021e-06,2.95161111813523e-06,4527,"tags=73%, list=21%, signal=58%","SRSF7/NUP93/NUP210/NUP54/DDX19B/NUP214/NUP155/NUP62/NUP88/NUP85/SRSF3/NUP107/ALYREF/SEH1L/POM121/NCBP1/NUP188/NUP160/GLE1/NUP133/NDC1/NUP205","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER","KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",17,0.807232926358007,2.42010050228658,2.78145529154178e-07,1.23427078562166e-05,9.6252992325722e-06,3465,"tags=94%, list=16%, signal=79%","POLD1/LIG1/POLE/POLE2/POLE4/RFC2/POLD3/PCNA/RFC5/RFC1/FEN1/POLD2/RFC3/RFC4/POLE3/POLB","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",21,0.739703595821218,2.34840042448849,9.61254981849893e-07,3.79161687285236e-05,2.95684280966692e-05,2563,"tags=62%, list=12%, signal=54%","MCM2/MCM5/GINS2/MCM7/MCM6/MCM4/GINS1/CDC45/MCM3/GINS3/LRR1/GINS4/CUL2","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY",79,-0.471914869252927,-2.12644753499403,1.34644500033547e-06,4.7798797511909e-05,3.72752668513924e-05,3236,"tags=37%, list=15%, signal=31%","IGF2/NGFR/IGF1/FGF7/MET/PDGFRA/NTF4/FLT1/ERBB2/RET/FGF18/FLT3LG/FGFR2/EPHA2/FGF19/ERBB3/FGF23/GDNF/CSF1R/PDGFA/VEGFA/ANGPT4/PDGFD/KDR/FGF8/PGF/PSPN/PDGFRB/ANGPT2","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,0.689030481799195,2.26257714950067,7.27155383307949e-06,0.000234672873703929,0.000183006570153101,5530,"tags=92%, list=26%, signal=68%","MCM2/MCM5/MCM7/MCM6/MCM4/CDC45/MCM3/ORC1/TICRR/CCNE2/CDC7/MTBP/CDT1/CDK2/ORC2/ORC5/ORC3/CCNE1/ORC6/ORC4/CDC6/CCNA2","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY","KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY",19,0.734378424354294,2.26952603032929,8.19913061420479e-06,0.000242557614003558,0.000189155381713672,4124,"tags=74%, list=20%, signal=59%","FANCA/FAAP24/FANCG/TOPBP1/FANCB/FANCI/FANCC/FANCM/FANCD2/CENPX/FAAP100/FANCE/UBE2T/FANCL","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",15,0.756761477010906,2.1868228079134,2.68054340902755e-05,0.000679709221574843,0.000530062343288906,3545,"tags=73%, list=17%, signal=61%","RPA2/PALB2/RPA3/FANCI/BRIP1/BRCA2/BRCA1/MCM8/FANCD2/MCM9/HROB","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY","KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY",70,-0.461032932096699,-2.02701661832514,2.57254033063969e-05,0.000679709221574843,0.000530062343288906,3236,"tags=37%, list=15%, signal=32%","IGF2/NGFR/IGF1/FGF7/MET/PDGFRA/NTF4/FLT1/ERBB2/FGF18/FLT3LG/FGFR2/EPHA2/FGF19/ERBB3/FGF23/CSF1R/PDGFA/VEGFA/ANGPT4/PDGFD/KDR/FGF8/PGF/PDGFRB/ANGPT2","kegg","Maturation_R403C_specific"
"KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION","KEGG_MEDICUS_REFERENCE_CORE_NER_REACTION",26,0.635707451737558,2.13319678705752,3.52171579878753e-05,0.000833472739046383,0.000649972810583243,3140,"tags=50%, list=15%, signal=43%","POLD1/LIG1/POLE/POLE2/RPA2/POLE4/POLD3/GTF2H5/PCNA/RPA3/POLD2/GTF2H3/POLE3","kegg","Maturation_R403C_specific"
