"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",195,0.404182373706945,1.89130048078794,5.76497225280388e-07,2.88248612640194e-05,2.36667281957212e-05,6829,"tags=48%, list=32%, signal=33%","RAD50/ASF1A/TIMELESS/SMC6/NASP/NBN/PMS2/MCM5/MCM2/MCM3/CNOT9/RAD51AP1/XPO1/H2AX/HNRNPD/MCM6/CHEK2/DNMT1/PNN/POLD1/ANP32E/WDR90/RBBP7/EXOSC8/RFC1/KIF18B/POLE4/RAD51C/MCM7/POLE/ORC2/PAN2/HUS1/RNASEH2A/CDK4/E2F8/PRIM2/RPA2/UNG/CENPM/TP53/SYNCRIP/PRPS1/SLBP/CTPS1/HELLS/SMC3/MCM4/SRSF2/EED/GINS4/STAG1/TRA2B/HMGB3/CHEK1/SNRPB/SPC24/CDC25A/POLA2/STMN1/GINS1/NUP107/TK1/CTCF/MYBL2/NME1/PRKDC/RFC3/RRM2/POLD3/GINS3/PCNA/BUB1B/AURKB/DCLRE1B/NAP1L1/LMNB1/CDC25B/BRCA1/DIAPH3/EZH2/PDS5B/ORC6/H2AZ1/HMGB2/USP1/DEK/SUV39H1/RFC2/ESPL1/ILF3/SMC1A/TIPIN/LIG1","hallmark","R403C_vs_Ctrl_D65"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",136,0.420499947073727,1.87384832887741,7.67674967653482e-06,0.000191918741913371,0.000157575388097294,4237,"tags=36%, list=20%, signal=29%","BPHL/PTPRG/ACOT2/GPD1/IL4I1/IDH3B/EHHADH/DLST/ALDH3A2/NBN/NCAPH2/ACAA2/ACAA1/SLC22A5/INMT/GCDH/PDHB/PPARA/FH/GLUL/UROS/HSD17B4/CA4/ODC1/HADHB/CD1D/HIBCH/DLD/AADAT/CRYZ/HADH/ENO3/D2HGDH/ACSL1/ACO2/ACADL/GPD2/MLYCD/BLVRA/ACADM/HSD17B10/CPT2/HPGD/ECI1/S100A10/SUCLA2/BCKDHB/UROD/SMS","hallmark","R403C_vs_Ctrl_D65"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,0.340185911224099,1.58658349488413,0.000649398842214636,0.0108233140369106,0.0088865104724108,5747,"tags=33%, list=27%, signal=24%","EDIL3/ELN/GAS1/GPX7/SPOCK1/COL12A1/COL16A1/DCN/TNC/ID2/MSX1/POSTN/VEGFC/FBLN1/IGFBP4/SGCG/SFRP4/QSOX1/NOTCH2/SLIT2/WNT5A/PTHLH/SLIT3/FAP/SFRP1/NID2/BMP1/COL7A1/TIMP3/MCM7/FZD8/PCOLCE2/DKK1/CAP2/FUCA1/ECM1/COPA/LAMA3/FSTL3/LAMA1/TNFRSF11B/NNMT/PLAUR/MGP/GPC1/OXTR/CXCL12/VCAN/NT5E/BGN/CD44/CTHRC1/PDLIM4/FN1/HTRA1/SPP1/CRLF1/PCOLCE/FBN1/SERPINE2/SDC4/ITGA2","hallmark","R403C_vs_Ctrl_D65"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",187,-0.313823235388332,-1.4731436406533,0.00536163931579404,0.044680327631617,0.0366849005817487,4921,"tags=30%, list=23%, signal=24%","RPS27L/H2AJ/EPHA2/RNF19B/FOXO3/DDIT4/RALGDS/AEN/HINT1/BLCAP/SESN1/ABCC5/GLS2/ATF3/PMM1/FAM162A/HSPA4L/FDXR/ABAT/RRP8/TCHH/GM2A/RPL18/PPP1R15A/EPHX1/BAIAP2/ZMAT3/COQ8A/RGS16/HMOX1/KRT17/FOS/CGRRF1/TSPYL2/BTG1/WWP1/PTPRE/VWA5A/PLK3/TNFSF9/BTG2/RACK1/PRMT2/RPL36/IER5/CCNK/H1-2/HEXIM1/MXD1/IP6K2/NOTCH1/ERCC5/DEF6/PVT1/JUN/CCNG1/STOM","hallmark","R403C_vs_Ctrl_D65"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",175,0.318239439584259,1.46922351569868,0.00464287040820117,0.044680327631617,0.0366849005817487,3875,"tags=26%, list=18%, signal=21%","HOMER2/CCN5/COX6C/IDH2/CDH1/KLF4/BCL2/HR/SLC29A1/ST6GALNAC2/PTGES/ALDH3A2/SGK1/GFUS/PKP3/SLC24A3/ID2/SLC22A5/IGFBP4/SEMA3B/CXCL14/IMPA2/RPS6KA2/FRK/GPER1/TRIM29/DHRS2/SLC1A4/WFS1/OPN3/MDK/SCUBE2/NBL1/MOCS2/FABP5/GJB3/NRIP1/CD9/RNASEH2A/EGR3/HPRT1/ACOX2/GLA/ABCA3/XRCC3","hallmark","R403C_vs_Ctrl_D65"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,0.311863057656396,1.45930844404709,0.00433253101277541,0.044680327631617,0.0366849005817487,6729,"tags=43%, list=32%, signal=29%","DMD/ATRX/NASP/RASAL2/ATF5/MCM5/MCM2/UCK2/MCM3/HNRNPU/NOTCH2/XPO1/H2AX/ODC1/MNAT1/HNRNPD/MCM6/SMARCC1/SAP30/POLQ/CUL1/CDC45/EFNA5/HMGN2/HIF1A/HIRA/POLE/DTYMK/HUS1/EXO1/CDK4/PRIM2/CHAF1A/E2F4/RPA2/SYNCRIP/E2F1/NUMA1/MT2A/SRSF2/STAG1/TRA2B/KIF5B/HMGB3/CHEK1/CDC25A/POLA2/STMN1/SRSF10/CTCF/MYBL2/FANCC/TRAIP/MTF2/NDC80/RAD23B/TFDP1/RAD54L/PRMT5/CUL4A/AURKB/PBK/SLC38A1/ABL1/LMNB1/CDC25B/SMAD3/GINS2/ORC5/EZH2/TTK/SMC2/PDS5B/ORC6/LIG3/H2AZ1/FBXO5/KATNA1/MAP3K20/SUV39H1/ESPL1/ILF3/SMC1A","hallmark","R403C_vs_Ctrl_D65"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION","GOBP_DNA_TEMPLATED_DNA_REPLICATION",155,0.47023085515809,2.13614979697685,2.50622969031781e-09,6.14533094856344e-06,5.89692209154347e-06,6861,"tags=57%, list=32%, signal=39%","SLFN11/RAD50/ETAA1/FAM111A/ASF1A/TIMELESS/RTEL1/SMARCAL1/TONSL/ATRX/NBN/DBF4B/ATR/PRIMPOL/BAZ1A/POLN/MCM5/MCM2/MCM3/WIZ/TOPBP1/METTL4/MCM6/TERF1/SETMAR/POLD1/DACH1/POLQ/DDX11/PRIM1/GEN1/RFC1/CDC45/BLM/POLE4/POLE2/MCM7/POLE/ORC2/EXO1/WDR18/DYNLL1/E2F8/PRIM2/CDK2/POLA1/ENDOG/LRWD1/MCM9/POLG/MCM4/RAD51/GINS4/WDHD1/NYNRIN/POLA2/FANCM/PNKP/RECQL/GINS1/TK1/ORC3/TRAIP/RFC3/POLD3/RFWD3/GINS3/PCNA/FBH1/RFC5/ZRANB3/ORC1/RECQL5/BRCA1/MCM10/ORC5/SAMHD1/ORC6/LIG3/FBXO5/MCM8/FEN1/CHRAC1/PARP1/EME2/RFC2/TIPIN/LIG1/TICRR","gobp","R403C_vs_Ctrl_D65"
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",259,0.409101433820197,1.98270544152114,2.5685813787099e-09,6.14533094856344e-06,5.89692209154347e-06,7065,"tags=52%, list=33%, signal=35%","SLFN11/RAD50/NFIC/ETAA1/FAM111A/TBRG1/ASF1A/TIMELESS/RTEL1/SMARCAL1/TONSL/ATRX/NASP/NBN/DBF4B/ATR/PRIMPOL/BAZ1A/POLN/MCM5/INO80C/MCM2/MCM3/ANKRD17/ATF1/PDS5A/MCRS1/WIZ/TOPBP1/METTL4/MCM6/TERF1/SETMAR/POLD1/DACH1/POLQ/RBBP7/DDX11/PRIM1/ESCO1/GEN1/FAM111B/RFC1/CDC45/BLM/POLE4/SUPT16H/POLE2/MCM7/POLE/ORC2/EXO1/RNASEH2A/WDR18/DYNLL1/E2F8/PRIM2/CHAF1A/RPA2/CDK2/TP53/POLA1/ENDOG/NFRKB/INO80E/LRWD1/MCM9/CTC1/JADE3/SMC3/POLG/MCM4/RAD51/GINS4/WDHD1/NYNRIN/CHTF18/CHEK1/CDC25A/POLA2/FANCM/EGFR/PNKP/RBBP4/RECQL/GINS1/TK1/RMI1/ORC3/DTL/RUVBL1/RBMS1/UCHL5/TRAIP/RFC3/POLD3/RFWD3/GINS3/CHAF1B/PCNA/FBH1/RFC5/ZRANB3/NAP1L1/ACTL6A/DHX9/ORC1/KIN/RECQL5/SMARCA5/BRCA1/GINS2/MCM10/ORC5/SAMHD1/DNAJC2/ORC6/LIG3/FBXO5/PCLAF/MCM8/FEN1/CHRAC1/PARP1/EME2/RFC2/TIPIN/LIG1/TICRR/NFIX/GMNN/RBBP6/RUVBL2/PTMS/BRCA2","gobp","R403C_vs_Ctrl_D65"
"GOBP_DOUBLE_STRAND_BREAK_REPAIR","GOBP_DOUBLE_STRAND_BREAK_REPAIR",299,0.381789915412555,1.88023160913397,9.15391152948417e-09,1.46004888895272e-05,1.40103024882842e-05,7341,"tags=58%, list=35%, signal=38%","RAD50/HSF2BP/ZCWPW1/UBQLN4/FIGNL1/PARP3/HMGB1/SMARCAD1/RAD51D/TIMELESS/SMC6/RTEL1/SMARCAL1/TONSL/ERCC8/SHLD3/NBN/USP51/ATR/BRD7/POLN/MCM5/XRCC4/MCM2/AP5S1/DMAP1/NSMCE4A/MCM3/FH/RAD51AP1/SMARCA2/WAS/TNKS1BP1/OGG1/H2AX/SMARCA4/TOPBP1/ZGRF1/NIPBL/NUDT16L1/MCM6/CHEK2/SMARCC1/EYA3/RHNO1/ATM/PPP4R3B/SETMAR/MPND/FANCB/POLQ/POGZ/DDX11/APLF/PPP5C/GEN1/CDC45/BLM/PALB2/NSMCE1/RAD51C/DMC1/MCM7/MAGEF1/IFFO1/BCL7B/SPIDR/HUS1/ZSWIM7/POT1/RPA2/AP5Z1/BRIP1/TOP2B/TP53/POLA1/YEATS4/MBTD1/CYREN/PSMD14/XRCC3/RAD51B/XRCC2/MCM9/DCLRE1A/FAN1/MCM4/BABAM2/TP53BP1/RAD51/GINS4/ARID1B/SENP3/PARPBP/CHEK1/SFR1/FANCM/ZFYVE26/PNKP/DDX1/RECQL/KAT5/RMI1/ERCC6/KDM1A/TWIST1/MRGBP/UBE2V2/FUS/RUVBL1/UHRF1/ZBTB7A/PRKDC/SLF2/ZMYND8/SETD2/CDCA5/RFWD3/XRCC5/RAD54L/FBH1/PPP4C/OTUB1/C1QBP/DCLRE1B/ABL1/ACTL6A/RAD54B/RECQL5/MAD2L2/BRCA1/HTATSF1/TEX15/GINS2/SKP2/ERCC4/SAMHD1/ABRAXAS1/BRCC3/VCP/ACTB/LIG3/HMGB2/BRD8/MCM8/FEN1/HMGA2/RNF8/DEK/LIG4/ATRIP/PARP1/EME2/SHLD2/PRPF19/SETX/HUS1B/BABAM1/XRCC6/RUVBL2/BRCA2/SMARCD1/SEM1/KDM4D/SFPQ/ARID1A/FANCD2/RIF1/MSH2/PAXX/TRRAP/RBBP8/DNA2","gobp","R403C_vs_Ctrl_D65"
"GOBP_DNA_RECOMBINATION","GOBP_DNA_RECOMBINATION",303,0.369458179142847,1.82279163083913,6.36266533606104e-08,7.61133840826302e-05,7.30367005155217e-05,7320,"tags=56%, list=35%, signal=37%","RAD50/HSF2BP/ZCWPW1/UBQLN4/FIGNL1/PARP3/HMGB1/CTBP1-DT/SMARCAD1/ANKRD31/RAD51D/TIMELESS/SMC6/RTEL1/MLH3/TONSL/SHLD3/NBN/USP51/LEF1/PMS2/POLN/RNF212B/MCM5/INO80C/XRCC4/MCM2/TNFSF13/AP5S1/DMAP1/NSMCE4A/MCM3/PAXIP1/RAD51AP1/WAS/H2AX/MCRS1/TOPBP1/TOP3B/ZGRF1/NIPBL/MCM6/RHNO1/ATM/FANCB/POLQ/POGZ/APLF/TOP6BL/GEN1/CDC45/BLM/PALB2/NSMCE1/RAD51C/DMC1/MCM7/MAGEF1/SPIDR/HUS1/EXO1/ZSWIM7/RPA2/AP5Z1/UNG/BRIP1/TERT/TOP2B/ENDOG/YEATS4/STAT6/MBTD1/CYREN/PSMD14/HFM1/CD40/NFRKB/XRCC3/INO80E/RAD51B/XRCC2/MCM9/APEX2/MSH4/FAN1/MCM4/IL7R/TP53BP1/TNFSF4/RAD51/GINS4/SENP3/TCF3/HMGB3/PARPBP/CHEK1/SFR1/FANCM/ZFYVE26/RECQL/KAT5/RMI1/ERCC6/KDM1A/MRGBP/FUS/SLC15A4/RUVBL1/UHRF1/SANBR/PRKDC/HROB/UCHL5/BCL11B/CLCF1/SLF2/ZMYND8/SETD2/RFWD3/XRCC5/RAD54L/FBH1/PPP4C/H1-3/C1QBP/ABL1/ACTL6A/RAD54B/KIN/RECQL5/H1-0/MAD2L2/BRCA1/HTATSF1/TEX15/GINS2/SKP2/ERCC4/SAMHD1/ACTB/LIG3/HMGB2/BRD8/MCM8/FEN1/RNF8/LIG4/PARP1/EME2/SHLD2/MSH6/SETX/LIG1/HUS1B/H1-7/XRCC6/RUVBL2/BRCA2/SEM1/KDM4D/SFPQ/FANCD2/ATAD5/RIF1/MSH2/ERCC2/TRRAP/PCYT1A/RBBP8","gobp","R403C_vs_Ctrl_D65"
