"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",74,-0.657892149289072,-2.66510935685292,3.67272350705187e-11,1.30381684500341e-08,1.21006574495498e-08,4918,"tags=73%, list=23%, signal=56%","RPS21/RPL31/RPS24/RPL7/RPL10/RPS11/RPS15/RPL17/RPL23/RPS20/RPL18A/RPL19/RPL41/RPL37A/RPS14/RPL27/RPL4/RPL9/RPL13/RPS7/RPS8/RPL35/RPL32/RPL29/RPS15A/RPL39/RPL18/RPS3/RPL13A/RPL34/RPS13/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/FAU/RPS16/RPS19/RPL37/RPL21/RPS29/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A/RPS2/RPS4Y1","kegg","R403C_vs_Ctrl_D65"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,0.642498325703965,2.1399650123846,3.11550362780439e-05,0.00553001893935279,0.00513238229211986,6073,"tags=83%, list=29%, signal=59%","MCM5/MCM2/MCM3/MCM6/PRIM1/RFC1/CDC45/POLE4/POLE2/MCM7/POLE/PRIM2/RPA2/POLA1/MCM4/GINS4/WDHD1/POLA2/GINS1/RFC3/GINS3/PCNA/RFC5/GINS2/MCM10","kegg","R403C_vs_Ctrl_D65"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",32,0.596827835683935,2.01875588664739,0.000151288743863987,0.0179025013572385,0.0166152199401502,7868,"tags=84%, list=37%, signal=53%","RAD51D/POLD1/RFC1/PALB2/POLE4/POLE2/RAD51C/POLE/RPA2/XRCC3/RAD51B/XRCC2/RAD51/RFC3/POLD3/RAD54L/PCNA/RFC5/RAD54B/BRCA1/RFC2/BRCA2/SEM1/POLD2/RPA1/RFC4/RPA3","kegg","R403C_vs_Ctrl_D65"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,0.623084901760203,2.02298201651278,0.000278925901457871,0.024754673754386,0.0229746860937667,6305,"tags=78%, list=30%, signal=55%","MCM5/MCM2/MCM3/TOPBP1/MCM6/MTBP/CDC45/POLE4/POLE2/MCM7/POLE/ORC2/MCM4/GINS4/GINS1/ORC3/GINS3/ORC1/GINS2/ORC5/ORC6","kegg","R403C_vs_Ctrl_D65"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",83,-0.657993770731943,-2.71908445601828,2.90574988054945e-13,3.76294609531153e-10,3.40431538637004e-10,4921,"tags=70%, list=23%, signal=54%","RPS27L/RPS24/RPL7/RPL10/RPS11/RPS15/RPL17/RPL23/RPL39L/RPS20/RPL18A/RPL19/RPL41/RPL37A/RPS14/RPL27/RPL4/EEF1A2/RPL9/RPL13/RPS7/EEF2/RPS8/RPL35/RPL32/RPL29/RPS15A/RPL39/RPL18/RPS3/RPL13A/RPL34/RPS13/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/FAU/EEF1A1/RPS16/RPS19/RPL22L1/RPL37/RPL21/RPS29/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A/RPS2/RPS4Y1","reactome","R403C_vs_Ctrl_D65"
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",93,-0.610179809791973,-2.5748698122373,5.5528497431169e-11,2.39698013911213e-08,2.16853395231197e-08,5824,"tags=71%, list=28%, signal=52%","RPS27A/RPL5/DDIT3/RPL3/TRIB3/RPS21/RPL31/RPS27L/RPS24/RPL7/RPL10/RPS11/RPS15/RPL17/RPL23/RPL39L/RPS20/ATF4/RPL18A/RPL19/RPL41/RPL37A/RPS14/ATF2/RPL27/ATF3/RPL4/RPL9/RPL13/RPS7/RPS8/RPL35/RPL32/RPL29/RPS15A/RPL39/RPL18/EIF2AK4/RPS3/RPL13A/RPL34/RPS13/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/FAU/RPS16/RPS19/RPL22L1/RPL37/RPL21/RPS29/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A/RPS2/RPS4Y1","reactome","R403C_vs_Ctrl_D65"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",103,-0.597119235676987,-2.56453069544681,5.19707301037766e-11,2.39698013911213e-08,2.16853395231197e-08,4921,"tags=60%, list=23%, signal=46%","RPS27A/RPL5/RPN1/RPL3/RPS21/RPL31/RPS27L/RPS24/SRP54/RPL7/RPL10/RPS11/RPS15/RPL17/RPL23/RPL39L/RPS20/RPL18A/RPL19/RPL41/RPL37A/RPS14/RPL27/RPL4/RPL9/RPL13/RPS7/RPS8/RPL35/RPL32/RPL29/RPS15A/RPL39/RPL18/RPS3/RPL13A/RPL34/RPS13/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/FAU/RPS16/RPS19/RPL22L1/RPL37/RPL21/RPS29/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A/RPS2/RPS4Y1","reactome","R403C_vs_Ctrl_D65"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",109,-0.570513303432105,-2.47286690220056,1.5787644773738e-10,5.11124999549768e-08,4.62411806136063e-08,4921,"tags=65%, list=23%, signal=50%","RPS27A/EIF5/RPL5/EIF3G/RPL3/RPS21/RPL31/RPS27L/RPS24/RPL7/RPL10/RPS11/EIF3M/RPS15/RPL17/EIF3H/RPL23/EIF3L/RPL39L/RPS20/RPL18A/RPL19/RPL41/RPL37A/RPS14/RPL27/RPL4/RPL9/RPL13/RPS7/EIF4B/RPS8/EIF4A2/RPL35/RPL32/RPL29/RPS15A/RPL39/RPL18/RPS3/RPL13A/EIF3D/RPL34/RPS13/PABPC1/RPL11/RPL8/UBA52/EIF3F/EIF3E/RPL15/RPL10A/RPL26/FAU/RPS16/RPS19/RPL22L1/RPL37/RPL21/RPS29/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/RPL35A/RPS2/RPS4Y1","reactome","R403C_vs_Ctrl_D65"
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD","REACTOME_NONSENSE_MEDIATED_DECAY_NMD",106,-0.547580653854915,-2.36177504335462,5.73627719657659e-09,1.48569579391334e-06,1.34410031995574e-06,4921,"tags=56%, list=23%, signal=43%","RPS27L/RPS24/RPL7/RPL10/RPS11/RBM8A/RPS15/RPL17/RPL23/RPL39L/SMG7/RPS20/RPL18A/RPL19/RPL41/RPL37A/RPS14/RPL27/RPL4/RPL9/RPL13/RPS7/RPS8/RPL35/RPL32/RPL29/RPS15A/RPL39/RPL18/RPS3/RPL13A/RPL34/RPS13/PABPC1/RPL11/RPL8/UBA52/RPL15/RPL10A/RPL26/FAU/RPS16/RPS19/RPL22L1/RPL37/RPL21/RPS29/RPL36/RPL38/RPS23/RPL6/RPL27A/RPL24/RPL14/RPL36A/DCP1A/RPL35A/RPS2/RPS4Y1","reactome","R403C_vs_Ctrl_D65"
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR","REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",66,0.563540705324916,2.2218735722133,4.34651907211353e-07,9.3812369973117e-05,8.48715039870589e-05,7669,"tags=77%, list=36%, signal=49%","RAD50/FIGNL1/RAD51D/RTEL1/NBN/ATR/RAD51AP1/TOPBP1/RAD9B/RHNO1/ATM/POLD1/GEN1/RFC1/BLM/PALB2/POLE4/POLE2/RAD51C/POLE/SPIDR/HUS1/EXO1/RPA2/BRIP1/RAD9A/XRCC3/RAD51B/XRCC2/RAD51/CHEK1/FIRRM/KAT5/RMI1/RFC3/POLD3/PCNA/RFC5/BRCA1/ATRIP/EME2/RFC2/BRCA2/SEM1/UBB/POLD2/RBBP8/DNA2/RPA1/RMI2/RFC4","reactome","R403C_vs_Ctrl_D65"
