"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",195,-0.806626305959413,-3.75699219634806,2.53292786968681e-74,1.26646393484341e-72,7.1988476296362e-73,2785,"tags=79%, list=13%, signal=70%","MLH1/ORC2/NAA38/CDKN2C/POP7/POLD2/MMS22L/PPP1R8/NME1/CSE1L/CDKN3/NOP56/SMC6/AK2/PSMC3IP/PDS5B/STMN1/RFC3/NBN/DCTPP1/UBE2S/ING3/RAD51C/TRIP13/CTCF/TP53/ZW10/ATAD2/EED/RAN/BARD1/UBE2T/RAD50/SYNCRIP/EXOSC8/DSCC1/RFC1/PRPS1/HMMR/CKS2/TIPIN/RACGAP1/KPNA2/AURKA/ASF1A/PNN/RPA1/PAICS/DEPDC1/SMC3/RBBP7/ORC6/CDK4/EZH2/XRCC6/NUP107/CDCA3/MELK/DCLRE1B/PTTG1/SRSF1/TK1/UNG/CNOT9/NUP205/PRKDC/STAG1/PHF5A/CBX5/GINS4/DEK/CTPS1/E2F8/SNRPB/CKS1B/CENPE/RPA2/PRIM2/HMGB2/SPAG5/USP1/CHEK1/SPC25/KIF18B/MYBL2/WDR90/POLA2/DDX39A/RPA3/NCAPD2/RFC2/BRCA2/SRSF2/MCM6/RRM2/HELLS/H2AZ1/MSH2/MKI67/SSRP1/ANP32E/MCM4/PCNA/SMC4/BIRC5/KIF2C/CDCA8/LBR/POLD3/BRCA1/CIT/DLGAP5/RANBP1/CDK1/MAD2L1/GINS3/CENPM/HMGB3/CCNB2/DNMT1/HNRNPD/NAP1L1/PLK1/TRA2B/CDC25A/BUB1B/TACC3/KIF4A/CDC20/SPC24/POLE/GINS1/MCM3/TMPO/RAD51AP1/AURKB/POLD1/MCM7/TOP2A/ESPL1/NASP/MCM5/CHEK2/PLK4/ILF3/SUV39H1/SMC1A/H2AX/MCM2/DUT/KIF22/RNASEH2A/LMNB1/LIG1/TIMELESS","hallmark","Time_Ctrl"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.733325480052821,-3.41558177012922,5.2972728242254e-51,1.32431820605635e-49,7.52770348705715e-50,2235,"tags=63%, list=11%, signal=56%","CDKN3/RASAL2/NCL/SAP30/PDS5B/STMN1/UBE2S/PRP4K/CDC6/CTCF/NUP50/TRAIP/TOP1/BUB3/SFPQ/MARCKS/BARD1/RBM14/HIRA/PRMT5/PRC1/SYNCRIP/HMMR/CKS2/RACGAP1/KPNA2/AURKA/EWSR1/ODF2/DBF4/CUL1/STIL/ORC6/CDK4/TFDP1/EZH2/SNRPD1/PTTG1/SRSF1/E2F4/CENPA/RBL1/STAG1/NSD2/NEK2/DTYMK/CKS1B/BUB1/CENPE/KIF20B/RPA2/E2F1/PRIM2/UBE2C/NUSAP1/SRSF10/PBK/CHEK1/EXO1/MYBL2/POLA2/DDX39A/KIF23/CDC45/BRCA2/SRSF2/MCM6/FANCC/TPX2/CCNA2/H2AZ1/TROAP/MKI67/SMARCC1/SMC4/KNL1/POLQ/BIRC5/KIF2C/SMC2/LBR/CDK1/FBXO5/MAD2L1/KIF11/RAD54L/HMGB3/CENPF/CCNB2/CHAF1A/HNRNPD/TTK/PLK1/TRA2B/CDC25A/TACC3/INCENP/KIF4A/NDC80/CDC20/HNRNPU/POLE/MCM3/GINS2/TMPO/AURKB/CCNF/TOP2A/ESPL1/NASP/MCM5/PLK4/ILF3/SUV39H1/SMC1A/H2AX/MCM2/H2AZ2/KIF22/ODC1/LMNB1/HMGN2","hallmark","Time_Ctrl"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",186,-0.597234259852891,-2.76615047214471,1.60483550121899e-23,2.67472583536498e-22,1.52037047483904e-22,4623,"tags=57%, list=22%, signal=45%","CCT3/G3BP1/NCBP2/COPS5/EIF3B/PHB1/NPM1/PABPC4/UBE2L3/DHX15/PPIA/SRPK1/PSMD7/CSTF2/C1QBP/PSMC6/HSPD1/PA2G4/EIF4G2/CCT5/CCT7/PSMA2/PHB2/SSB/GLO1/XPO1/POLE3/HDAC2/TXNL4A/ORC2/NCBP1/POLD2/RNPS1/PPM1G/NME1/RPS6/ACP1/TRIM28/NOP56/NHP2/PCBP1/SERBP1/PSMA4/SET/RUVBL2/STARD7/SNRPG/PSMB2/PSMD14/SF3B3/HSPE1/CYC1/BUB3/RAN/YWHAQ/MRPL9/SYNCRIP/LSM7/RFC4/KPNA2/CAD/EIF1AX/SNRPD3/SRSF3/CUL1/CDK4/TFDP1/XRCC6/ILF2/SNRPD1/SRSF1/TARDBP/DEK/CTPS1/HDGF/USP1/TYMS/SNRPA/RRM1/CDC45/PRPS2/HNRNPA3/SRSF2/MCM6/ERH/CCNA2/HNRNPA2B1/H2AZ1/MCM4/SMARCC1/PCNA/RANBP1/MAD2L1/CDK2/HNRNPD/NAP1L1/TRA2B/HNRNPA1/CDC20/HNRNPU/MCM7/SRSF7/MCM5/MCM2/DUT/ODC1","hallmark","Time_Ctrl"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,-0.523871705902279,-2.33212068658107,1.72849090114509e-11,2.16061362643136e-10,1.22813827186625e-10,4010,"tags=42%, list=19%, signal=35%","CLP1/ARL6IP1/POLR3C/SAC3D1/POLR2K/POLR2F/ITPA/GTF2A2/POLR2G/RAE1/GTF2H3/POLR1C/DDB1/POLR2I/POM121/NME1/TAF6/POLR2E/SF3A3/RFC3/TP53/NT5C/CANT1/GTF3C5/NME4/UMPS/RBX1/POLR2J/VPS37B/SNAPC5/RFC4/DGCR8/CSTF3/SRSF6/UPF3B/POLR2H/PRIM1/ALYREF/NELFCD/RPA2/TYMS/RAD51/POLA2/FEN1/RPA3/TARBP2/ERCC8/RFC2/ZWINT/SSRP1/POLR2D/PCNA/POLD3/POLA1/POLD1/RFC5/DUT/LIG1","hallmark","Time_Ctrl"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",192,-0.457192829770994,-2.1258912365633,4.34134667583955e-10,4.34134667583955e-09,2.46771284731933e-09,2763,"tags=30%, list=13%, signal=26%","ANLN/SASS6/CCDC88A/MAPRE1/MID1/CEP131/LLGL1/RASAL2/CYTH2/SHROOM2/CENPJ/CKAP5/MARCKS/ECT2/PRC1/RFC1/RACGAP1/AURKA/SMC3/PCM1/PCNT/NEK2/BUB1/CENPE/KIF20B/NUSAP1/PIF1/KIF23/KNTC1/BRCA2/TPX2/DYNLL2/SMC4/BIRC5/KIF2C/DLGAP5/CDK1/EPB41/FGD6/FBXO5/NIN/KIF11/CENPF/CCNB2/TTK/PLK1/INCENP/KIF4A/NDC80/CEP192/TOP2A/TBCD/ESPL1/SMC1A/CDK5RAP2/KIF22/LMNB1","hallmark","Time_Ctrl"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",170,0.405416637375512,2.11367157450415,6.12983109749173e-09,5.10819258124311e-08,2.90360420407503e-08,4106,"tags=31%, list=19%, signal=25%","COL6A2/PFKM/SPEG/MYBPH/SPTAN1/ACHE/DTNA/ATP6AP1/APP/HSPB2/EIF4A2/NAV2/IFRD1/PPP1R3C/OCEL1/TNNC2/AEBP1/CKM/SORBS1/CRYAB/TNNT1/FOXO4/SLN/GABARAPL2/APLNR/FKBP1B/RYR1/VIPR1/ITGB4/SCHIP1/CDKN1A/EPHB3/BHLHE40/SPDEF/ACSL1/TGFB1/PPFIA4/CRAT/ITGA7/ANKRD2/FXYD1/AGRN/BIN1/CASQ1/GPX3/SGCA/CLU/LPIN1/HDAC5/MEF2C/TCAP/NOTCH1/SCD","hallmark","Time_Ctrl"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",182,0.394217847813944,2.0737585561066,1.12853157600237e-08,8.06093982858836e-08,4.58200790256601e-08,3890,"tags=33%, list=18%, signal=27%","IDS/VEGFA/FAM162A/SLC6A6/SCARB1/DTNA/GLRX/XPNPEP1/DDIT3/AK4/EFNA1/BCAN/JUN/IRS2/P4HA1/PPP1R3C/P4HA2/FOXO3/ZFP36/ALDOC/MXI1/ADORA2B/HK1/CA12/NDRG1/F3/KLF7/GCK/JMJD6/PNRC1/CDKN1A/KLHL24/BHLHE40/MAFF/BTG1/ALDOB/NR3C1/SULT2B1/SIAH2/PDK1/GALK1/PPFIA4/RBPJ/RORA/ENO2/NFIL3/KLF6/PFKP/FOS/PGF/TPD52/WSB1/PRKCA/ANKZF1/KDELR3/HAS1/HEXA/CCN5/TIPARP/ANGPTL4","hallmark","Time_Ctrl"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",77,0.500157572548599,2.27762531954511,7.73778363763197e-08,4.83611477351998e-07,2.74894945021136e-07,4017,"tags=44%, list=19%, signal=36%","IFIH1/C1S/PARP12/SP110/BST2/MX1/OGFR/IRF2/ISG15/IRF7/HERC6/UBA7/IFI30/NCOA7/USP18/EIF2AK2/IFIT3/PARP9/IFIT2/HELZ2/PARP14/IFI35/STAT2/B2M/IL7/PROCR/DHX58/SAMD9L/TRIM21/IFI44/SAMD9/LGALS3BP/TRIM14/SLC25A28","hallmark","Time_Ctrl"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",148,0.385478429513511,1.96799304501286,4.19817409464917e-07,2.33231894147176e-06,1.32573918778395e-06,5509,"tags=41%, list=26%, signal=30%","IFIH1/MVP/HLA-A/PML/C1S/RNF213/PARP12/SP110/BST2/MX1/IRF5/CD40/OGFR/IRF2/ISG15/IRF7/HERC6/IFI30/RBCK1/MARCHF1/USP18/EIF2AK2/IFIT3/IFIT2/HELZ2/CDKN1A/PARP14/BTG1/IFI35/STAT1/STAT2/RAPGEF6/B2M/IL7/PFKP/DHX58/SAMD9L/TRIM21/IFI44/LGALS3BP/TRIM14/SLC25A28/IFIT1/CD38/IRF4/FGL2/OAS3/ST3GAL5/ZNFX1/IL18BP/PELI1/IL10RA/IFNAR2/APOL6/TXNIP/NLRC5/RIPK2/LYSMD2/ICAM1/PTPN1","hallmark","Time_Ctrl"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",175,0.370826843573793,1.94010306553381,4.99487347910179e-07,2.49743673955089e-06,1.4195956203763e-06,5478,"tags=39%, list=26%, signal=29%","VEGFA/KLF9/IFIH1/TANK/CEBPB/EIF1/KLF10/B4GALT5/EFNA1/NFAT5/MYC/JUN/IRS2/SAT1/RELA/ZFP36/PTPRE/IER5/MXD1/F3/TNC/GFPT2/PNRC1/KLF2/IFIT2/CDKN1A/BHLHE40/MAFF/BCL3/BTG1/GEM/DNAJB4/PER1/SIK1/RHOB/KDM6B/BTG3/NFIL3/KLF6/RNF19B/FOS/NR4A3/ZBTB10/REL/NR4A1/BTG2/PLAU/SPSB1/SLC16A6/TIPARP/ABCA1/NFE2L2/BIRC2/G0S2/FOSB/TRIP10/TUBB2A/CCNL1/IER2/IL23A/PMEPA1/OLR1/MAP3K8/TNFSF9/DENND5A/LITAF/LDLR/RIPK2/ICAM1","hallmark","Time_Ctrl"
