"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,-0.894140471254691,-3.00571191221501,9.00847116956861e-19,3.19800726519686e-16,2.44651111763021e-16,1235,"tags=90%, list=6%, signal=85%","RFC1/RFC4/RPA1/PRIM1/GINS4/MCM10/RPA2/PRIM2/POLA2/RPA3/CDC45/WDHD1/RFC2/MCM6/MCM4/PCNA/GINS3/POLE2/POLE/GINS1/MCM3/GINS2/POLA1/MCM7/RFC5/MCM5/MCM2","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",19,-0.882990070198703,-2.65045396762168,5.34112527515298e-12,9.48049736339654e-10,7.25268589994457e-10,508,"tags=79%, list=2%, signal=77%","CENPX/SPC25/MIS12/ZWINT/CENPW/KNL1/BIRC5/CDCA8/NUF2/DSN1/INCENP/NDC80/SPC24/AURKB/PMF1","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",32,-0.7894402850315,-2.69465915729327,9.66037737021296e-12,9.79037240886449e-10,7.48974375533592e-10,1867,"tags=75%, list=9%, signal=68%","RFC3/PALB2/RAD51C/BARD1/RFC1/RFC4/RPA1/RAD51D/RPA2/RAD51/RPA3/RFC2/RAD54B/BRCA2/PCNA/POLD3/BRCA1/RAD54L/XRCC3/POLE2/XRCC2/POLE/POLD1/RFC5","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",21,-0.85913311348781,-2.64710874342858,1.10314055311149e-11,9.79037240886449e-10,7.48974375533592e-10,1399,"tags=71%, list=7%, signal=67%","RBX1/UBB/GINS4/LRR1/PIF1/CDC45/MCM6/MCM4/GINS3/GINS1/MCM3/GINS2/MCM7/MCM5/MCM2","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,-0.811748558357217,-2.66270606082817,1.61820116276299e-11,1.14892282556172e-09,8.78938736827056e-10,2881,"tags=85%, list=14%, signal=74%","POLE3/ORC2/TOPBP1/CDC6/CDT1/ORC6/GINS4/CDC45/MTBP/MCM6/MCM4/ORC1/GINS3/TICRR/POLE2/POLE/GINS1/MCM3/GINS2/RECQL4/MCM7/MCM5/MCM2","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR","KEGG_MEDICUS_REFERENCE_MISMATCH_REPAIR",26,-0.815837696085157,-2.65214784423668,2.32965031874826e-11,1.37837643859272e-09,1.05447330217027e-09,2881,"tags=85%, list=14%, signal=73%","POLE3/MLH1/POLD2/RFC3/RFC1/RFC4/RPA1/PMS1/MLH3/MSH6/RPA2/EXO1/RPA3/RFC2/MSH2/PCNA/POLD3/POLE2/POLE/POLD1/RFC5/LIG1","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA","KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA",30,-0.782447582563384,-2.63024893202122,2.86992058706758e-10,1.45545972629856e-08,1.11344287438111e-08,2714,"tags=77%, list=13%, signal=67%","NCBP1/POM121/NUP37/NXT2/NUP133/NUP35/NUP93/DDX19B/NUP88/NUP160/NUP188/NUP155/SRSF3/NUP54/NUP214/NUP107/NUP62/NUP205/NDC1/ALYREF/NUP85/SRSF7/NUP210","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",15,-0.893778232558644,-2.52122096826191,7.07402397233143e-10,3.13909813772207e-08,2.40144498008093e-08,1706,"tags=93%, list=8%, signal=86%","PALB2/BARD1/RPA1/UBB/BRIP1/MCM8/MCM9/RPA2/FANCI/RPA3/BRCA2/BRCA1/HROB/FANCD2","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,-0.795921860064027,-2.53633142650246,1.46772617906657e-09,5.78936437298481e-08,4.4289281192886e-08,2737,"tags=79%, list=13%, signal=69%","ORC2/CDC7/CDC6/DBF4/CDT1/ORC6/CCNE2/CDC45/MTBP/MCM6/CCNA2/MCM4/CDK2/ORC1/TICRR/MCM3/MCM7/MCM5/MCM2","kegg","Time_Ctrl"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",74,0.54602520682678,2.46668159707855,5.1833193976006e-09,1.84007838614821e-07,1.40768042587469e-07,5807,"tags=64%, list=27%, signal=46%","RPL37A/RPL27A/RPL26/RPL37/RPL39/RPL31/RPL11/RPL38/RPL15/RPL35A/RPL34/RPL36/RPS19/RPL23/RPL9/RPL24/RPL6/RPL14/RPS24/RPL27/RPL32/RPS13/RPL30/RPS8/RPL22/RPL13/UBA52/RPS16/RPL13A/RPS27/RPS4X/RPLP2/RPL4/RPS28/RPS14/RPL29/FAU/RPL3/RPL5/RPS23/RPL18A/RPS29/RPS15A/RPL28/RPL7/RPL18/RPL12","kegg","Time_Ctrl"
