"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",19,-0.764890163615078,-2.37065917224401,7.31313370764913e-07,0.000259616246621544,0.000214005386392259,3359,"tags=74%, list=16%, signal=62%","MIS12/DSN1/SPC25/ZWINT/INCENP/BIRC5/KNL1/NUF2/SPC24/AURKB/CDCA8/NDC80/PMF1/CENPW","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,-0.655017166678539,-2.28507620764529,3.28324460092324e-06,0.000582775916663875,0.000480390525819295,6515,"tags=83%, list=31%, signal=58%","RFC1/RFC4/MCM6/POLA2/RFC2/WDHD1/POLA1/GINS4/MCM4/PRIM2/POLE2/GINS3/MCM10/RPA3/MCM7/CDC45/POLE/GINS1/GINS2/PCNA/MCM5/RPA1/MCM3/MCM2/RFC5","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX",12,-0.808542565075548,-2.19930449655537,2.36026193851836e-05,0.00279297662724672,0.00230229059266001,3100,"tags=83%, list=15%, signal=71%","PPP1CA/SPC25/KNSTRN/CENPE/SPAG5/AURKA/NUF2/SPC24/AURKB/NDC80","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC","KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC",10,-0.835009080072916,-2.14949033289895,3.14761850884474e-05,0.00279351142659971,0.002302731435418,2315,"tags=100%, list=11%, signal=89%","MAD1L1/BUB1/KNL1/AURKB/NDC80/CDC20/MAD2L1/TTK/BUB1B","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION",27,-0.620875548992276,-2.110653678701,5.16655162474351e-05,0.00366825165356789,0.00302379231932357,4012,"tags=78%, list=19%, signal=63%","MCM6/ORC2/MTBP/CDC6/GINS4/MCM4/ORC6/POLE2/GINS3/ORC1/RECQL4/MCM7/CDC45/CDT1/POLE/GINS1/GINS2/TICRR/MCM5/MCM3/MCM2","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY",16,-0.720621253598561,-2.13255155981217,8.85377641201e-05,0.00523848437710591,0.00431815761848909,4321,"tags=75%, list=20%, signal=60%","VCP/GINS4/MCM4/GINS3/MCM7/CDC45/GINS1/GINS2/MCM5/MCM3/MCM2/UBB","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",32,-0.594954971298795,-2.10969620658319,0.000119986556510617,0.00565789815572057,0.00466388639670962,3516,"tags=50%, list=17%, signal=42%","RAD51/RAD51B/BRCA2/POLE2/XRCC2/RPA3/POLE/POLD1/PCNA/XRCC3/RAD54B/RAD54L/BRCA1/RPA1/RFC5/BARD1","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",15,-0.719873651791878,-2.09050175294984,0.000127501930269759,0.00565789815572057,0.00466388639670962,4879,"tags=80%, list=23%, signal=62%","MCM8/BRIP1/FANCI/BRCA2/MCM9/HROB/RPA3/FANCD2/BRCA1/RPA1/UBB/BARD1","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,-0.620031292977289,-2.04620298592228,0.000298423145206853,0.0117711351720481,0.00970311513070234,5728,"tags=79%, list=27%, signal=58%","MCM6/ORC2/CCNA1/MTBP/CDC6/CCNE2/MCM4/ORC6/ORC1/MCM7/CDC45/CDT1/DBF4/TICRR/MCM5/MCM3/MCM2/CCNA2/CDK2","kegg","Time_G32A"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION",21,-0.632912281735645,-2.0170386813501,0.000412719257105337,0.0146515336272395,0.012077468786872,4321,"tags=71%, list=20%, signal=57%","VCP/GINS4/MCM4/GINS3/MCM7/CDC45/RBX1/GINS1/PIF1/GINS2/LRR1/MCM5/MCM3/MCM2/UBB","kegg","Time_G32A"
