"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",195,-0.642795769029792,-3.18340112649574,1.05667573783958e-33,5.28337868919788e-32,3.55932880114383e-32,4217,"tags=59%, list=20%, signal=48%","UBE2T/TRIP13/TP53/GINS4/MSH2/ATAD2/CDK4/KIF18B/RACGAP1/MCM4/TUBG1/PRIM2/ORC6/DDX39A/BRCA2/DNMT1/NUP107/ASF1A/UBE2S/GINS3/PRKDC/SPC25/SRSF2/TRA2B/SSRP1/HMMR/RPA3/MCM7/CDCA3/DEK/TK1/XRCC6/NASP/EZH2/STAG1/POLE/GINS1/RANBP1/CENPE/NBN/POLD1/LBR/MYBL2/SNRPB/SPAG5/CTPS1/HNRNPD/PCNA/PRDX4/KPNA2/PHF5A/H2AZ1/NCAPD2/MELK/BRCA1/MCM5/AK2/AURKA/RRM2/PAICS/SMC4/HELLS/MKI67/RPA1/CKS2/BIRC5/MCM3/HMGB3/CENPM/PLK1/NUP205/MCM2/SPC24/CHEK2/RNASEH2A/CBX5/ILF3/AURKB/CDCA8/CDC25A/ANP32E/LIG1/ESPL1/CIT/KIF4A/SMC1A/LMNB1/HMGB2/H2AX/TACC3/CDC20/NAP1L1/E2F8/DEPDC1/RAD51AP1/RBBP7/MAD2L1/CCNB2/PLK4/TMPO/SUV39H1/KIF2C/TOP2A/PTTG1/CDK1/CKS1B/BUB1B/BARD1/DLGAP5/KIF22/WDR90/DUT/NAA38/TIMELESS/PRPS1","hallmark","Time_G32A"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.591159322699419,-2.92767523448427,1.57468065447963e-25,3.93670163619907e-24,2.65209373386043e-24,3970,"tags=56%, list=19%, signal=46%","SRSF10/BUB3/CDK4/RACGAP1/PRIM2/PRMT5/MEIS1/EXO1/HNRNPU/ORC6/POLQ/RBM14/DTYMK/CHAF1A/DDX39A/BRCA2/CBX1/UBE2S/KIF20B/E2F4/SRSF2/RASAL2/ABL1/TRA2B/HMMR/TOP1/CCNF/CDC45/SS18/SMC2/NASP/EZH2/STAG1/POLE/CCND1/PBK/CENPE/LBR/PRC1/MYBL2/GINS2/HNRNPD/UPF1/DBF4/KPNA2/NSD2/CUL5/PRP4K/H2AZ1/RAD54L/SMAD3/TROAP/MCM5/AURKA/INCENP/SMC4/DMD/MKI67/CKS2/CENPA/BIRC5/BUB1/MCM3/NUSAP1/FANCC/HMGB3/KNL1/STIL/SMARCC1/PLK1/MCM2/CENPF/UBE2C/FBXO5/KIF11/ILF3/AURKB/CDC25A/NDC80/ESPL1/KIF4A/TPX2/SMC1A/LMNB1/H2AX/TACC3/CDC20/CCNA2/KIF23/MAD2L1/CCNB2/PLK4/TMPO/SUV39H1/TTK/KIF2C/TOP2A/PTTG1/CDK1/CKS1B/MARCKS/BARD1/KIF22/TLE3/H2AZ2/HMGN2/NEK2/ODC1/ODF2","hallmark","Time_G32A"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",186,-0.4470069420005,-2.19996047376565,3.06082592828963e-10,5.10137654714938e-09,3.4367168317638e-09,6227,"tags=49%, list=29%, signal=35%","MCM6/SRSF1/CUL1/RPL6/HSPE1/SF3A1/VDAC1/NPM1/ORC2/USP1/G3BP1/KPNB1/SNRPD1/CCT7/PTGES3/TFDP1/SF3B3/SLC25A3/RPS10/SSB/SNRPD3/PHB1/CYC1/RPLP0/TRIM28/PSMD14/EXOSC7/SNRPD2/RAN/PSMA4/SRSF3/PSMB2/BUB3/CDK4/TUFM/ILF2/HSPD1/MCM4/YWHAQ/NHP2/SNRPG/SERBP1/HNRNPU/HDDC2/EIF4G2/RPS3/SRSF2/TRA2B/HNRNPA3/CAD/LSM7/MCM7/DEK/PHB2/CDC45/PCBP1/XRCC6/RANBP1/ERH/EIF1AX/RRM1/ACP1/CTPS1/SNRPA/RUVBL2/HNRNPD/PCNA/HNRNPA2B1/PRDX4/KPNA2/TARDBP/H2AZ1/MCM5/SRSF7/PRDX3/SMARCC1/PRPS2/MCM2/PGK1/TYMS/GLO1/MRPL9/CDC20/CCNA2/NAP1L1/MAD2L1/HNRNPA1/HDGF/RPS6/CDK2/DUT/ODC1","hallmark","Time_G32A"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",104,-0.410678541683523,-1.85213047342093,0.000121237508109942,0.00151546885137428,0.0010209474367153,3865,"tags=37%, list=18%, signal=30%","GAPDHS/GFI1/PACRG/MAP7/TEKT2/TALDO1/PGS1/POMC/GRM8/PRKAR2A/RPL39L/EZH2/NAA11/ACRV1/DBF4/CHRM4/AURKA/NCAPH/MTNR1A/ALOX15/BUB1/ARL4A/IFT88/ZC2HC1C/DMRT1/SPATA6/HSPA2/JAM3/CCNB2/CFTR/TTK/KIF2C/NPHP1/CDK1/MLF1/ADCYAP1/NEK2/CLGN","hallmark","Time_G32A"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",192,-0.327552322179094,-1.61893984089161,0.000550009166819447,0.00550009166819447,0.00370532491330996,3314,"tags=28%, list=16%, signal=23%","BRCA2/MID1/DYNLL2/KIF20B/RASAL2/ABL1/FGD6/ANLN/WASF2/ECT2/PIF1/CENPE/PRC1/MID1IP1/ARHGAP10/CYTH2/AURKA/CEP131/INCENP/SMC4/BIRC5/BUB1/NUSAP1/PDLIM5/PLK1/TBCD/CENPF/FBXO5/KIF11/NDC80/BCL2L11/ESPL1/KATNB1/KIF4A/TPX2/SMC1A/LMNB1/KIF23/CDK5RAP2/RHOT2/CCNB2/TTK/LLGL1/KIF2C/ARHGAP5/TOP2A/CDK1/MARCKS/SHROOM2/EPB41/DLGAP5/KIF22/NEK2","hallmark","Time_G32A"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",175,-0.321876952115313,-1.57055454998034,0.00149675422959201,0.0106911016399429,0.00720242636796154,5803,"tags=42%, list=27%, signal=31%","ETFB/GLA/CCNA1/ACOX2/PTPN6/CXCL12/TPD52L1/AMFR/SLC1A4/KCNK5/SLC2A8/RAB31/GALE/PRLR/EGR3/SOX3/CDC6/SCUBE2/PERP/ALDH3A2/NPY1R/SLC29A1/EMP2/WFS1/GFUS/KRT19/NRIP1/FGFR3/ASCL1/PDLIM3/SORD/ANXA9/RBBP8/GAL/TRIM29/IDH2/LARGE1/CCND1/ELOVL5/CA2/GINS2/CACNA2D2/XRCC3/SLC27A2/CALCR/ID2/IGSF1/UGDH/KLF4/TST/PAPSS2/FKBP5/STIL/IGFBP4/OPN3/LSR/GPER1/RNASEH2A/NHERF1/CDC20/MEST/KIF20A/PLXNB1/MDK/PLK4/TOP2A/IMPA2/BCL2/METTL3/DCXR/AFF1/MYB/NMU","hallmark","Time_G32A"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",189,-0.315132417521905,-1.55444758050763,0.00131728139798573,0.0106911016399429,0.00720242636796154,4781,"tags=34%, list=23%, signal=26%","IDH1/SAP30/GMPPB/LHPP/B4GALT1/MET/EXT2/CHST2/B3GALT6/GFUS/CHST6/GAPDHS/DDIT4/SDC2/SLC16A3/SLC25A10/SLC25A13/PDK3/SDHC/TALDO1/HSPA5/AK4/CLN6/HMMR/CITED2/NASP/MPI/GYS2/DPYSL4/STC1/DSC2/PKM/MED24/PLOD2/SRD5A3/AGL/AURKA/COG2/CENPA/PGM2/GYS1/GUSB/SOD1/PGLS/PGK1/CLDN3/P4HA1/ENO1/ALDH7A1/PHKA2/TPI1/ALDH9A1/KIF20A/DEPDC1/ALDOA/SLC37A4/GPC3/GNPDA1/HK2/PAM/CDK1/HS2ST1/PRPS1/LHX9","hallmark","Time_G32A"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",136,-0.334855591575152,-1.57659749263912,0.00240889754497463,0.0150556096560914,0.0101427265051563,4790,"tags=38%, list=23%, signal=30%","HADHB/IDH1/INMT/ALDH1A1/HPGD/HSD17B4/OSTC/GRHPR/ALDH3A2/HSP90AA1/HMGCL/PRDX6/GAPDHS/ENO3/TP53INP2/IDH3B/PCBD1/HADH/SDHC/ADSL/NCAPH2/ACADM/CD36/ELOVL5/NBN/ECI2/GCDH/ACADVL/CA2/HSD17B10/H2AZ1/UGDH/HSD17B11/GSTZ1/CPT2/DECR1/ACAA2/GAD2/FMO1/ALDH9A1/ALDOA/GLUL/HSDL2/SUCLG2/ECI1/ACOT2/CRYZ/BCKDHB/HIBCH/BMPR1B/ODC1/GPD2","hallmark","Time_G32A"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",94,-0.354463258367006,-1.57100746613103,0.00541062801932367,0.0300590445517982,0.0202503036980535,4840,"tags=38%, list=23%, signal=30%","GNPAT/RBP1/IDH1/LIPE/ALDH1A1/PECR/HSD17B4/GCLM/NUDT12/SLC29A1/PEX11G/SCP2/FADS2/CROT/SLC35B2/EPHX2/NR3C2/IDH2/PEX11A/SLC27A2/PEX7/ISOC1/HSD17B11/GSTK1/AR/SOD1/PXMP2/EFHC1/FADS1/CYP7B1/SLC27A5/RXRA/ALDH9A1/PEX19/NR1I2/CYP39A1","hallmark","Time_G32A"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",30,-0.481789365961216,-1.68313849886913,0.00937441989975868,0.0426109995443576,0.0287063575877778,2777,"tags=37%, list=13%, signal=32%","MAML2/RBX1/CCND1/PSENEN/TCF7L2/APH1A/NOTCH3/LFNG/WNT5A/HES1/FZD1","hallmark","Time_G32A"
