"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",195,-0.601716604585771,-3.0795229111471,5.75947166634343e-29,2.87973583317172e-27,2.30378866653737e-27,4268,"tags=56%, list=20%, signal=45%","TP53/UBE2T/MCM5/DNMT1/MCM7/HNRNPD/TRA2B/CHEK1/NASP/POLD1/RPA3/GINS4/CDKN3/RACGAP1/GINS3/HELLS/POLD3/PCNA/TRIP13/CENPM/STAG1/NUP107/CTPS1/ZW10/MYBL2/PHF5A/NAP1L1/KIF18B/BRCA2/SRSF2/SNRPB/POLE/H2AZ1/DEK/GINS1/MCM2/HMGB3/SPC25/MSH2/PRKDC/CBX5/TK1/ANP32E/E2F8/RRM2/XRCC6/MCM3/UBE2S/PAICS/SMC4/PRDX4/ORC6/BRCA1/RANBP1/MELK/CENPE/H2AX/RAD51AP1/LBR/SPC24/ILF3/MKI67/RBBP7/RPA1/CDCA3/RNASEH2A/NUP205/TMPO/AK2/SPAG5/KPNA2/SMC1A/CDC25A/ESPL1/BIRC5/LIG1/LMNB1/CKS2/HMMR/CHEK2/SUV39H1/NAA38/AURKA/TACC3/AURKB/BUB1B/CIT/DUT/CDCA8/NCAPD2/BARD1/PLK1/KIF4A/TOP2A/HMGB2/PLK4/MAD2L1/CDC20/DEPDC1/PTTG1/CCNB2/TIMELESS/WDR90/DLGAP5/CDK1/CKS1B/KIF2C/PRPS1/KIF22","hallmark","Time_R403C"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.547792612492436,-2.80354553600676,1.61362711883625e-21,4.03406779709062e-20,3.22725423767249e-20,4615,"tags=55%, list=22%, signal=44%","DDX39A/EWSR1/EXO1/SRSF1/CBX1/MCM5/HNRNPD/SLC12A2/TOP1/TRA2B/MEIS1/CHEK1/NASP/NUP98/NSD2/NCL/CDKN3/RACGAP1/CUL5/MARCKS/DTYMK/CDC6/STAG1/CHAF1A/SS18/PBK/MYBL2/BRCA2/SRSF2/SMARCC1/POLE/H2AZ1/FANCC/MCM2/HMGB3/PRMT5/SMC2/POLQ/E2F4/RBM14/BUB3/MCM3/UBE2S/PRC1/SMC4/KIF20B/ORC6/RAD54L/FBXO5/UPF1/NUSAP1/CENPE/CCNF/H2AX/KNL1/LBR/ILF3/DBF4/MKI67/KIF11/TMPO/STIL/KPNA2/SMC1A/H2BC12/CENPA/CDC25A/ESPL1/CENPF/SMAD3/BIRC5/LMNB1/CKS2/PRP4K/NDC80/CCND1/HMMR/H2AZ2/TTK/SUV39H1/AURKA/TACC3/TROAP/AURKB/BUB1/CCNA2/INCENP/HMGN2/TPX2/BARD1/PLK1/KIF4A/TOP2A/TLE3/PLK4/MAD2L1/CDC20/PTTG1/UBE2C/KIF23/CCNB2/CDK1/CKS1B/KIF2C/KIF22/ODC1/NEK2/ODF2","hallmark","Time_R403C"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",186,-0.446780307931636,-2.27114087147331,4.21320610757372e-11,7.02201017928953e-10,5.61760814343162e-10,7890,"tags=60%, list=37%, signal=38%","RPS10/MYC/PABPC1/PSMA2/USP1/DHX15/PSMA6/SF3B3/NOP56/EIF3B/PPM1G/PSMD14/CSTF2/RPLP0/MCM6/PSMC6/RRP9/CYC1/ETF1/RNPS1/CCT5/VDAC1/PABPC4/RPS3/SET/NHP2/XPO1/PSMD7/PGK1/SNRPD1/MCM4/SSB/TUFM/G3BP1/RPL6/CDK4/TFDP1/KPNB1/SLC25A3/EIF4G2/PSMA4/EIF1AX/SF3A1/CDC45/PSMA1/PHB1/CCT7/RAN/ILF2/HNRNPU/SRSF3/RFC4/CANX/EXOSC7/PSMB2/SRSF1/SNRPD3/SERBP1/HNRNPA2B1/MCM5/MCM7/HNRNPD/TRA2B/PTGES3/PCBP1/RRM1/PCNA/SRSF7/SSBP1/TRIM28/CTPS1/NPM1/HSPD1/PHB2/HNRNPA3/HDDC2/SNRPD2/NAP1L1/HSPE1/SRSF2/SMARCC1/H2AZ1/DEK/SNRPG/MCM2/MRPL9/LSM7/XRCC6/BUB3/CAD/PRDX3/PRDX4/RANBP1/ERH/RUVBL2/HNRNPA1/ACP1/RPS2/PRPS2/GLO1/KPNA2/SNRPA/TARDBP/CDK2/TYMS/HDGF/RPS6/CCNA2/DUT/MAD2L1/CDC20/ODC1","hallmark","Time_R403C"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",175,0.344603623098819,1.74827247407092,4.83870123120947e-05,0.000604837653901183,0.000483870123120947,3645,"tags=31%, list=17%, signal=26%","BLVRA/CLCN3/HBQ1/MARCHF2/MGST3/ADD1/HTRA2/ATP6V0A1/SNCA/IGSF3/ASNS/KAT2B/USP15/SYNJ1/ALDH1L1/TMCC2/SLC11A2/TSPAN5/PPP2R5B/YPEL5/MARK3/ACKR1/NNT/CCND3/OPTN/GAPVD1/RAP1GAP/ARL2BP/ATG4A/FOXO3/ADD2/MPP1/ACSL6/FOXJ2/SLC66A2/ARHGEF12/NUDT4/TNRC6B/DMTN/KLF1/SEC14L1/CLIC2/PC/MXI1/MBOAT2/MFHAS1/FTCD/EZH1/ABCB6/SLC22A4/MKRN1/FN3K/NCOA4/ENDOD1/TMEM9B","hallmark","Time_R403C"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",104,-0.386186006327117,-1.79361839993564,0.000176559922497682,0.00176559922497682,0.00141247937998145,4110,"tags=38%, list=19%, signal=30%","GAPDHS/SLC12A2/TEKT2/PRKAR2A/TCP11/GRM8/RPL39L/CDKN3/PSMG1/TLE4/IDE/HSPA2/POMC/NCAPH/PGS1/DBF4/JAM3/SPATA6/ARL4A/DMC1/ZC2HC1C/DMRT1/GFI1/IFT88/CHRM4/TTK/CCT6B/ART3/AURKA/BUB1/CFTR/NPHP1/CCNB2/CLGN/CDK1/ADCYAP1/MLF1/KIF2C/NEK2","hallmark","Time_R403C"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",175,-0.313894433171516,-1.58185305976285,0.00125453562881186,0.0104544635734322,0.00836357085874572,5700,"tags=41%, list=27%, signal=30%","LLGL2/EMP2/TFPI2/AMFR/GLA/NRIP1/CXCL12/SERPINA5/RAB31/CCNA1/DNAJC1/FGFR3/GINS2/PRSS23/PRLR/EEIG1/XBP1/GAL/WFS1/NPY1R/SORD/FOXC1/SLC2A8/OPN3/TPD52L1/LARGE1/CDC6/CACNA2D2/GALE/XRCC3/MYOF/SLC27A2/PTPN6/GPER1/TNNC1/ST14/CALCR/RBBP8/PERP/TRIM29/BCL2/CA2/SLC26A2/RNASEH2A/ELOVL5/STIL/IMPA2/UGDH/KRT19/IGFBP4/DCXR/TST/KLF4/CCND1/PLXNB1/NHERF1/PAPSS2/MEST/TH/TOP2A/PLK4/METTL3/FKBP5/AFF1/CDC20/LSR/KIF20A/KCNK5/MDK/MYB/NMU","hallmark","Time_R403C"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",192,-0.30035580389714,-1.53364571550463,0.00169661448291818,0.012118674877987,0.00969493990238958,2230,"tags=23%, list=11%, signal=21%","PRC1/SMC4/KIF20B/WASF2/NET1/FBXO5/ANLN/ARHGAP29/NUSAP1/ECT2/CENPE/ARHGAP10/CEP131/LLGL1/RHOT2/PDLIM5/KIF11/SMC1A/PIF1/ESPL1/CENPF/BIRC5/ARHGAP5/LMNB1/NDC80/TTK/BCL2L11/AURKA/BUB1/INCENP/CDK5RAP2/TPX2/PLK1/KIF4A/TOP2A/EPB41/KIF23/CCNB2/DLGAP5/CDK1/KIF2C/SHROOM2/KIF22/NEK2","hallmark","Time_R403C"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",190,-0.297532317701286,-1.51708631718221,0.00219848034867127,0.0137405021791954,0.0109924017433563,7127,"tags=52%, list=34%, signal=34%","FOXC2/FBN2/COLGALT1/CALU/CXCL6/COL1A1/IGFBP2/NNMT/TPM1/TNFRSF11B/NOTCH2/NTM/SGCD/OXTR/FLNA/ADAM12/CAPG/ITGB1/TPM4/MMP14/BGN/FGF2/MSX1/PCOLCE/LAMC2/LAMC1/PDGFRB/CCN2/TIMP1/TFPI2/PPIB/CXCL12/CDH6/SLIT3/COL11A1/GAS1/COL6A3/PLAUR/EMP3/TGM2/FSTL1/PLOD1/GADD45B/CCN1/TPM2/CXCL1/VIM/FN1/MATN2/SLC6A8/DKK1/LOXL2/WIPF1/CTHRC1/MCM7/LOXL1/MMP2/ITGB5/COL8A2/SERPINH1/LAMA2/PFN2/MYL9/FBN1/MXRA5/SERPINE2/THBS1/SPARC/PLOD2/CDH2/ITGA5/P3H1/COL5A2/VEGFC/LUM/GEM/DAB2/PRRX1/FMOD/SDC1/IL15/GJA1/MATN3/WNT5A/COL5A3/FAP/LAMA1/NID2/IGFBP4/SDC4/PTX3/CDH11/MEST/COL1A2/SNTB1/TGFBR3/SLIT2/GPX7","hallmark","Time_R403C"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",137,-0.301608630134483,-1.46617168715373,0.0093745167774857,0.0478455025227629,0.0382764020182103,5900,"tags=40%, list=28%, signal=29%","RPA2/POLR2G/POLR2F/APRT/ERCC2/POLR2K/UMPS/CLP1/POLR2C/CMPK2/POLA2/TAF10/BCAP31/POLA1/RFC2/RFC4/GTF2A2/RBX1/SSRP1/GPX4/TMED2/NME4/COX17/SRSF6/MPG/HCLS1/TP53/POLD1/RPA3/RAD51/POLD3/PCNA/POLR2E/SF3A3/POLR2D/ZWINT/ARL6IP1/FEN1/ERCC1/DDB1/ALYREF/BCAM/RFC5/NELFCD/CANT1/CCNO/POLR2H/TYMS/POLR2J/LIG1/SNAPC5/TARBP2/DUT/NT5C/NPR2","hallmark","Time_R403C"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",167,-0.286989968124383,-1.43664440034408,0.00956910050455257,0.0478455025227629,0.0382764020182103,5497,"tags=39%, list=26%, signal=29%","IRF4/IFNGR1/PTGER2/TGM2/SH3BGRL2/UMPS/IKZF4/GADD45B/PLEC/RGS16/NFKBIZ/PENK/AHNAK/XBP1/GPX4/FAH/SOCS1/TNFRSF18/GSTO1/MAPKAPK2/BMP2/ENO3/CKAP4/CDC6/CSF1/F2RL2/CASP3/TNFRSF9/IL18R1/S100A1/IKZF2/DRC1/IRF8/AHCY/TWSG1/SERPINB6/P4HA1/GPR83/IFITM3/NRP1/BCL2/MUC1/CA2/GALM/SLC39A8/TNFRSF21/DCPS/EEF1AKMT1/HK2/ARL4A/WLS/PLSCR1/MAP3K8/HIPK2/PTCH1/RHOH/ENPP1/LRRC8C/PTH1R/CDKN1C/ITGA6/CTSZ/TRAF1/ODC1/PLIN2","hallmark","Time_R403C"
