"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Contrast"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE",19,-0.780033396881432,-2.46341656250043,1.13928011282353e-07,4.04444440052352e-05,2.92615102662043e-05,3011,"tags=74%, list=14%, signal=63%","ZWINT/SPC25/CENPS/NUF2/KNL1/SPC24/BIRC5/MIS12/NDC80/PMF1/AURKB/INCENP/CDCA8/CENPW","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC","KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC",10,-0.846438044713907,-2.20695456234194,1.71157432122668e-05,0.00247072685017313,0.00178756812881318,3253,"tags=100%, list=15%, signal=85%","BUB3/KNL1/NDC80/TTK/AURKB/BUB1/BUB1B/MAD2L1/CDC20","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX","KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX",12,-0.791856306277377,-2.18639352853764,3.1072427795528e-05,0.00247072685017313,0.00178756812881318,3372,"tags=83%, list=16%, signal=70%","PPP1CA/SPC25/NUF2/CENPE/KNSTRN/SPC24/SPAG5/NDC80/AURKA/AURKB","kegg","Time_R403C"
"KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",28,0.616682585561333,2.17494289764928,2.83041368054832e-05,0.00247072685017313,0.00178756812881318,873,"tags=21%, list=4%, signal=21%","PIK3CD/PIK3CB/NCKAP1/CYTH1/PIK3CA/CYFIP2","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",30,-0.605902726325228,-2.15899725326874,4.1758763664898e-05,0.00247072685017313,0.00178756812881318,6456,"tags=83%, list=31%, signal=58%","RFC1/MCM4/RPA2/CDC45/POLA2/PRIM2/GINS2/POLA1/RFC2/RFC4/WDHD1/MCM5/MCM7/RPA3/GINS4/GINS3/MCM10/PCNA/POLE2/POLE/GINS1/MCM2/MCM3/RPA1/RFC5","kegg","Time_R403C"
"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY","KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY",28,0.609799921906257,2.15066882086489,3.91641548878763e-05,0.00247072685017313,0.00178756812881318,873,"tags=21%, list=4%, signal=21%","PIK3CD/PIK3CB/NCKAP1/CYTH1/PIK3CA/CYFIP2","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION","KEGG_MEDICUS_REFERENCE_OKAZAKI_FRAGMENT_MATURATION",11,-0.779653301682441,-2.09596594544458,9.33895593453837e-05,0.00473618479537303,0.00342662443312385,3994,"tags=73%, list=19%, signal=59%","POLD1/POLD3/PCNA/DNA2/FEN1/RNASEH2C/RNASEH2A/LIG1","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE",15,-0.71036179788311,-2.09786856766293,0.000151379834194452,0.00612443263080452,0.0044310201984175,3435,"tags=73%, list=16%, signal=61%","CENPU/CENPM/CENPO/CENPS/CENPH/CENPK/CENPL/CENPI/ITGB3BP/CENPA/CENPW","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING",20,-0.649728672319793,-2.08286030451425,0.000155267306133072,0.00612443263080452,0.0044310201984175,3253,"tags=45%, list=15%, signal=38%","MAD1L1/BUB3/CDC26/CDC23/ESPL1/BUB1B/MAD2L1/CDC20/PTTG1","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING",24,-0.607018754583342,-2.04341941519487,0.000321479517514241,0.0091496369737043,0.00661975217667561,5294,"tags=71%, list=25%, signal=53%","MCM4/CDC45/CCNA1/CCNE2/CDT1/MCM5/MCM7/CDC6/ORC1/MCM2/TICRR/MCM3/MTBP/ORC6/DBF4/CDK2/CCNA2","kegg","Time_R403C"
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY",26,-0.59092605700813,-2.03179253760879,0.000335057128614524,0.0091496369737043,0.00661975217667561,5959,"tags=65%, list=28%, signal=47%","WNT4/SUFU/WNT6/WNT8B/BMP4/BMP2/WNT2B/GLI2/KIF7/WNT9A/HHIP/WNT1/WNT5A/PTCH1/GLI1/WNT3A/SMO","kegg","Time_R403C"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY",26,-0.59092605700813,-2.03179253760879,0.000335057128614524,0.0091496369737043,0.00661975217667561,5959,"tags=65%, list=28%, signal=47%","WNT4/SUFU/WNT6/WNT8B/BMP4/BMP2/WNT2B/GLI2/KIF7/WNT9A/HHIP/WNT1/WNT5A/PTCH1/GLI1/WNT3A/SMO","kegg","Time_R403C"
"KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION",33,-0.539345667693795,-1.97061477426505,0.000331908080985572,0.0091496369737043,0.00661975217667561,8228,"tags=85%, list=39%, signal=52%","PSMD12/PSMD6/PSMD3/ADRM1/PSMC2/PSMD11/PSMD2/PSMA2/PSMA6/PSMA5/PSMD14/PSMC6/PRNP/PSMB4/SEM1/PSMB6/PSMD7/PSMD9/PSMD4/PSMA4/PSMA3/PSMA1/PSMB7/PSMB1/PSMB2/PSMC5/PSMC1/PSMC3","kegg","Time_R403C"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR",15,-0.691992507184841,-2.04361965157397,0.00045057399208557,0.00940904512884573,0.00680743368847548,3953,"tags=93%, list=19%, signal=76%","SEM1/RPA2/BRIP1/RPA3/FANCI/MCM8/BRCA2/BRCA1/MCM9/RPA1/FANCD2/HROB/UBB/BARD1","kegg","Time_R403C"
