"Pool","Pathway_Short","Description","Contrast","Mutation","Timepoint","NES","p.adjust","pvalue","setSize"
"1. Cytoplasmic Ribosome Biogenesis","Ribosome Biogenesis","GOBP_RIBOSOME_BIOGENESIS","G32A_vs_Ctrl_D35","G32A","Early (D35)",-2.60073815874921,3.9471150440839e-19,1.4848081670535e-21,287
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Small Subunit Biogenesis","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","G32A_vs_Ctrl_D35","G32A","Early (D35)",-2.21944183801749,2.62552574146588e-06,6.25517104549866e-08,98
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Large Subunit Biogenesis","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","G32A_vs_Ctrl_D35","G32A","Early (D35)",-2.13483511949455,0.000178197323382409,7.22471906712381e-06,62
"1. Cytoplasmic Ribosome Biogenesis","Ribosome Biogenesis","GOBP_RIBOSOME_BIOGENESIS","Maturation_G32A_specific","G32A","TrajDev (Maturation)",2.25418549877522,5.48319967495414e-12,1.94805422098684e-14,287
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Small Subunit Biogenesis","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","Maturation_G32A_specific","G32A","TrajDev (Maturation)",1.86245221163935,0.00117536564167255,5.47767059755442e-05,98
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Large Subunit Biogenesis","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","Maturation_G32A_specific","G32A","TrajDev (Maturation)",1.77213208872416,0.0106624404794917,0.000926974971675765,62
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Small Subunit Biogenesis","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","G32A_vs_Ctrl_D65","G32A","Late (D65)",-1.39115495671824,0.746837553898563,0.0361451585715318,98
"1. Cytoplasmic Ribosome Biogenesis","Ribosome Biogenesis","GOBP_RIBOSOME_BIOGENESIS","G32A_vs_Ctrl_D65","G32A","Late (D65)",-1.21574294216703,0.862067374361213,0.0590845146629153,287
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Large Subunit Biogenesis","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","G32A_vs_Ctrl_D65","G32A","Late (D65)",-1.30418865975961,0.880686108893798,0.0945434900054025,62
"1. Cytoplasmic Ribosome Biogenesis","Ribosome Biogenesis","GOBP_RIBOSOME_BIOGENESIS","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.72468742178496,0.000193250856973091,9.89476697145396e-06,287
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Large Subunit Biogenesis","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.5170288037873,0.0660524551792991,0.0185475991066443,62
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Small Subunit Biogenesis","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","R403C_vs_Ctrl_D35","R403C","Early (D35)",-1.43213883975142,0.0804525990042542,0.0242612123866968,98
"1. Cytoplasmic Ribosome Biogenesis","Ribosome Biogenesis","GOBP_RIBOSOME_BIOGENESIS","Maturation_R403C_specific","R403C","TrajDev (Maturation)",1.593128712781,0.00374448720913409,0.000216765508240364,287
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Small Subunit Biogenesis","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","Maturation_R403C_specific","R403C","TrajDev (Maturation)",1.22833136737866,0.316147546029852,0.123376409309686,98
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Large Subunit Biogenesis","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","Maturation_R403C_specific","R403C","TrajDev (Maturation)",1.17707333505138,0.431949431284528,0.199319612178942,62
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Small Subunit Biogenesis","GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS","R403C_vs_Ctrl_D65","R403C","Late (D65)",-0.661923911907729,1,0.990553968186277,98
"1. Cytoplasmic Ribosome Biogenesis","Ribosomal Large Subunit Biogenesis","GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS","R403C_vs_Ctrl_D65","R403C","Late (D65)",-0.656127714509039,1,0.977923070391441,62
"1. Cytoplasmic Ribosome Biogenesis","Ribosome Biogenesis","GOBP_RIBOSOME_BIOGENESIS","R403C_vs_Ctrl_D65","R403C","Late (D65)",0.608308011980076,1,0.999981611224509,287
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","G32A_vs_Ctrl_D35","G32A","Early (D35)",2.45817534242279,3.40438886521169e-07,1.06387152037865e-08,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","G32A_vs_Ctrl_D35","G32A","Early (D35)",2.33010062177469,8.15976316300135e-06,5.09985197687584e-07,51
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","Maturation_G32A_specific","G32A","TrajDev (Maturation)",-3.01930378165091,1.88281501185656e-15,5.88379691205174e-17,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","Maturation_G32A_specific","G32A","TrajDev (Maturation)",-2.90209927613196,3.15254028422659e-12,1.97033767764162e-13,51
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","G32A_vs_Ctrl_D65","G32A","Late (D65)",-2.49238759914907,7.15296944216768e-07,4.4706059013548e-08,51
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","G32A_vs_Ctrl_D65","G32A","Late (D65)",-2.48502109703243,7.15296944216768e-07,3.05150903227387e-08,65
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","R403C_vs_Ctrl_D35","R403C","Early (D35)",2.29162769302504,3.98412474852232e-06,2.49007796782645e-07,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","R403C_vs_Ctrl_D35","R403C","Early (D35)",2.23316446947385,1.95932092651441e-05,3.06143894767877e-06,51
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","Maturation_R403C_specific","R403C","TrajDev (Maturation)",-2.88712095992719,2.50925899685276e-12,7.84143436516486e-14,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","Maturation_R403C_specific","R403C","TrajDev (Maturation)",-2.71252353741633,3.63000044373201e-10,2.26875027733251e-11,51
"2. Synaptic Ribosomes (SynGO)","Postsynaptic Ribosome","postsynaptic ribosome","R403C_vs_Ctrl_D65","R403C","Late (D65)",-2.58145672878091,9.35750721546656e-09,2.9242210048333e-10,65
"2. Synaptic Ribosomes (SynGO)","Presynaptic Ribosome","presynaptic ribosome","R403C_vs_Ctrl_D65","R403C","Late (D65)",-2.47747347246333,1.06409290964336e-06,6.65058068527102e-08,51
