combination_id,NES_EFFECT,NES_STRONG,IMPROVEMENT_RATIO,WORSENING_RATIO,is_default,comp_count_G32A,comp_count_R403C,comp_pct_G32A,comp_pct_R403C,classifiable_G32A,classifiable_R403C,comp_of_classifiable_G32A,comp_of_classifiable_R403C,comp_dominates_classifiable_G32A,comp_dominates_classifiable_R403C,R403C_more_compensation,compensation_diff,progressive_rare_G32A,progressive_rare_R403C,prog_pct_G32A,prog_pct_R403C,comp_exceeds_passive_G32A,comp_exceeds_passive_R403C
NES_eff=0.4_strong=0.8_imp=0.6_wors=1.25,0.4,0.8,0.6,1.25,False,1190,1246,9.737337370100645,10.19556501104656,2277,2858,52.26174791392183,43.596920923722884,True,False,True,56,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.6_wors=1.3,0.4,0.8,0.6,1.3,False,1190,1246,9.737337370100645,10.19556501104656,2275,2853,52.307692307692314,43.673326323168595,True,False,True,56,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.6_wors=1.4,0.4,0.8,0.6,1.4,False,1190,1246,9.737337370100645,10.19556501104656,2274,2850,52.3306948109059,43.719298245614034,True,False,True,56,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.7_wors=1.25,0.4,0.8,0.7,1.25,False,1462,1612,11.963014483266509,13.190409950085918,2657,3375,55.02446368084306,47.76296296296296,True,False,True,150,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.7_wors=1.3,0.4,0.8,0.7,1.3,False,1462,1612,11.963014483266509,13.190409950085918,2655,3370,55.06591337099812,47.833827893175076,True,False,True,150,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.7_wors=1.4,0.4,0.8,0.7,1.4,False,1462,1612,11.963014483266509,13.190409950085918,2654,3367,55.086661642803314,47.87644787644788,True,False,True,150,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.8_wors=1.25,0.4,0.8,0.8,1.25,False,1590,1832,13.010391948285738,14.990589968087717,2880,3715,55.208333333333336,49.3135935397039,True,False,True,242,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.8_wors=1.3,0.4,0.8,0.8,1.3,False,1590,1832,13.010391948285738,14.990589968087717,2878,3710,55.24669909659485,49.3800539083558,True,False,True,242,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=0.8_imp=0.8_wors=1.4,0.4,0.8,0.8,1.4,False,1590,1832,13.010391948285738,14.990589968087717,2877,3707,55.26590198123045,49.420016185594825,True,False,True,242,True,True,0.0,0.0,True,True
NES_eff=0.4_strong=1.0_imp=0.6_wors=1.25,0.4,1.0,0.6,1.25,False,1190,1246,9.737337370100645,10.19556501104656,2277,2858,52.26174791392183,43.596920923722884,True,False,True,56,True,True,0.0,0.0,True,True
