"Contrast","Gene","logFC","AveExpr","P.Value","adj.P.Val","B"
"G32A_vs_Ctrl_D35","NNAT",-4.09,3.1,1.27e-11,2.68e-07,14.72
"G32A_vs_Ctrl_D35","LINC02864",-6.9,-3.79,3.43e-10,3.62e-06,4.8
"G32A_vs_Ctrl_D35","ZNF471",-6.54,-3.13,6.99e-09,4.92e-05,4.73
"G32A_vs_Ctrl_D35","SLITRK4",-7.34,-2.77,1.37e-08,7.22e-05,4.57
"G32A_vs_Ctrl_D35","ZNF248",-7.35,-0.96,3.55e-08,0.00015,5.62
"G32A_vs_Ctrl_D35","LOC105373436",-4.94,-3.95,1.03e-07,0.000362,3.36
"G32A_vs_Ctrl_D35","PNPO",-6.55,0.95,1.64e-07,0.000494,4.25
"G32A_vs_Ctrl_D35","CCDC152",-5.75,0.06,2.86e-07,0.000756,4.53
"G32A_vs_Ctrl_D35","ZNF667",-4.55,-2.13,4.69e-07,0.0011,3.9
"G32A_vs_Ctrl_D35","KHDRBS2",-5.77,-2.93,8.77e-07,0.00185,2.9
"G32A_vs_Ctrl_D65","LINC02864",-6.32,-3.79,5.86e-09,4.12e-05,-0.2
"G32A_vs_Ctrl_D65","ZNF471",-6.52,-3.13,4.72e-09,4.12e-05,1.23
"G32A_vs_Ctrl_D65","NNAT",-3.37,3.1,5.06e-09,4.12e-05,7.29
"G32A_vs_Ctrl_D65","ZNF248",-5.55,-0.96,5.9e-08,0.00027,3.84
"G32A_vs_Ctrl_D65","SLITRK4",-7.4,-2.77,6.4e-08,0.00027,-0.01
"G32A_vs_Ctrl_D65","PNPO",-5.77,0.95,1.96e-07,0.000689,1.88
"G32A_vs_Ctrl_D65","LOC105373436",-4.69,-3.95,1.15e-06,0.00347,-0.92
"G32A_vs_Ctrl_D65","ZNF667",-4.29,-2.13,1.55e-06,0.0041,0.62
"G32A_vs_Ctrl_D65","CTSF",-8.81,0.63,3.37e-06,0.0079,-0.75
"G32A_vs_Ctrl_D65","KHDRBS2",-5.48,-2.93,5.56e-06,0.0117,-0.72
"R403C_vs_Ctrl_D35","NNAT",-4.18,3.1,3.05e-12,6.43e-08,15.6
"R403C_vs_Ctrl_D35","LINC02864",-6.53,-3.79,2.65e-10,2.79e-06,4.83
"R403C_vs_Ctrl_D35","ZNF471",-6.69,-3.13,1.28e-09,8.98e-06,5.34
"R403C_vs_Ctrl_D35","ZNF248",-7.87,-0.96,9.7e-09,4.34e-05,5.86
"R403C_vs_Ctrl_D35","SLITRK4",-6.41,-2.77,1.03e-08,4.34e-05,5.27
"R403C_vs_Ctrl_D35","LOC105373436",-5.07,-3.95,2.29e-08,8.06e-05,3.9
"R403C_vs_Ctrl_D35","ZNF667",-4.78,-2.13,1.19e-07,0.00036,4.45
"R403C_vs_Ctrl_D35","KHDRBS2",-5.4,-2.93,4.38e-07,0.00116,3.45
"R403C_vs_Ctrl_D35","MIR4458HG",-5.33,-4.23,3.45e-06,0.00809,0.79
"R403C_vs_Ctrl_D35","ZNF667-AS1",-7.02,-3.96,1.12e-05,0.0236,-0.67
"R403C_vs_Ctrl_D65","ZNF471",-7.85,-3.13,1.1e-09,2.33e-05,-0.19
"R403C_vs_Ctrl_D65","NNAT",-3.59,3.1,2.37e-09,2.5e-05,6.6
"R403C_vs_Ctrl_D65","LINC02864",-6.33,-3.79,5.8e-09,4.08e-05,-0.96
"R403C_vs_Ctrl_D65","ZNF248",-5.44,-0.96,1.31e-07,0.000691,2.47
"R403C_vs_Ctrl_D65","SLITRK4",-5.36,-2.77,4.14e-07,0.00175,0.03
"R403C_vs_Ctrl_D65","ZNF667",-5.19,-2.13,5.74e-07,0.00202,-0.49
"R403C_vs_Ctrl_D65","KHDRBS2",-6.38,-2.93,1.87e-06,0.00539,-1.41
"R403C_vs_Ctrl_D65","LOC105373436",-4.51,-3.95,2.04e-06,0.00539,-1.63
"R403C_vs_Ctrl_D65","ZNF248-AS1",-3.92,-4.45,1.76e-05,0.0413,-2.17
"R403C_vs_Ctrl_D65","MIR4458HG",-5.25,-4.23,2.09e-05,0.0441,-2.55
"Time_Ctrl","PIK3CD",1.89,4.87,2.98e-06,0.0629,4.55
"Time_Ctrl","C1QL1",2.61,3.85,1.4e-05,0.1,3.05
"Time_Ctrl","SFXN3",1.31,5.85,1.73e-05,0.1,3.05
"Time_Ctrl","HMGN2",-1.49,8.61,2.28e-05,0.1,2.8
"Time_Ctrl","TIMELESS",-1.98,6.45,2.37e-05,0.1,2.76
"Time_Ctrl","TSPYL5",-2.01,3.09,3.94e-05,0.117,1.99
